"P. German Nino | P German | P Germanas | P. Germann, Dr., (Peter) | P Germantas | P. German, 1873-1958, Pseudonym",": P. German"
"A Rosenstein","A Rosenstein"
"A Arensky | A Arensky, 1861-1906","A. Arensky"
"A.  Bernstein, 1812-1884 | A. Bernsteins, 1876-1953 | A Bernstein | A Bernstein-Sawersky | A.  Bernstein, 1812-1884. | Vögele der Maggid | A.  Bernstein, 1812-1884. | Vögele der Maggid | Polish 1874 | A. Bernstein, (1866-1932) | A. Bernstein, 1969- | A. Bernšteins, 1915-, (Arkādijs) | A. Bernstein, 1952-","A. Bernstei"
"A.  Bernstein, 1812-1884 | A. Bernsteins, 1876-1953 | A Bernstein | A Bernstein-Sawersky | A.  Bernstein, 1812-1884. | Vögele der Maggid | A.  Bernstein, 1812-1884. | Vögele der Maggid | Polish 1874 | A. Bernstein, (1866-1932) | A. Bernstein, 1969- | A. Bernšteins, 1915-, (Arkādijs) | A. Bernstein, 1952-","A. Bernstein"
"A Blumas | A Blum | A Blumauer | A Blumenstengel | A. Blûm, 1933- | A Blumenstok | A Blūms | A. v. Blumenthal, 1889-1945 | A Blumfelde | A Blumenfeld","A. Blum"
"A Carpentier | A.  Carpentier, 1853-1923 | A Carpinteri | A Carpentier Le | A. Carpouzis, 1924-2009 | a Carpo Aloysio Maria, p., -1885? | A Carpentieri | A Carpio | A Carpene | A Carpi","A. Carp"
"A. Dargomyshsky, 1813-1869","A. Dargomyshsky"
"A. Davis | A.  Davison, -2015 | A Davison | A.  Davis, 1791- | A. Davis, 1928-2013 | A.  Davis, 1946- | A. Davis 1982- | A. Davis, 1928-2013. | Drug treatment in intestinal helminthiases | French 1974 | A.  Davis, 1947 or 1948- | A. Davis, 1928-2013. | Drug treatment in intestinal helminthiases","A. Davis"
"A Ellstein | A. Ellstein, 1907-1963","A. Ellstein"
"A. Goldfaden, 1840-1908 | A Goldfaden","A. Goldfaden"
"A Greenberger","A. Greenberg"
"A Hajdu | A. Hajduk, 1929-","A. Hajdu"
"A Harnack | A Hart-Davis | A Hargreaves | A. Hartknopf, 1756-1793 | A HARAUX | A. Harkavi, 1835-1919 | A Harc és Mártírság Emlékét Őrző Bizottság | A. Hartleben''s Verlag | A.  Hardy, 1811-1893 | A Hartink","A. Har"
"A Hart-Davis | A. Hartknopf, 1756-1793 | A. Hartleben''s Verlag | A Hartink | A. Hartung, 1801-1867 | A Hart | A. Hartmann, 1881-1956, (Arthur) | A Hartleben | A Hartmann | A.  Hartmann, 1943-","A. Hart"
"A. Jassen, 1882-1963, (Abraham)","A. Jassen"
