ID Number,"Spottswood Section","Matrix Number (song #, take #)",Normative Artist Name,Artist/Performer as listed,Title of Track,Normative Title Spelling,"Date Performed (exact)","Date Performed (estimate)",Year,Place Performed,Record Label and Number,Record Label,"Instrumentation (first is performer, then alphabetical) ","Arrangers/Composer/Performers, etc (if provided)",Composers and Performers Normative Spelling,Other notes
S1,16.1,Z 127-2,Hyman Adler,Hyman Adler,Got Fin Avraham,,12/1/1910,,1910,"New York, NY","Zon 51002, Vi S8342 (12'')","Zonophone, Victor ","Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),Hyman Adler b. 1886
S2,16.1,Z 128-1,Hyman Adler,Hyman Adler,Umipane Chatuainu,,12/1/1910,,1910,"New York, NY",Zon,Zonophone,"Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S3,16.1,Z 129,Hyman Adler,Hyman Adler,Young Wife and Old Man,,12/1/1910,,1910,"New York, NY",Zon 8008,Zonophone,"Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S4,16.1,Z 130-1,Hyman Adler,Hyman Adler,The Striker,,12/1/1910,,1910,"New York, NY",Zon,Zonophone,"Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S5,16.1,Z 131-1,Hyman Adler,Hyman Adler,On the Old Year,,12/1/1910,,1910,"New York, NY",Zon,Zonophone,"Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S6,16.1,Z 132-1,Hyman Adler,Hyman Adler,In the Cold Catskill Mountains,,12/1/1910,,1910,"New York, NY",Zon,Zonophone,"Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S7,16.1,Z 133-1,Hyman Adler,Hyman Adler,Azoi Schnell Wie Men Ruft Dir Zurick (As Quick As You Are Called),,12/1/1910,,1910,"New York, NY","Zon 51002, Vi S8342 (12'')","Zonophone, Victor ","Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S8,16.1,Z 134-1,Hyman Adler,Hyman Adler,Jisrulicks Leiden,,12/1/1910,,1910,"New York, NY","Zon 51003, V168343 (12”)","Zonophone, Victor ","Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S9,16.1,19219-1,Hyman Adler,Hyman Adler,Dus Pitzale Kind,,1/30/11,,1911,"New York, NY",Co E814,Columbia,"Tenor, Chorus, Orchestra",Hyman Adler (tenor),Hyman Adler (tenor),
S10,16.1,19220-1,Hyman Adler,Hyman Adler,Lieb Mich In Die Welt Is Mein,,1/30/11,,1911,"New York, NY",Co E811,Columbia,"Tenor, Chorus, Orchestra","Hyman Adler (tenor), Ernst R. Ball (composer)","Hyman Adler (tenor), Ernest R. Ball (composer)",
S11,16.1,19221-1,Hyman Adler,Hyman Adler,Shabes Koides,,1/30/11,,1911,"New York, NY",Co E811,Columbia,"Tenor, Chorus, Orchestra","Hyman Adler (tenor), Otto Motzan (composer)","Hyman Adler (tenor), Otto Motzan (composer)",
S12,16.1,19222-2,Hyman Adler,Hyman Adler,Kadish,,1/30/11,,1911,"New York, NY",Co E812,Columbia,"Tenor, Chorus, Orchestra",,Hyman Adler (tenor),
S13,16.1,19238-2,Hyman Adler,Hyman Adler,Al Tashlichenu ,,2/17/1911,,1911,"New York, NY",Co E812,Columbia,"Tenor, Orchestra",Joseph Brody & Louis Friedsel (composers);  A. Teres (arranger),"Hyman Adler (tenor), Joseph Brody (composer), Louis Friedsell (composer), A. Teres (arranger)",
S14,16.1,19239-1,Hyman Adler,Hyman Adler,Wejiten L'cho,,2/17/1911,,1911,"New York, NY",Co E813,Columbia,"Tenor, Orchestra",,Hyman Adler (tenor),
S15,16.1,19240-1,Hyman Adler,Hyman Adler,Yom Hachupe,,2/17/1911,,1911,"New York, NY",Co E814,Columbia,"Tenor, Orchestra",,Hyman Adler (tenor),
S16,16.1,19241-1,Hyman Adler,Hyman Adler,Hot Ihr Nit Gesehn Mein Moishe,,2/17/1911,,1911,"New York, NY",Co E813,Columbia,"Tenor, Orchestra",Arnold Perlmutter & Herman Wohl (composers),"Hyman Adler (tenor), Arnold Perlmutter (composer), Herman Wohl (composer)",
S17,16.1,30679-1,Hyman Adler,Hyman Adler,"Gott, Mensch Und Teufel: Mismor L' David",,2/17/1911,,1911,"New York, NY","Co E5019 (12"")",Columbia,"Tenor, Orchestra",Joseph Brody (composer),"Hyman Adler (tenor), Joseph Brody (composer)",
S18,16.1,30680-1,Hyman Adler,Hyman Adler,Die New Yorker Treren,,2/17/1911,,1911,"New York, NY","Co E5019 (12"")",Columbia,"Tenor, Orchestra",H. Altman (composer),"Hyman Adler (tenor), Hyman Altman (composer)",
S19,16.1,19249-,Hyman Adler,Hyman Adler,"Gott, Mensch Und Teufel: Mismor Le David ",,3/3/1911,,1911,"New York, NY",Co rej,Columbia,"Tenor, Orchestra",Joseph Brody (composer),"Hyman Adler (tenor), Joseph Brody (composer)",
S20,16.1,19249-,Hyman Adler,Hyman Adler,Dis Heilige Sekele,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY","Ed 10009 (4 min), 10062 (4 min)",Edison,"Tenor, Orchestra",Otto Motzan (composer),"Hyman Adler (tenor), Otto Motzan (composer)",
S21,16.1,19249-,Hyman Adler,Hyman Adler,Die New-Yorker Treren,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY","Ed 10010 (4 min), 10063 (4 min)",Edison,"Tenor, Orchestra",H. Altman (composer),"Hyman Adler (tenor), Hyman Altman (composer)",
S22,16.1,19249-,Hyman Adler,Hyman Adler,Dus Pitzaly Kind  ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21024 (2 min),Edison,"Tenor, Orchestra",Otto Motzan (composer),"Hyman Adler (tenor), Otto Motzan (composer)",
S23,16.1,19249-,Hyman Adler,Hyman Adler,Shabes Koidesh  ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21025 (2 min),Edison,"Tenor, Orchestra",Otto Motzan (composer),"Hyman Adler (tenor), Otto Motzan (composer)",
S24,16.1,19249-,Hyman Adler,Hyman Adler,Kasar Tuira ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21026 (2 min),Edison,"Tenor, Orchestra",Otto Motzan (composer),"Hyman Adler (tenor), Otto Motzan (composer)",
S25,16.1,19249-,Hyman Adler,Hyman Adler,Yom Hachupo ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21027 (2 min),Edison,"Tenor, Orchestra",,Hyman Adler (tenor),
S26,16.1,19249-,Hyman Adler,Hyman Adler,Moishe Rabeinu ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21028 (2 min),Edison,"Tenor, Orchestra",,Hyman Adler (tenor),
S27,16.1,19249-,Hyman Adler,Hyman Adler,Al Tashlichenu ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21029 (2 min),Edison,"Tenor, Orchestra",,Hyman Adler (tenor),
S28,16.1,19249-,Hyman Adler,Hyman Adler,Wejiten L'cho  ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21030 (2 min),Edison,"Tenor, Orchestra",Joseph Rumshisky (composer),"Hyman Adler (tenor), Joseph Rumshinsky (composer)",
S29,16.1,19249-,Hyman Adler,Hyman Adler,Hot Ihr Nit Gesehn Mein Moishe  ,,5/10/1911; 5/15/1911; 5/17/1911,,1911,"New York, NY",Ed 21031 (2 min),Edison,"Tenor, Orchestra",Arnold Perlmutter & Herman Wohl (composers),"Hyman Adler (tenor), Arnold Perlmutter (composer), Herman Wohl (composer)",
S30,16.2,x,Sholem Aleichem ,Sholom Aleichem (Solomon Rabinowitz),If I Were Rothschild-A Joyful Holiday,,9/7/1915,,1915,"New York, NY",Vi 60144,Victor,Spoken,,Sholem Aleichem (speaker),Sholom Aleichem [Solomon Rabinowitz] 1859-1916
S31,16.3,43677-2,Jeanne Alfred,Jeanne Feinberg,Rosinkes Mit Mandlen,,,1916,1916,"New York, NY",Co E2856,Columbia,"Soprano, Orchestra",Abraham Goldfadden (composer),"Jeanne Alfred (soprano), Abraham Goldfaden (composer)",
S32,16.3,x,Jeanne Alfred,Jeanne Feinberg,Rosinkes Mit Mandlen,,10/30/1916,,1916,"New York, NY",Vi trial,Victor,"Soprano, Piano",Edward T. King (piano),"Jeanne Alfred (soprano), Edward T. King (piano)",
S33,16.3,B 21755-1,Jeanne Alfred,Jeanne Alfred,Kleine Micheleke,,4/10/1918,,1918,"New York, NY",Vi 72352,Victor,"Soprano, Orchestra",Nathaniel Shilkret (director),"Jeanne Alfred (soprano), Nathaniel Shilkret (director)",
S34,16.3,B 21756-2,Jeanne Alfred,Jeanne Alfred,Aliluli Schluf-Cradle Song,,4/10/1918,,1918,"New York, NY",Vi rej,Victor,"Soprano, Orchestra",Nathaniel Shilkret (director),"Jeanne Alfred (soprano), Nathaniel Shilkret (director)",
S35,16.3,B 21756-4,Jeanne Alfred,Jeanne Alfred,Aliluli Schluf-Cradle Song,,6/6/1918,,1918,"New York, NY",Vi 72352,Victor,"Soprano, Orchestra",Nathaniel Shilkret (director),"Jeanne Alfred (soprano), Nathaniel Shilkret (director)",
S36,16.3,8019,Jeanne Alfred,Jeanne Alfred,Hatikvoh (The Song of Zion),,9/1921,,1921,"New York, NY",Vo 14268,Vocalion,"Soprano, Orchestra",Naftali Hertz Imber (text),"Jeanne Alfred (soprano), Naftali Herz Imber (text)",
S37,16.3,8150,Jeanne Alfred,Jeanne Alfred,Rosinkes Mit Mandlen-Jewish Lullaby ,,10/1921,,1921,"New York, NY",Vo 14268,Vocalion,"Soprano, Orchestra",Abraham Goldfaden (composer),"Jeanne Alfred (soprano), Abraham Goldfaden (composer)",
S38,16.3,9357,Jeanne Alfred,Jeanne Alfred,Meyerke Mein Suhn ,,,07/1922,1922,"New York, NY",Vo 14397,Vocalion,"Soprano, Orchestra",Ravel & Bowers (composers),a,
S39,16.3,9362,Jeanne Alfred,Jeanne Alfred,Geh Ich Mir Schpatzieren ,,,07/1922,1922,"New York, NY",Vo 14397,Vocalion,"Soprano, Orchestra",,Jeanne Alfred (soprano),
S40,16.4,41031-2,William Alperovitz,Rev. William Alperovitz,Umipnei Chatoeinu-Pt. 1 ,,,03/1920,1920,"New York, NY",Em 13054,Emerson,"Vocal, Organ",,William Alperovitz (vocal),
S41,16.4,41032-1,William Alperovitz,Rev. William Alperovitz,Umipnei Chatoeinu-Pt. 2 ,,,03/1920,1920,"New York, NY",Em 13054,Emerson,"Vocal, Organ",,William Alperovitz (vocal),
S42,16.4,41030-1 / 41047-1,William Alperovitz,Rev. William Alperovitz,Rachmono,,,03/1920,1920,"New York, NY",Em 13057,Emerson,"Vocal, Organ",,William Alperovitz (vocal),"Matrix number not provided in Spottswood, taken from FAU archive"
