trackID,role,artist,isMainArtist
"S1","Tenor","Hyman Adler","Yes"
"S2","Tenor","Hyman Adler","Yes"
"S3","Tenor","Hyman Adler","Yes"
"S4","Tenor","Hyman Adler","Yes"
"S5","Tenor","Hyman Adler","Yes"
"S6","Tenor","Hyman Adler","Yes"
"S7","Tenor","Hyman Adler","Yes"
"S8","Tenor","Hyman Adler","Yes"
"S9","Tenor","Hyman Adler","Yes"
"S10","Tenor","Hyman Adler","Yes"
"S10","composer","Ernest R. Ball","No"
"S11","Tenor","Hyman Adler","Yes"
"S11","composer","Otto Motzan","No"
"S12","Tenor","Hyman Adler","Yes"
"S13","Tenor","Hyman Adler","Yes"
"S13","composer","Joseph Brody","No"
"S13","composer","Louis Friedsell","No"
"S13","arranger","A. Teres","No"
"S14","Tenor","Hyman Adler","Yes"
"S15","Tenor","Hyman Adler","Yes"
"S16","Tenor","Hyman Adler","Yes"
"S16","composer","Arnold Perlmutter","No"
"S16","composer","Herman Wohl","No"
"S17","Tenor","Hyman Adler","Yes"
"S17","composer","Joseph Brody","No"
"S18","Tenor","Hyman Adler","Yes"
"S18","composer","Hyman Altman","No"
"S19","Tenor","Hyman Adler","Yes"
"S19","composer","Joseph Brody","No"
"S20","Tenor","Hyman Adler","Yes"
"S20","composer","Otto Motzan","No"
"S21","Tenor","Hyman Adler","Yes"
"S21","composer","Hyman Altman","No"
"S22","Tenor","Hyman Adler","Yes"
"S22","composer","Otto Motzan","No"
"S23","Tenor","Hyman Adler","Yes"
"S23","composer","Otto Motzan","No"
"S24","Tenor","Hyman Adler","Yes"
"S24","composer","Otto Motzan","No"
"S25","Tenor","Hyman Adler","Yes"
"S26","Tenor","Hyman Adler","Yes"
"S27","Tenor","Hyman Adler","Yes"
"S28","Tenor","Hyman Adler","Yes"
"S28","composer","Joseph Rumshinsky","No"
"S29","Tenor","Hyman Adler","Yes"
"S29","composer","Arnold Perlmutter","No"
"S29","composer","Herman Wohl","No"
"S30","Spoken","Sholem Aleichem","Yes"
"S30","speaker","Sholem Aleichem","No"
"S31","Soprano","Jeanne Alfred","Yes"
"S31","composer","Abraham Goldfaden","No"
"S32","Soprano","Jeanne Alfred","Yes"
"S32","piano","Edward T. King","No"
"S33","Soprano","Jeanne Alfred","Yes"
"S33","director","Nathaniel Shilkret","No"
"S34","Soprano","Jeanne Alfred","Yes"
"S34","director","Nathaniel Shilkret","No"
"S35","Soprano","Jeanne Alfred","Yes"
"S35","director","Nathaniel Shilkret","No"
"S36","Soprano","Jeanne Alfred","Yes"
"S36","text","Naftali Herz Imber","No"
"S37","Soprano","Jeanne Alfred","Yes"
"S37","composer","Abraham Goldfaden","No"
"S38","Soprano","Jeanne Alfred","Yes"
"S38","composer","Maurice Ravel","No"
"S38","composer","Bowers","No"
"S39","Soprano","Jeanne Alfred","Yes"
"S40","Vocal","William Alperovitz","Yes"
"S41","Vocal","William Alperovitz","Yes"
"S42","Vocal","William Alperovitz","Yes"
"S43","Vocal","Isaac Angel","Yes"
"S44","Vocal","Isaac Angel","Yes"
"S45","Baritone","Mischa Appelbaum","Yes"
"S46","Baritone","Mischa Appelbaum","Yes"
"S47","Chorus","Workmen's Circle Chorus","Yes"
"S47","composer","Meyer Posner","No"
"S47","director","Meyer Posner","No"
"S47","director","Alfredo Cibelli","No"
"S48","Chorus","Workmen's Circle Chorus","Yes"
"S48","composer","Meyer Posner","No"
"S48","director","Meyer Posner","No"
"S48","director","Alfredo Cibelli","No"
"S49","Chorus","Workmen's Circle Chorus","Yes"
"S49","composer","Meyer Posner","No"
"S49","director","Meyer Posner","No"
"S49","director","Alfredo Cibelli","No"
"S50","Chorus","Workmen's Circle Chorus","Yes"
"S50","composer","Meyer Posner","No"
"S50","director","Meyer Posner","No"
"S50","director","Alfredo Cibelli","No"
"S51","Vocal","The Barry Sisters","Yes"
"S51","vocals","The Barry Sisters","No"
"S51","composer","Charles Tauber","No"
"S51","composer","Sholom Secunda","No"
"S51","instruments","Dave Tarras","No"
"S52","Vocal","The Barry Sisters","Yes"
"S52","vocals","The Barry Sisters","No"
"S52","composer","Abraham Ellstein","No"
"S52","instruments","Dave Tarras","No"
"S53","Vocal","The Barry Sisters","Yes"
"S53","vocals","The Barry Sisters","No"
"S53","composer","Jacob Jacobs","No"
"S53","composer","Abraham Ellstein","No"
"S53","instruments","Dave Tarras","No"
"S54","Vocal","The Barry Sisters","Yes"
"S54","vocals","The Barry Sisters","No"
"S54","composer","Jacob Jacobs","No"
"S54","composer","Abraham Ellstein","No"
"S54","instruments","Dave Tarras","No"
"S55","Vocals","The Barry Sisters","Yes"
"S55","composer","Milton Leeds","No"
"S55","composer","Fred Wise","No"
"S55","composer","Joe Lazarz","No"
"S55","orchestra","Sammy Meade's Orchestra","No"
"S56","Vocals","The Barry Sisters","Yes"
"S56","composer","Hans Lengsfelder","No"
"S56","composer","Kerwin Drake","No"
"S56","composer","D. Zattas","No"
"S56","orchestra","Sammy Meade's Orchestra","No"
"S57","Vocals","The Barry Sisters","Yes"
"S57","composer","Bob Russell","No"
"S57","composer","Mart Fryberg","No"
"S57","orchestra","Sammy Meade's Orchestra","No"
"S58","Vocals","The Barry Sisters","Yes"
"S58","composer","Clarence A. Stout","No"
"S58","orchestra","Sammy Meade's Orchestra","No"
"S59","Vocals","The Barry Sisters","Yes"
"S59","composer","Joseph Rumshinsky","No"
"S59","words","Isidore Lillian","No"
"S59","tp","J. Levitt","No"
"S59","vln","Giulietta Morino","No"
"S59","cl","Dave Tarras","No"
"S59","p","Abraham Ellstein","No"
"S59","sos","Charles Galazan","No"
"S60","Vocals","The Barry Sisters","Yes"
"S60","composer","Abraham Ellstein","No"
"S60","tp","J. Levitt","No"
"S60","vln","Giulietta Morino","No"
"S60","cl","Dave Tarras","No"
"S60","p","Abraham Ellstein","No"
"S60","sos","Charles Galazan","No"
"S61","Vocals","The Barry Sisters","Yes"
"S61","composer","Charles Tauber","No"
"S61","composer","Ilia Trilling","No"
"S61","tp","J. Levitt","No"
"S61","vln","Giulietta Morino","No"
"S61","cl","Dave Tarras","No"
"S61","p","Abraham Ellstein","No"
"S61","sos","Charles Galazan","No"
"S62","Vocals","The Barry Sisters","Yes"
"S62","composer","Molly Picon","No"
