"albumID","albumName","albumNameYiddish","linenote","rpm","LP_BOX","format","timeMade","languages","genre","whereProduced","comments","trackNumber","notes","fauLink","dateMade","provenance","cassette","cd"
"AP0","Alt-Nei Kasrilevke by Sholom Aleichem","אַלט-נײ כּתריאלעװקע פֿון שלום עליכם","","0","2","12"" Album 33 1/3/Audio CD copy x109","","Yiddish","Literary Origin","","","4","","","","","",""
"AP1","Menashe Skulnik  / Stories of Sholom Aleichem","","","0","2","Audio CD copy/12"" Album 33 1/3","","English","Spoken Word/Literary Origin/Translations","New York","","5","","local","","","",""
"AP10","Sholom Aleichem Readings            A Recital by Jack Newman","לכּבֿוד יום-טובֿ","","0","2","12"" Alb 33 1/3/Audio CD","","Yiddish","Literary Origin/Spoken Word","USA","","6","","local","","","","x"
"AP100","Sidor Belarsky                      Concert of Russian Music","","","0","8","33 1/3 rpm 12""/Audio CD copy x158","","Russian","Folk and Art Songs","New York","","0","","http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=401150&queryWhere=jsa_num&queryValue=401150","","","","x"
"AP1000","Netania Davrath  Russian, Israeli and Yiddish Folk Songs CD1","","","0","0","","","","","","","0","Two CD Set.  Duplicates D-02(a) & (b), plus three Yiddish songs -"
and album of Russian songs.","","","","","x"
"AP1001","Netania Davrath  Russian, Israeli and Yiddish Folk Songs CD2","","","0","0","","","","","","","0","Two CD Set.  Duplicates D-02(a) & (b), plus three Yiddish songs -"
and album of Russian songs.","","","","","x"
"AP1002","Jewish Melodies..Old Country  Emil Decameron & His Orchestra","","","0","27","","","","","","","0","","","","","",""
"AP1003","La Bianca             Heart Warming Yiddish-Hebrew Favorites","","","0","71","","","","","","","0","","","","","",""
"AP1004","Trio Lorand                                  Synagogal Songs","","","0","71","33 1/3 rpm 12"" Album","","Hebrew","Liturgical/Religious","Czechoslovakia","","10","","","1963","","",""
"AP1005","Hebraic Chants For The Holy Days          Marcel Lorand Trio","","","0","71","33 1/3 rpm 12"" Albums (2)","","Hebrew","Liturgical/Religious","New York","","16","Recorded in Czechloslovakia","","1960","","",""
"AP1006","Let's Sing                              Jewish Folk Choruses","לאָמיר אַלע זינגען","","0","71","Audio CD copy x520","","Yiddish","Choral/Folk/Left Wing","New York, NY","","10","Issued by the Jewish Music Alliance./ Yiddish Text and Transliteration with Album","","","","","x"
"AP1007","Jewish Folklore Songs by Bronya Levas  Acc by Max Hanigsberg","ייִדישער פֿאָלקס לידער  בראָניאַ לעװעס  אָרק באַג: מאַקס העניגסבערג","","0","0","Cassette/Audio CD Copy","","","","","","10","","local","","","x","x"
"AP1008","Manfred Lewandowski, Baritone, former Chief Cantor of Berlin","","","0","71","","","","","","","0","","","","","",""
"AP1009","The Los Angeles Mandolin Orchestra    Conducted by Joel Lish","","","0","72","33 1/3 rpm album","","","Instrumental/Mandolin","Los Angeles, CA","","11","","","","","",""
"AP101","Sidor Belarsky                              Special Requests","","","0","8","33 1/3 rpm 12""/Audio CD copy x 161","","Yiddish","Songs of Literary Origin & Folk Songs","New York","","11","","http://faujsa.fau.edu/belarsky/belarsky_playlist.php?jsa_num=400579&queryWhere=jsa_num&queryValue=400579","1960","","","x"
"AP1010","Marty Levitt his clarinet and orchestra play  WEDDING DANCES","","","0","72","","","","","","","0","","","","","",""
"AP1011","Israeli Folk Music/       The Jaffah Musicians & Singers","","Cover contains a Israeli scene. Liner notes by Jonathan Elliot."
"
No information regarding the performers.","0","0","Audio CD","57:53:00","Yiddish/Ladino/Instrumental","Folk/Collection","Portugal","","20","This album appears to be a reissue in Portugal of Album S-083(a) -"
[Lucie Skeaping & The Burning Bush] issued in England in 1991. -"
For identity of the performers, view the tracks recorded on Album -"
S-083(a).","","1993","","","x"
"AP1012","Folksongs by the Karmon Israeli Dancers and Singers","","","0","60","","","","","","","0","Translation and transliteration by Judith Herschlag and Thea Odem -"
with album.                       -","local","","","",""
"AP1013","Songs of the Sabras       Karmon Israeli Dancers and Singers","","","0","60","","","","","","","0","","local","","","",""
"AP1014","Aaron Lebedoff Sings Rumania, Rumania and other Yiddish...","","","0","69","","","","","","","0","Transliteration and translation with album notes.              -","","","","",""
"AP1015","Aaron Lebedeff","","","0","69","","","","","","","0","","","","","",""
"AP1016","Aaron Lebedeff Sings Fifteen Favorites of .. Yiddish Theatre","","","0","69","","","","","","","0","","","","","",""
"AP1017","Basye                            Farbotene Lider Ojf Jiddish","","","0","0","","","","","","","0","","","","","","x"
"AP1018","Sarah Benjamin /  Lidelakh   Vol 1/ 101 Favorite Yiddish and Russian Folksongs","","","0","0","Cassette/Audio CD Copy X 44(a)(b)","","Yiddish","Yiddish Compilation/Folk/Field Recording","Newton, MA","","0","","local","1984","Gift of Sheldon Benjamin","x",""
