"titleID","altTitleID"
"T22838","T10063"
"T42114","T10063"
"T42517","T10063"
"T42520","T10063"
"T22634","T10099"
"T7550","T10099"
"T43238","T10101"
"T41247","T10110"
"T1022","T1017"
"T18501","T10173"
"T19207","T10184"
"T11679","T10203"
"T5594","T10203"
"T8374","T10203"
"T41423","T10234"
"T5735","T10234"
"T7556","T10238"
"T41812","T10285"
"T10307","T10306"
"T4170","T10326"
"T10994","T10349"
"T42515","T10354"
"T42522","T10354"
"T41183","T10376"
"T42017","T10450"
"T3254","T10457"
"T12017","T10461"
"T41536","T10462"
"T40859","T10477"
"T41058","T10477"
"T40962","T1049"
"T42296","T10491"
"T22504","T1050"
"T20121","T10501"
"T43182","T10501"
"T8133","T10502"
"T41580","T10525"
"T9630","T10566"
"T40950","T10583"
"T10912","T10612"
"T22303","T10612"
"T940","T10612"
"T41145","T10614"
"T42005","T1063"
"T43241","T10656"
"T13089","T10660"
"T41072","T10660"
"T41075","T10660"
"T43290","T10660"
"T41218","T10726"
"T1864","T10794"
"T1211","T10811"
"T11184","T10813"
"T40850","T10813"
"T41424","T10822"
"T41999","T10822"
"T5196","T10822"
"T11291","T10843"
"T13995","T10843"
"T4358","T10894"
"T16261","T10895"
"T18555","T10895"
"T18556","T10895"
"T626","T10895"
"T17569","T10896"
"T18777","T1095"
"T41224","T10967"
"T43264","T1097"
"T11541","T1103"
"T41262","T1103"
"T43078","T11055"
"T10591","T11057"
"T41899","T11057"
"T14481","T11083"
"T41257","T11183"
"T41258","T11183"
"T43301","T11228"
"T16482","T11254"
"T42218","T11268"
"T8942","T11268"
"T16759","T11287"
"T41320","T11288"
"T40936","T11289"
"T9051","T11341"
"T42421","T11348"
"T7845","T11348"
"T43285","T11361"
"T1439","T11364"
"T12938","T11365"
"T22822","T11365"
"T40854","T11365"
"T19104","T11387"
"T42058","T11402"
"T11532","T11448"
"T42006","T11460"
"T21675","T1149"
"T22549","T1149"
"T11539","T11538"
"T41263","T11543"
"T41184","T11544"
"T41185","T11544"
"T41264","T11547"
"T9995","T11551"
"T41772","T11612"
"T3593","T11682"
"T9935","T11792"
"T14087","T11826"
"T40985","T11826"
"T7869","T11826"
"T41089","T1185"
"T10219","T11851"
"T21200","T11855"
"T10554","T11904"
"T42009","T11906"
"T41970","T11922"
"T11937","T11936"
"T41274","T11999"
"T43190","T12022"
"T41062","T12029"
"T41307","T12037"
"T41014","T12052"
"T8730","T12112"
"T5293","T12142"
"T13277","T12168"
"T2651","T12168"
"T10117","T12171"
"T10977","T1219"
"T23734","T1219"
"T40858","T1219"
"T41292","T1219"
"T41293","T1219"
"T43156","T1219"
"T12216","T12215"
"T19291","T12215"
"T42188","T12219"
"T521","T1222"
"T41960","T12250"
"T41265","T12297"
"T41266","T12299"
"T41041","T12326"
"T12341","T12340"
"T41029","T12343"
"T22576","T12345"
"T42529","T12355"
"T2890","T1237"
"T40863","T1241"
"T43176","T12504"
"T12515","T12516"
"T42069","T12532"
"T42070","T12532"
"T22341","T1257"
"T18884","T12601"
"T41128","T12611"
"T41134","T12614"
"T41136","T12615"
"T42201","T12623"
"T41249","T12673"
"T41144","T12690"
"T43181","T12722"
