"hebrewTitleID","title","hebrewTitle","hebrewFirstLine"
"HT10","Gadlu Lehashem (Heb)","גדלו לשם אתי (עבֿרית)","גדלו לשם אתי ונרוממה שמו יחדיו."
"HT1008","Ma Tovu (Heb)","מה-טבוּ",""
"HT101","Haleluya (Heb, Ephros)","הללויה (עבֿרית, עפֿראָס)",""
"HT1011","Ma Yafe, Yafe (Heb)","מה יפה, יפה",""
"HT1012","Ma Yafim Haleylot","מה יפים הלילוֹת","מה יפים הלילוֹת בּכנען, צוֹננים הם וּבהירים, הדממה פלטה שיר,"
"HT1014","Ma Yafu Dodaykh (Heb)","מה יפוּ דדיך","מה יפוּ דדיך אחתי כּלה מה טבוּ דדיך מיין וריח שמניך מכּל-בּשׂמים:"
"HT1015","Ma Yedidos (Heb)","מה ידידות (עבֿרית)",""
"HT1017","Ma Yedidut (Heb)","מה ידידות",""
"HT1018","Madamoiselle From Armintiere (Heb)","אינקי פינקי",""
"HT1019","Madamoiselle From Armintiere (Heb)","אינקי פינקי","שלשה גרמנים אתּ הריינוס חצו, פר - לה - ווּ,"
"HT102","Haleluya (Psalm 150, Nowakowsky","הללויה (תהלים קנ, נאָװאָקאָסקי)",""
"HT1021","Mahayr Vehovey (Heb)","מהר והבא (עבֿרית)",""
"HT1022","Makhar (Tomorrow, Heb)","מחר","מחר אולי נפליגה בּספינות מחוף אלית עד חוף שנהב"
"HT1023","Makhelat Nugnim (Heb)","מקהלת נוֹגנים (עבֿרית)","יוֹסי בּכּנוֹר, פּסי בתּף, משׁה בּחצוֹצרה -- והמה הרחוֹב."
"HT1024","Makhrozet Shirey Palmakh (Heb)","מחרוזת שירי פּלמ""ח",""
"HT1025","Malka Kudisha (Heb)","מלכּה קודשע (עבֿרית)","קודשא בריך הוא אחד, לעילא לא יתיב על כורסייא דיקריח,"
"HT1027","Malkhut Hakhermon (Heb)","מלכות החרמון","כּל המלים השׂמחות פּרצו אז כּהורה סוערת טפּסנו עם כּל הרוחות"
"HT1028","Malu Asameynu Bar (Heb)","מלאו אסמינו בּר (עבֿרית)",""
"HT1029","Maof Hamkhshafot (Heb)","מעוף המכשפות",""
"HT103","Haleluya (Shabos, Heb)","הללויה",""
"HT1030","Margaritkelekh (Heb)","מאַרגאַריטקעלעך (עבֿרית)",""
"HT1031","Margaritkelekh (Heb)","מאַרגאַריטקעלעך (עבֿרית)","מיתּחת לסלע צוֹמחת לפלא רקפת נחמדת מאד ושתש מזהרת נוֹשקת, עוֹתּרת"
"HT1033","Margaritkelekh (Heb, Rakefet)","מאַרגאַריטקעלעך (עבֿרית)","מיתּחת לסלע צוֹמחת לפלא רקפת נחמדת מאד ושתש מזהרת נוֹשקת, עוֹתּרת"
"HT1034","Marilyn Jones (Heb)","מרילין ג'ונס (עבֿרית)",""
"HT1035","Mary A. (Heb)","מריה א. (עבֿרית)",""
"HT1036","Masat Nafshi (Heb)","משׂאת נפשי",""
"HT1037","Mashehu Mukhrakh Lehishtanot (Heb)","משהו מוכרח להשתנות (עבֿרית)",""
"HT1038","Mayim Ledavid (Heb)","מים לדוד (עבֿרית)",""
"HT1039","Mayn Rue Plats","מײַן רוע פּלאַץ",""
"HT104","Haleluya (Zmire, Heb)","הללויה (זמירה, עבֿרית)",""
"HT1040","Mayn Shtetele Belz","מײַן שטעטעלע בעלז","ספּר לי סבּא, ספּר עוֹדועוֹד רוֹצה שׁוּב אני בּעיני זאת לראוֹת"
"HT1041","Mayn Tate A Koyen (Heb)","מײַן טאַטע אַ כּוהן (עבֿרית)",""
"HT1042","Mazl","מזל","מה זה אשר פּניו יאיר הוּא, ורק ממני נחבּא,"
"HT1043","Me'at Hashem (Heb)","מאת השם (עבֿרית)",""
"HT1045","Me'ayn Olam Haba (Heb)","מעין עולם הבּא",""
"HT1046","Mediterranean Lullaby (Heb)","שיר ערשׂ ים-תּיכונו","שן ילדי אביך מתּ, גם לך צפוי כּמוהו אל המלחמותּ לצאתּ,"
"HT1047","Medley Of Children Songs (Heb)","מחרוזת שירי ילדים",""
"HT1048","Medley Of Marches (Heb)","מחרזת שירי לכת (עבֿרית)",""
"HT1049","Meezl Myzel Mouse (Heb)","עכבר בירבר עכבר",""
"HT105","Haleluya Betseltseli Trua (Heb)","הללויה בּצלצלי תרועה (עבֿרית)","הללויה, הללויה, בּצלצלי...הללוי, הללויה, בּצלצלי תרועה"
"HT1050","Mehiro (Heb)","מהרה (עבֿרית)",""
"HT1052","Mehiro Yishoma (Heb)","מהרה ישמע","מהרה ישמע בּערי יהודה ובחוצות ירושלים קול שׂשׂון וקול שׂמחה"
"HT1053","Mehiro Yishoma (Heb)","מהרה ישמע",""
"HT1057","Mekhalkeyl Khayim (Heb)","מכלכּל חיים",""
"HT106","Haleluya Lakapap (Heb)","הללוה לקפּ""פּ",""
"HT1060","Mekhol Hakerim (Heb)","מחול הכּרם","הבּנות צאנה בּמחול הבּנות פּצחו רינה בּקול שאלו נא למשעול"
"HT1061","Melekh Hakavod (Heb)","מי כמוך (עבֿרית)",""
"HT1062","Melekh Rakhmon (Heb)","מלך רחמן (עבֿרית)",""
"HT1064","Menora Veanfey Zayit (Heb)","מנורה ועופי זית (עבֿרית)",""
"HT1065","Merega Lerega (Heb)","מרגע לרגע",""
"HT1066","Mesherey Erets Ahavati (Heb)","משירי ארץ אהבתי (עבֿרית)",""
"HT1067","Meshiekh (Heb)","משיך",""
"HT1068","Meshlat Azov (Heb)","משלט עזוב  (עברית)",""
"HT1069","Metushela (Heb)","מתושׂלה (עבֿרית)",""
"HT1070","Meyeved Layam (Heb)","מעבד לים (עבֿריתּ)","מעבד לים, מעבר לים -- התדעוּ, צפּרים, הדרך לשם?"
"HT1072","Mi Al Har Horev","מי על הר חורב",""
"HT1073","Mi Ani (Heb)","מי אני (עבֿרית)",""
"HT1074","Mi Haya Hakholem (Heb)","מי היה החוֹלם",""
"HT1076","Mi Ho-Ish (Psalm 034:13, Heb)","מי האיש (תהלים לך מ)","מי האיש החפֿץ חיים אהב ימים לראוֹת טןב: נצר לשוֹנך מרע"
"HT1077","Mi Kamokha (Heb)","מי כמוך (עבֿרית)",""
"HT1081","Mi Khamokha (Heb)","מי כמכה","מי כמכה בּאלם יהוֹה. מי כּמכה נאדר בּקדש. נוֹרא תהלת עשׂה-פלא."
"HT1087","Mi Sheaso Nisim (Heb)","מי שׁעשׂה נסים (עבֿרית)","מי שׁעשׂה נסים לאבוֹתינוּ וגאל אוֹתם מעברוּת לחרוּת."
"HT1088","Mi Sheberakh","מי שבּרך",""
"HT1089","Mi Sheberakh Avoteynu","מי שבּרך אבותינו",""
"HT1090","Mi Yivne (Heb)","מי יבנה,","מי יבנה בּית בּתל-אביב? אנחנוּ החלוּצים נבנה את תּל-אביב."
"HT1091","Mi Yivne Hagalil (Heb)","מי יבנה הגליל",""
"HT1093","Mi Ze Hidlik? (Heb)","מי זה הדליק","מי זה הדליק נרוֹת דקים כּכּוֹבים בּרוֹם? יוֹדים גם תּינוֹקוֹת רבּים..."
"HT1094","Midarom Tipakh Hatova (Heb)","מדרום תפּתח הטובה (עברית)",""
"HT1099","Mikdash Melekh (Heb)","מקדש מלך (עבֿרית)","מקדש מלך עיר מלוּכה, קוּמי צאי מתּוֹך ההפגה."
"HT11","Galeh Kvod (Heb)","גלה כּבוד (עבֿרית)",""
"HT1100","Mikhtav Leima (A Brivele Der..)","מכתּב לאמא (אַ בריװעלע דער מאַמען)","ילדי שׁלי, בּבת עיני, אתּה יוֹצא לדרך, אשׁבּיע כּאן בּדמעוֹתי,"
"HT1101","Mikol Khamo'odot Hayu Li (Heb)","מכּל המוּדוֹת חיוּ לי","מכּל חמוּדוּת היוּ לי - רק לבּי, לבּי נשאר לי. שמש היתה ברוֹם -"
"HT1102","Mimarom (Heb)","ממרום (עבֿרית)",""
"HT1105","Mimekomkha (Heb)","ממקומך","ממקומך מלכנו תופיע, ותמלך עלינו, כי מהכים אנחנו לך:"
"HT1106","Mimitsrayim Geyaltonu (Heb)","ממצרים גאלטתּנוּ (עבֿרית)","ממצרים גאלתּנוּ וּמבּית עבדים פּדיתנוּ."
"HT1107","Mimkomo (Heb)","ממקומו (עבֿרית)","ממקומו הוא יפן בּרימיו לעמו, ויחן עם המיחדים שמו,"
"HT1108","Mimkomo (Heb)","ממקומו (עבֿרית)","בּרוך כּבוד יהוה ממקומו הוא יפן בּרחמים, ויחון עם, המיחדים שמו,"
