"title","titleID","genre","hebrewTitle","subject","org","transliteration","music","notes","translations"
"Zolst Azoy Lebn","T12324","Lullaby/Children's Music/Klezmer/Traditional/Lament","זאָלסט אַזוי לעבן","Babysitter/song of the babysitter/Mother/Earnings/Diapers/","Ephemera 918","Ephemera 918","","","Ephemera 1477/Ephemera 918"
"5757","T12565","","5757","","","","","",""
"A Freylekh Lidl","T19831","","אַ פֿרײלעך לידל","","","","","",""
"And Every Man With His Vine","T21182","","","","","","","",""
"Numbers 12:13 (..Healing of..Soul)","T12300","","","","","","","",""
"Numbers 13:27 (Erets Zavat Khalav)","T3730","","בּמדבּר שלך (ארץ זבת חלב)","","","","","",""
"Numbers 15:25 (Venislakh)","T3731","","בּמדבּר שלח טו (ונסלך)","","","","","",""
"Numbers 15:40 (Lemaan Tizkeru)","T3732","","בּמדבּר שלך יד טו (למען תּזכּרוּ)","","","","","",""
"Numi Numi (Sleep Sleep)","T3733","","נומי נומי (עבֿרית)","","","","","",""
"Numi Numi Nim (Heb)","T9689","","","","","","","",""
"Nun Sprecht, Wie Gings","T8110","Opera/Classical","","","","","","",""
"Nur Hurtig Fort, Nur Frisch...","T8119","Opera/Classical","","","","","","",""
"Nusakh Yidish","T3736","","נוסח ייִדיש","","","","","",""
"And It Was Evening And It…","T21248","","ויהי ערב ויהי בּקר של שבּת...","","","","","",""
"Nye Bayussya (I Fear No One)","T3737","","ניע באַ יוס יאַ","","","","","",""
"Nye Bayussya (I Fear No One, Russ)","T3478","","ניע באַ יוס יאַ (רוסיש)","","","","","",""
"Nye Bayussya (I Fear No One, Yid)","T3479","","ניע באַ יוס יאַ","","","","","",""
"Nye Probuzhday Vespominaya","T3480","","","","","","","",""
"Nye Zhuritse Khloptsi","T3481","Chassidic/Folk/Russian/Yiddish","ניו זשוריצע חלאָפּצי","Tavern/Vodka/Yesterday/Today/Tomorrow/World To Come/Worry","Alb A-053(a)","Alb A-053(a)","","See ""Shoyn Avek Der Nekhtn"" / Recorded with ""Lubavitsher Reydl""","Alb A-053(a)"
"Nyet Nyet (Nye Bayussya, Russian)","T12090","","ניע באַ יוס יאַ (רוסיש)","","","","","",""
"Nyet Nyet Nikavo (Russian)","T3483","","","","","","","",""
"Nyet Nyet Nitshevo (Yid, Ehrlikh)","T3484","","","","","","","",""
"O Angels, I Call Upon You (Heb)","T3485","","","","","","","",""
"O Antonis (Andonis, Greek)","T3486","","","","","","","",""
"O Cease Thy Singing Maiden Fair","T10647","Classical","","Place/Georgia/Melody/Memory/Song","","","","",""
"O Du Armer Judas (German)","T11693","","","","","","","",""
"O Du Armer Judas (Varient, German)","T11694","","","","","","","",""
"O Grieve You Now My Mother (Eng)","T3487","","","","","","","",""
"O Gute Fraynd","T8584","","אָ גוטע פֿרײַנד","","","","","",""
"O Ir Kleyne Likhtelekh (Zilberts)","T9179","Holiday/Nationalistic","אָ איר קלײנע ליכטעלעך (זילבערטס)","Khanike/Candles/History","ML YT 29/Alb G-017(a)/Kinderbukh 65/Bugatch 249/Coopermith HCB 20","ML YT 29/Kinderbuch 65/Alb 024(a)/Alb K-059(e)/Bugatch 24 9/Coopermith HCB 20","Coopermith HCB 20","","Kinderbuch 65/Alb L-024(a)Alb W-022(a)/Alb G-017(a)/Alb K-059(e)/Alb S-104(a)/"
"O Ir Kleyne Likhtelekh (Lyov)","T3488","Holiday/Nationalistic","אָ איר קלײנע ליכטעלעך (ליו)","Khanike/Candles/History","ML YT 29/Alb G-017(a)/Kinderbukh 65/Bugatch 249","ML YT 29/Kinderbuch 65/Alb 024(a)/Alb K-059(e)/Bugatch 249/Alb C-042(c)","Kinderbuch 65","Translation is also in C-042(c)","Kinderbuch 65/Alb L-024(a)Alb W-022(a)/Alb G-017(a)/Alb K-059(e)/Alb S-104(a)"
"O Iskios Epese Varis (Greek)","T3491","","","","","","","",""
"O Israel O Palestine (Eng)","T3492","","","","","","","",""
"And Let Her Works Praise Her","T21636","","ויהללות בשערים מעשיה...","","","","","",""
"O Kum Shoyn Shtiler Ovnt","T3493","Lullaby","אָ קום שױן שטילער אָװנט","Nature/Pasture/Nightingale/Stillness/Evening","ML MTAG 178/Steinberg 203","ML MTAG 178","ML MTAG 179/Steinberg 202","",""
"O Kumt Ir Farvogolte","T3494","","אָ קומט איר פֿאַרװאָגאָלטע","","","","","See ""Frayhayt Statue""",""
"O Madre Mia (Ladino)","T9714","","","","","","","",""
"O Mame, Lomir Zikh Baytn","T3495","Literary Origin","אָ מאַמע, לאָמיר זיך בײַטן","Mother/Children/Play/Exchange/Roles","","","","",""
"O Mayn Papa (Eng, Yid)","T3496","","אָ מײַן פּאַפּאַ (ענגליש, ייִדיש)","","","","","",""
"O Mayn Papa (Instr)","T3497","","אָ מײַן פּאַפּאַ","","","","","",""
"O Namenlose Fruede!","T8124","Opera/Classical","","","","","","",""
"O Odessa (Russian)","T3500","","","","","","","",""
"O Solo Mio (Italian, Yid)","T11606","","אָ סאָלאָ מיאָ (איטאַלײניש, ייִדיש)","","","","","",""
"O Solo Mio (Yid, Parody, Medley)","T8449","","אָ סאָלאָ מיאָ (ייִדיש, פּאַראָדיע, מעדלי)","","","","","",""
"O Tod Wie Bitter Bist Du (German)","T3501","","","","","","","",""
"O Tog Mayn Tog","T7596","","אָ טאָג מײַן טאָג","","","","","",""
"O Velt","T3502","Literary Origin","אָ װעלט","","","","","O World",""
"O War Ich Schon Mit Dir Vereint","T8102","Opera/Classical","","","","","","",""
"O Welche Lust in Freier Luft","T8109","Opera/Classical","","","","","","",""
"O What Is Man (Eng)","T3503","","","","","","","",""
"O Yiannos (Greek)","T3504","","","","","","","",""
"O You Tiny Candles (Eng, Yid)","T3505","","אָ איר קלײנע ליכטעלעך (ענג, ייִדיש)","","","","","",""
"And The Angels Sing","T7821","Swing/Pop","","Love/Angels/Song/Music/Water/Moonlight","Sheetmusic 1210","","Sheetmusic 1210","",""
"O'Brian","T3506","Humerous/Literary Origin/Humorous","אָ'ברײַען","Poverty/Charity/Hunger/Marriage/Wine","Shteyn 277/Alb R-007(g)","Alb R-007(f)5/Alb Roo7(g)Alb L-049(a)","Shteyn 277","Melody - ""For God is a jolly good fellow""","Alb R007(g)Alb L-049(a)"
"Say O'brian","T40840","","","","","","","See ""O'brian""",""
"OOOO0 Oh Boom (Eng)","T3507","","","","","","","",""
"Oath To Jerusalem (Heb)","T3509","","","","","","","",""
"Oatmeal And Bananas (Instr)","T9451","","","","","","","",""
"Obal Din Lou Limouzi (Auvergne)","T3510","","","","","","","",""
"Ober Morgn","T3511","Literary Origin/Humorous","אָבער מאָרגען","Poverty/Faith/Hope","CD H-039(a)","CD H-039(h)","","","CD H-039(h)"
"Oberek (Instr)","T8273","","","","","","","",""
"Oberek From Migroda (Polish, Inst)","T3512","","","","","","","",""
"Oberek Pulawiak (Polish, Instr)","T3513","","","","","","","",""
"Obertura De Los Gauchos Judios","T8827","","","","","","","",""
