"trackID","catalogueNumber"
"R1","2456"
"R10","36284"
"R100","53810"
"R1000","S-5 / S-6"
"R10000","32160133"
"R10001","LA30005"
"R10002","MR 113"
"R10003","AP-304"
"R10004","R-2573"
"R10005","TC 1053"
"R10006","YLR 1002"
"R10007","LE 7739"
"R10008","TC 1052"
"R10009","DL 8031"
"R1001","PL-A 118"
"R10010","FR 35502"
"R10011","AP 343"
"R10012","R 2573"
"R10013","LE 7605, LE7640, LE 7535, LE 7565"
"R10014","LE 7605"
"R10015","LE 7640"
"R10016","LE 7535"
"R10017","LE 7565"
"R10018","LE 7590"
"R10019","LE 7666"
"R1002","12068"
"R10020","LE 7769"
"R10021","LE 7770"
"R10022","LE 7738"
"R10023","NAR 3063/64"
"R10024","NSF 3064"
"R10025","E6104"
"R10026","E1281"
"R10027","B-578-A / B-578-B"
"R10028","AC 1495"
"R10029","BRM 1003"
"R1003","JSA 1096"
"R10030","BRM 102"
"R10031","LP119124"
"R10032","102341"
"R10033","102342"
"R10034","A-2004 / B-2004"
"R10035","S 64058"
"R10036","S 64058"
"R10037","ER-101"
"R10038","HP29572"
"R10039","HP29574"
"R1004","JSA 1097"
"R10040","HP29574"
"R10041","HP29593"
"R10042","RL 20000"
"R10043","65990"
"R10044","ME 009"
"R10045","ME 010"
"R10046","ME 011"
"R10047","ME 015"
"R10048","ME 018"
"R10049","ME 019"
"R1005","JSA 1098"
"R10050","246/ME 020"
"R10051","64321"
"R10052","CD 002"
"R10053","13010-A"
"R10054","I.D. 01"
"R10055","SR-002"
"R10056","I.D. 001"
"R10057","JK-1"
"R10058","MN-42"
"R10059",""
"R1006","JSA 1094"
"R10060","40009-A / 40009-B"
"R10061","68677"
"R10062","BAN14040"
"R10063","AN 42-08"
"R10064","LP 824"
"R10065","LPB-122"
"R10066","PF 507"
"R10067","1335-X"
"R10068","50048-B / 50048-A"
"R10069","63940-A / 63940-B"
"R1007","JSA 1095"
"R10070","V-59006-A / V-59006-B"
"R10071","245 / 245B"
"R10072","H-6004 A / H-6004 B"
"R10073","67045-A / 67045-B"
"R10074",""
"R10075","4 A / 4 B"
"R10076","SLC-1546"
"R10077","JAM-101"
"R10078","CH-501"
"R10079","CHAI-36"
"R1008","SA 1116"
"R10080","S 64187"
"R10081","CIR 7000"
"R10082","CR 4093"
"R10083","MS 7312"
"R10084","FE 4442"
"R10085","RB-186 / RB-187"
"R10086","B-10680-A / B-10680-B"
"R10087","25329-A / 25329-B"
"R10088","25860-A / 25860-B"
"R10089","A 15117 / B 15117"
"R1009","CMS 549"
"R10090","BB-65"
"R10091","24971"
"R10092","9-24971"
"R10093","HR 100-B"
"R10094","RL 9001"
"R10095",""
"R10096","HILLEL99"
"R10097","MHS 3809"
"R10098","25696"
"R10099","SWP 611"
"R101","T-143"
"R1010","CDC 7 54206 2"
"R10100","SWP 611"
"R10101","YAN14332"
"R10102","BAN15150"
"R10103","JEP-200"
"R10104","57081-F"
"R10105","5004A / 5004B"
"R10106","IZ 1A / IZ 1B"
"R10107","A.P.319"
"R10108","BAN14739"
"R10109","E1933"
"R1011","144"
"R10110","61101"
"R10111","17740-A / 17740-B"
"R10112","17829"
"R10113","17798-A / 17798-B"
"R10114","35822-A / 35822-B"
"R10115","MS 6091"
"R10116","81349 (7 74718 13492 9)"
"R10117","LM-26"
"R10118",""
"R10119","FF90591"
"R1012","103 A / 103 B"
"R10120","PIR 25-4"
"R10121","FF 70591"
"R10122","V-59008-A / V-59008-B"
"R10123","57003-F"
"R10124","H28-702-B / H28-702-A"
"R10125","IMC 1029"
"R10126","75000-A / 75000-B"
"R10127","258 / 259"
"R10128","9298-A / 9298-B"
"R10129","V-59023-A / V-59023-B"
"R1013","57076-F"
"R10130","9072-A / 9072-B"
"R10131","38-1009-B / 38-1009-A"
"R10132","51-0007-A / 51-0007-B"
"R10133","E.J. 263"
"R10134","HB.300 / HB.303"
"R10135","BH1504A / BH1505B"
"R10136","15Z-0013"
"R10137","JBS-1108"
"R10138","699043CL"
"R10139","BP 26351"
"R1014",""
"R10140","MS 6668"
"R10141","MS 6094"
"R10142","S 5-64047"
"R10143","64201"
"R10144","6311.017"
"R10145","LP 18020"
"R10146","AN 12-62"
"R10147","KM 4868"
"R10148","TA335584"
"R10149","E1399"
"R1015","MSL 1911"
"R10150","AP 335"
"R10151","88189"
"R10152","88189"
"R10153","85112"
"R10154","LP 2"
"R10155","MG-4870/1"
"R10156","20474-A / 20474-B"
"R10157","HN 07-2"
"R10158","M-618"
"R10159","1056 / 1056A"
"R1016","R.V.D. 175"
"R10160","1056 / 1056-A"
"R10161","1140-A / 1140"
"R10162","L-101"
"R10163","RC-101C / RC-101D"
"R10164","87363"
"R10165","87198"
"R10166","87528"
"R10167","P 1977"
"R10168","BT26436"
"R10169","A2560"
"R1017",""
"R10170","300833"
"R10171","4444 / 4445"
"R10172","3239"
"R10173","F3239"
"R10174","STFL 556"
"R10175","DJ 1172"
"R10176","13191"
"R10177","17994-A / 17994-B"
"R10178","B-2030 A / B-2030 B"
"R10179","B-2030 A / B-2030 B"
"R1018","NTE 7013"
"R10180","55230-B / 55230-A"
"R10181","38-1022-B / 38-1022-A"
"R10182","74600"
"R10183","974-A / 974-B"
"R10184","17749-A / 17749-B"
"R10185","MT 31425"
"R10186","49447"
"R10187","14946-A / 14946-B"
"R10188","D.B.1846"
"R10189","EMB 31121"
"R1019","1451 / 1452"
"R10190","FARN 91045"
"R10191","460 B / 460 A"
"R10192","S 63379"
"R10193","CBS 84769"
"R10194","T-29"
"R10195","344"
"R10196","SM 90012"
"R10197","8695-A / 8695-B"
"R10198","SAR 001"
"R10199","316"
"R102","SMIC-6A"
"R1020","FS 3881"
"R10200","AN 42-70"
"R10201","36009"
"R10202","60101"
"R10203","BAN 14008"
"R10204","DL 74989"
"R10205","AN 49-34"
"R10206","8420-A / 8420-B"
"R10207","1386-A / 1386-B"
"R10208","64600"
"R10209","64600"
"R1021",""
"R10210","715-B / 715-A"
"R10211","1386-A / 1386-B"
"R10212","1386-A / 1386-B"
"R10213","17220-A / 17220-B"
"R10214","74165"
"R10215","74165"
"R10216","6089-A / 6089-B"
"R10217","71038"
"R10218","1651-A / 1651-B"
"R10219","14322-A / 14322-B"
"R1022",""
"R10220","6161-A / 6161-B"
"R10221","250"
"R10222","80029 A / 80029 B"
"R10223","A1117"
"R10224","OA1117C"
"R10225","CL 99-52"
"R10226","26573-A / 26573-B"
"R10227","6033-A / 6033-B"
"R10228","1835"
"R10229","FLP 1260"
"R1023",""
"R10230","18390-A / 18390-B"
"R10231","E3469"
"R10232","13052"
"R10233","27"
"R10234","Special Program #1/2"
"R10235","VV 30447"
"R10236","64517"
"R10237","100140"
"R10238","1256 A / 1256 B"
"R10239","VSD 79294"
"R1024",""
"R10240","110 GA"
"R10241","JBS 111/112"
"R10242","JBS 113/114"
"R10243","JBS 115/116"
"R10244","JBS 117/118"
"R10245","JBS 119/120"
"R10246","M 7606"
"R10247","RH 3"
"R10248","CG 652"
"R10249","8120-F"
"R1025",""
"R10250","E2802"
"R10251","1003"
"R10252","E5216"
"R10253","E2856"
"R10254","03569 / 03569 B"
"R10255","Gamma Recordings Services"
"R10256","45001-A / 45001-B"
"R10257","20246-F"
"R10258","74249"
"R10259","4-10084"
"R1026",""
"R10260","3506-A / 3506-B"
"R10261","E4825"
"R10262","D.B. 6178"
"R10263","25-0065-B"
"R10264","1701-A / 1701-B"
