"sheetMusicID","sponsorID"
"SM1","SPR869"
"SM10","SPR871"
"SM100","SPR2137"
"SM1000","SPR887"
"SM1001","SPR887"
"SM1002","SPR885"
"SM1003","SPR885"
"SM1004","SPR885"
"SM1005","SPR885"
"SM1006","SPR885"
"SM1007","SPR885"
"SM1008","SPR885"
"SM1009","SPR2126"
"SM101","SPR2136"
"SM1010","SPR293"
"SM102","SPR2138"
"SM103","SPR1335"
"SM104","SPR2138"
"SM105","SPR2138"
"SM106","SPR871"
"SM107","SPR986"
"SM108","SPR871"
"SM1083","SPR1340"
"SM1084","SPR1336"
"SM1085","SPR1336"
"SM1086","SPR1336"
"SM1087","SPR1336"
"SM1088","SPR1336"
"SM1089","SPR1336"
"SM109","SPR1784"
"SM1090","SPR1336"
"SM1091","SPR1336"
"SM1092","SPR1336"
"SM1093","SPR1336"
"SM1094","SPR1336"
"SM1095","SPR1336"
"SM1096","SPR1336"
"SM1097","SPR1336"
"SM1098","SPR1336"
"SM1099","SPR1336"
"SM11","SPR871"
"SM110","SPR1741"
"SM1100","SPR1336"
"SM1101","SPR1336"
"SM1102","SPR1336"
"SM1103","SPR1336"
"SM1104","SPR1336"
"SM1105","SPR1336"
"SM1106","SPR1336"
"SM1107","SPR1336"
"SM1108","SPR1336"
"SM1109","SPR1336"
"SM111","SPR989"
"SM1110","SPR1336"
"SM1111","SPR1336"
"SM1113","SPR1336"
"SM1114","SPR1336"
"SM1115","SPR1336"
"SM1116","SPR1336"
"SM1117","SPR1336"
"SM1118","SPR1336"
"SM1119","SPR1336"
"SM112","SPR988"
"SM1120","SPR1059"
"SM1121","SPR1344"
"SM1122","SPR1344"
"SM1123","SPR1344"
"SM1124","SPR1344"
"SM1125","SPR1344"
"SM1126","SPR1344"
"SM1127","SPR1344"
"SM1128","SPR1344"
"SM1129","SPR1344"
"SM113","SPR875"
"SM1130","SPR1344"
"SM1131","SPR1344"
"SM1132","SPR1344"
"SM1133","SPR885"
"SM1134","SPR885"
"SM1135","SPR885"
"SM1136","SPR885"
"SM1137","SPR885"
"SM1138","SPR885"
"SM1139","SPR885"
"SM114","SPR869"
"SM1140","SPR885"
"SM1141","SPR885"
"SM1142","SPR855"
"SM1143","SPR855"
"SM1144","SPR1336"
"SM1145","SPR1065"
"SM1146","SPR1065"
"SM1149","SPR1317"
"SM115","SPR983"
"SM1150","SPR2151"
"SM1151","SPR1843"
"SM1152","SPR673"
"SM1153","SPR381"
"SM1154","SPR1335"
"SM1155","SPR1408"
"SM1156","SPR496"
"SM1157","SPR615"
"SM1158","SPR382"
"SM1159","SPR987"
"SM1160","SPR53"
"SM1161","SPR503"
"SM1162","SPR1335"
"SM1163","SPR743"
"SM1164","SPR1335"
"SM1165","SPR2"
"SM1165","SPR3"
"SM1166","SPR2"
"SM1166","SPR3"
"SM1167","SPR2"
"SM1167","SPR3"
"SM1168","SPR988"
"SM1169","SPR2"
"SM1169","SPR3"
"SM117","SPR1335"
"SM1170","SPR2"
"SM1170","SPR3"
"SM1171","SPR2"
"SM1171","SPR3"
"SM1172","SPR2"
"SM1172","SPR3"
"SM1173","SPR2"
"SM1173","SPR3"
"SM1174","SPR2"
"SM1174","SPR3"
"SM1175","SPR2"
"SM1175","SPR3"
"SM1177","SPR2"
"SM1177","SPR3"
"SM1178","SPR2"
"SM1178","SPR3"
"SM1179","SPR2"
"SM1179","SPR3"
"SM118","SPR1066"
"SM1180","SPR2"
"SM1180","SPR3"
"SM1181","SPR2"
"SM1181","SPR3"
"SM1182","SPR2"
"SM1182","SPR3"
"SM1184","SPR2"
"SM1184","SPR3"
"SM1185","SPR2"
"SM1185","SPR3"
"SM1186","SPR2"
"SM1186","SPR3"
"SM1187","SPR2"
"SM1187","SPR3"
"SM1188","SPR744"
"SM1189","SPR2"
"SM1189","SPR3"
"SM119","SPR2137"
"SM1190","SPR2"
"SM1190","SPR3"
"SM1191","SPR2"
"SM1191","SPR3"
"SM1193","SPR2"
"SM1193","SPR3"
"SM1194","SPR2"
"SM1194","SPR3"
"SM1195","SPR2"
"SM1195","SPR3"
"SM1196","SPR2"
"SM1196","SPR3"
