"smid","titleID"
"SM604","T10039"
"SM813","T10039"
"SM520","T10102"
"SM1009","T10116"
"SM1440","T10116"
"SM1445","T10118"
"SM1092","T10226"
"SM934","T10226"
"SM913","T1023"
"SM307","T10317"
"SM1443","T10324"
"SM353","T10453"
"SM1242","T10459"
"SM1391","T10459"
"SM1154","T10466"
"SM443","T10466"
"SM862","T10486"
"SM522","T10530"
"SM523","T10530"
"SM1316","T10537"
"SM562","T10614"
"SM965","T10614"
"SM80","T10638"
"SM1293","T10660"
"SM700","T10710"
"SM124","T10750"
"SM624","T10811"
"SM884","T10878"
"SM797","T10879"
"SM1471","T1093"
"SM245","T10963"
"SM64","T11288"
"SM613","T11364"
"SM1227","T11392"
"SM1097","T11402"
"SM939","T11402"
"SM41","T11448"
"SM296","T1149"
"SM229","T11494"
"SM185","T11498"
"SM564","T11505"
"SM517","T11575"
"SM1284","T11737"
"SM863","T11922"
"SM103","T1201"
"SM1162","T1201"
"SM963","T1201"
"SM1459","T12037"
"SM1441","T12171"
"SM1159","T1219"
"SM74","T1219"
"SM1295","T12212"
"SM1007","T12219"
"SM1427","T12219"
"SM507","T1226"
"SM509","T1228"
"SM831","T12463"
"SM156","T12767"
"SM18","T12767"
"SM298","T1279"
"SM447","T12881"
"SM1205","T1289"
"SM1308","T1289"
"SM1479","T1289"
"SM834","T12928"
"SM314","T12931"
"SM251","T12965"
"SM1334","T13013"
"SM505","T13119"
"SM323","T13222"
"SM704","T13233"
"SM283","T13235"
"SM722","T13316"
"SM1144","T13353"
"SM257","T13401"
"SM206","T13406"
"SM1278","T1341"
"SM78","T1341"
"SM114","T13439"
"SM1465","T13457"
"SM86","T13521"
"SM524","T13524"
"SM242","T13543"
"SM1482","T13556"
"SM1297","T13558"
"SM765","T13578"
"SM641","T13613"
"SM1263","T13696"
"SM1493","T13698"
"SM113","T13704"
"SM5","T13704"
"SM816","T13730"
"SM640","T1374"
"SM1387","T13759"
"SM749","T13759"
"SM211","T13763"
"SM10","T13766"
"SM160","T13766"
"SM693","T13771"
"SM582","T13813"
"SM617","T13905"
"SM389","T13989"
"SM1291","T14066"
"SM537","T14066"
"SM755","T14134"
"SM702","T14227"
"SM1382","T14237"
"SM55","T14245"
"SM1171","T14247"
"SM1290","T14293"
"SM442","T14347"
"SM669","T1446"
"SM609","T14496"
"SM328","T14768"
"SM331","T14768"
"SM73","T14864"
"SM1143","T14871"
"SM354","T14876"
"SM360","T14917"
"SM738","T15042"
"SM1142","T15146"
"SM28","T15183"
"SM404","T15183"
"SM1381","T15205"
"SM1457","T15218"
"SM1458","T15218"
"SM627","T15218"
"SM539","T15353"
"SM483","T15478"
"SM463","T15534"
"SM585","T15570"
"SM119","T15602"
"SM899","T15637"
"SM1439","T15639"
"SM1372","T1565"
"SM880","T15660"
"SM1363","T1569"
"SM391","T1571"
"SM436","T15730"
"SM1178","T15741"
"SM1181","T15741"
"SM1189","T15741"
"SM218","T15742"
"SM1238","T1579"
"SM690","T15827"
"SM1325","T15924"
"SM368","T15983"
"SM1228","T16501"
"SM117","T1656"
"SM1321","T16577"
"SM377","T16591"
"SM828","T16674"
"SM832","T1669"
"SM1004","T16782"
"SM1424","T16782"
"SM363","T16796"
"SM299","T16813"
"SM154","T16884"
"SM1086","T16886"
"SM927","T16886"
"SM1294","T17250"
"SM161","T17252"
"SM1283","T17253"
"SM684","T1738"
"SM774","T1740"
"SM908","T1740"
"6","T17569"
"SM271","T17811"
"SM1373","T17838"
"SM219","T1790"
"SM587","T17917"
"SM1348","T18001"
"SM1282","T18038"
"SM916","T18056"
"SM107","T1810"
"SM730","T1810"
"SM1495","T1816"
"SM1153","T18351"
"SM1220","T18351"
"SM666","T18353"
"SM717","T18381"
"SM1157","T184"
"SM1251","T184"
"SM1310","T184"
"SM138","T184"
"SM697","T184"
"SM836","T184"
"SM1288","T18486"
"SM1488","T1849"
"SM272","T1849"
"SM1115","T18524"
"SM957","T18524"
"SM1389","T18560"
"SM1472","T18713"
"SM1345","T1898"
"SM19","T1898"
"SM1246","T19015"
"SM1292","T19068"
"SM1279","T19071"
"SM1299","T19072"
"SM127","T19098"
"SM1281","T19129"
"SM1300","T19130"
"SM29","T19256"
"SM1245","T19344"
"SM912","T1936"
"SM919","T1943"
"SM1367","T19520"
"SM1306","T19679"
"SM513","T19749"
"SM1103","T1987"
"SM1346","T1987"
"SM945","T1987"
"SM449","T19915"
"SM1344","T1993"
"SM1286","T1996"
"SM1302","T20288"
"SM745","T20319"
"SM715","T20394"
"SM904","T2042"
"SM915","T2042"
"SM1229","T2043"
"SM75","T2043"
"SM1313","T20449"
"SM247","T20544"
"SM1307","T20545"
"SM1390","T20644"
"SM59","T20646"
"SM1386","T20652"
"SM776","T20706"
"SM146","T20738"
"SM359","T20739"
"SM1504","T20982"
"SM1323","T2100"
"SM875","T21019"
"SM112","T21021"
"SM817","T21021"
"SM905","T21028"
"SM306","T21029"
"SM1273","T21066"
"SM501","T21124"
"SM592","T21127"
"SM694","T21145"
"SM1350","T21244"
"SM1354","T21246"
"SM889","T2125"
"SM1175","T21253"
"SM215","T2136"
"SM221","T21519"
"SM1155","T21675"
"SM1169","T21675"
"SM1091","T21686"
"SM933","T21686"
"SM373","T2181"
"1280","T21817"
"SM561","T21853"
"SM1461","T21885"
"SM1463","T21910"
"SM811","T21910"
"SM533","T21976"
"SM97","T22040"
"SM448","T22152"
"SM60","T22210"
"SM1172","T22391"
"SM1204","T22391"
"SM571","T22411"
"SM545","T2256"
"SM1375","T22592"
"SM151","T22690"
"SM152","T22706"
"SM23","T22735"
"SM573","T22747"
"SM1216","T2291"
"SM289","T23070"
"SM642","T23097"
"SM259","T23150"
"SM698","T23550"
"SM99","T23580"
"SM790","T23602"
"SM1096","T23639"
"SM938","T23639"
"SM1207","T23867"
"SM882","T2397"
"SM1156","T2404"
"SM56","T2404"
"SM88","T2404"
"SM110","T2410"
"SM1127","T2410"
"SM502","T2410"
"SM503","T2410"
"SM57","T2410"
"SM58","T2410"
"SM868","T2410"
"SM93","T2410"
"SM892","T2421"
"SM1110","T2431"
"SM952","T2431"
"SM81","T2434"
"SM1252","T2437"
"SM750","T2437"
"SM1006","T24590"
"SM1426","T24590"
"SM1320","T24772"
"SM1187","T2515"
"SM1190","T2520"
"SM364","T2610"
"SM1304","T2676"
"SM310","T2723"
"SM48","T2723"
"SM910","T2730"
"SM1349","T2743"
"SM1116","T2753"
"SM1327","T2753"
"SM327","T2753"
"SM958","T2753"
"SM334","T2754"
"SM1305","T2777"
"SM1232","T2796"
"SM1476","T2796"
"SM1123","T2805"
"SM839","T2805"
"SM1164","T2806"
"SM1498","T2817"
"SM1494","T28749"
"SM123","T2934"
"SM657","T2944"
"SM1464","T2970"
"SM1099","T3014"
"SM186","T3014"
"SM753","T3014"
"SM917","T3014"
"SM941","T3014"
"SM1212","T3039"
"SM1098","T3047"
"SM940","T3047"
"SM1303","T30715"
"SM1126","T3088"
"SM1234","T3088"
"SM1259","T3088"
"SM325","T3088"
"SM326","T3088"
"SM600","T3098"
"SM4","T31366"
"SM1485","T31669"
"SM349","T3199"
"SM1206","T3227"
"SM397","T3235"
"SM181","T3238"
"SM843","T3297"
"SM825","T3305"
"SM409","T3381"
"SM1128","T3386"
"SM601","T3386"
"SM411","T3411"
"SM989","T34181"
"SM1341","T3427"
"SM395","T3449"
"SM387","T3450"
"SM869","T35063"
"SM111","T352"
"SM1119","T352"
"SM1131","T352"
"SM1193","T352"
"SM1224","T352"
"SM819","T352"
"SM961","T352"
"SM1208","T3520"
"SM1105","T3525"
"SM947","T3525"
"SM898","T3568"
"SM1250","T35700"
"SM1355","T36048"
"SM1173","T36183"
"SM620","T3650"
"SM653","T3667"
"SM67","T3667"
"SM1455","T373"
"SM713","T3871"
"SM1262","T38963"
"SM1221","T3912"
"SM1351","T3953"
"SM195","T39591"
"SM633","T39591"
"SM1179","T3993"
"SM1215","T3993"
"SM1114","T4002"
"SM956","T4002"
"SM795","T4005"
"SM625","T4008"
"SM1213","T4036"
"SM1460","T4036"
"SM618","T4073"
"SM122","T40851"
"SM1254","T40943"
"SM801","T40972"
"SM758","T40981"
"SM115","T41097"
"SM1454","T41211"
"SM1084","T41294"
"SM874","T41294"
"SM925","T41294"
"SM1","T41314"
"SM2","T41315"
"SM3","T41316"
"SM6","T41317"
"SM664","T41324"
"SM9","T41324"
"SM12","T41326"
"SM11","T41327"
"SM13","T41328"
"SM14","T41329"
"SM15","T41331"
"SM16","T41332"
"SM17","T41333"
"SM20","T41335"
"SM131","T41336"
"SM21","T41336"
"SM22","T41337"
"SM24","T41338"
"SM25","T41339"
"SM742","T4134"
"SM27","T41340"
"SM30","T41341"
"SM31","T41342"
"SM33","T41344"
"SM34","T41345"
"SM35","T41346"
"SM37","T41347"
