"sponsorID","sponsorName","sponsorInstitutionType","sponsorType"
"SPR10","[Mezhdunarodnaya Kniga]","-","Record Label"
"SPR100","Am-Chay","-","Record Label"
"SPR1000","Jakob Records","-","Record Label"
"SPR1001","Jamin Records","-","Record Label"
"SPR1002","Jane Peppler","-","Publisher"
"SPR1003","Janson Records","-","Record Label"
"SPR1004","Janus","-","Record Label"
"SPR1005","Jascha Heifetz-violinist","Ensemble/Artist (musical)","Commissioned"
"SPR1006","Jay-Gee Kiddie Time Records","-","Record Label"
"SPR1007","Jaybee","-","Record Label"
"SPR1008","Jazz Anthology","-","Record Label"
"SPR1009","JBI Talking Books","-","Record Label"
"SPR101","Amadeo","-","Record Label"
"SPR1010","JCS Release","-","Record Label"
"SPR1011","Jeffrey Klepper","-","Record Label"
"SPR1012","Jem Records","-","Record Label"
"SPR1013","Jennie Records","-","Record Label"
"SPR1014","JEP Records","-","Record Label"
"SPR1015","Jerusalem All Stars","-","Record Label"
"SPR1016","Jerusalem Records","-","Record Label"
"SPR1017","Jerusalem Symphony Orchestra","Ensemble/Artist (musical)","Commissioned"
"SPR1018","Jewel","-","Record Label"
"SPR1019","Jewish  Education","-","Record Label"
"SPR102","Ambient Studio","-","Record Label"
"SPR1020","Jewish  Education Committee of New York","-","Record Label"
"SPR1021","Jewish Agency for Israel","-","Record Label"
"SPR1022","Jewish Braille Institute of America Studios","-","Record Label"
"SPR1023","Jewish Classics","-","Record Label"
"SPR1024","Jewish Cultural Society","-","Record Label"
"SPR1025","Jewish Education Committee of NY","-","Publisher"
"SPR1026","Jewish Education Los Angeles","-","Record Label"
"SPR1027","Jewish Family Productions","-","Record Label"
"SPR1028","Jewish Folk Arts Society","-","Record Label"
"SPR1029","Jewish Ministers Cantors Association","Religious Organization (Jewish)","Commissioned"
"SPR103","AME Records","-","Record Label"
"SPR1030","Jewish Music Alliance","-","Publisher"
"SPR1031","Jewish Music Center","-","Record Label"
"SPR1032","Jewish Music Commission of Los Angeles","-","Record Label"
"SPR1033","Jewish Music Documentary Society","-","Record Label"
"SPR1034","Jewish Music Group","-","Record Label"
