"trackId","sectionNum","matrixNum","placePerformed","instrumentation"
"S1","16.100","Z 127-2","New York, NY","Tenor, Orchestra, Chorus"
"S10","16.100","19220-1","NY","Tenor, Orchestra, Chorus"
"S100","16.140","BS 036973-1 ","NY","Baritone & Piano"
"S1000","16.830","x","NY","Spoken"
"S1001","16.830","B 28939-3 ","NY","Vocal & Piano"
"S1002","16.830","B 28940-2 ","NY","Vocal & Piano"
"S1003","16.830","B 28941-2 ","NY","Vocal & Piano"
"S1004","16.830","B 29718-3 ","NY","Spoken (?)"
"S1005","16.830","B 29719-5 ","NY","Spoken (?)"
"S1006","16.830","E 28719","NY","Vocal & Orchestra"
"S1007","16.830","E 28720","NY","Vocal & Orchestra"
"S1008","16.830","E 28721","NY","Spoken"
"S1009","16.830","E 28722","NY","Spoken"
"S101","16.140","BS 036974-1 ","NY","Baritone & Piano"
"S1010","16.840","A 1568-1 ","NY","Vocal and Quartet "
"S1011","16.840","B 1568-1 ","NY","Vocal and Quartet "
"S1012","16.840","A 1572-1 ","NY","Vocal and Quartet "
"S1013","16.840","B 1572-1 ","NY","Vocal and Quartet "
"S1014","16.840","A 1573-2 ","NY","Vocal and Quartet "
"S1015","16.840","B 1573-1 ","NY","Vocal and Quartet "
"S1016","16.840","A 1574-1 ","NY","Vocal and Quartet "
"S1017","16.850","B 1564-1 ","NY","Vocal & Quartet (?)"
"S1018","16.850","B 1565","NY","Vocal & Quartet (?)"
"S1019","16.850","B 1566","NY","Vocal & Quartet (?)"
"S102","16.140","BS 036975-1","NY","Baritone & Piano"
"S1020","16.850","B 1567-1 ","NY","Vocal & Quartet (?)"
"S1021","16.850","A 1569-1 ","NY","Vocal & Quartet (?)"
"S1022","16.850","B 1569","NY","Vocal & Quartet (?)"
"S1023","16.850","A 1570-1 ","NY","Vocal & Quartet (?)"
"S1024","16.850","B 1570-1 ","NY","Vocal & Quartet (?)"
"S1025","16.850","A 1571-1 ","NY","Vocal & Quartet (?)"
"S1026","16.850","B 1571-1 ","NY","Vocal & Quartet (?)"
"S1027","16.850","B 1575-1 ","NY","Vocal & Quartet (?)"
"S1028","16.850","A 1576-1 ","NY","Vocal & Quartet (?)"
"S1029","16.850","B 1576-2 ","NY","Vocal & Quartet (?)"
"S103","16.140","RS 805-B ","NY","Baritone & Piano"
"S1030","16.850","A 1577-1 ","NY","Vocal & Quartet (?)"
"S1031","16.850","B 1577-1 ","NY","Vocal & Quartet (?)"
"S1032","16.850","B 1578","NY","Vocal & Quartet (?)"
"S1033","16.850","x","NY","Vocal & Quartet (?)"
"S1034","16.850","x","NY","Vocal & Quartet (?)"
"S1035","16.850","x","NY","Vocal & Quartet (?)"
"S1036","16.850","x","NY","Vocal & Quartet (?)"
"S1037","16.850","x","NY","Vocal & Quartet (?)"
"S1038","16.850","x","NY","Vocal & Quartet (?)"
"S1039","16.850","x","NY","Vocal & Quartet (?)"
"S104","16.140","RS 806-B","NY","Baritone & Piano"
"S1040","16.850","x","NY","Vocal & Quartet (?)"
"S1041","16.850","x","NY","Vocal & Quartet (?)"
"S1042","16.850","x","NY","Vocal & Quartet (?)"
"S1043","16.850","x","NY","Vocal & Quartet (?)"
"S1044","16.850","x","NY","Vocal & Quartet (?)"
"S1045","16.850","x","NY","Vocal & Orchestra"
"S1046","16.850","x","NY","Vocal & Orchestra"
"S1047","16.850","3000","NY","Vocal & Piano"
"S1048","16.850","x","NY","Vocal & Piano"
"S1049","16.850","3001","NY","Vocal & Piano"
"S105","16.140","RS 807-C","NY","Baritone & Piano"
"S1050","16.850","x","NY","Vocal & Piano"
"S1051","16.850","3002-1","NY","Vocal & Piano"
"S1052","16.850","x","NY","Vocal & Piano"
"S1053","16.850","3003","NY","Vocal & Piano"
"S1054","16.850","x","NY","Vocal & Piano"
"S1055","16.850","3004","NY","Vocal & Piano"
"S1056","16.850","x","NY","Vocal & Piano"
"S1057","16.850","3005-1","NY","Vocal & Piano"
"S1058","16.850","x","NY","Vocal & Piano"
"S1059","16.850","3006-1 (M 6) ","NY","Vocal"
"S106","16.140","RS 808-E","NY","Baritone & Piano"
"S1060","16.850","x","NY","Vocal"
"S1061","16.850","3007","NY","Vocal & Piano"
"S1062","16.850","x","NY","Vocal & Piano"
"S1063","16.850","3008","NY","Vocal & Piano"
"S1064","16.850","x","NY","Vocal & Piano"
"S1065","16.850","3009-2","NY","Vocal"
"S1066","16.850","x","NY","Vocal"
"S1067","16.850","3010","NY","Solo Vocal"
"S1068","16.850","M 33-1 ","NY","Solo Vocal"
"S1069","16.850","3011-2","NY","Vocal"
"S107","16.140","RS 809-B","NY","Baritone & Piano"
"S1070","16.850","x","NY","Vocal"
"S1071","16.850","3012-1","NY","Vocal & Piano"
"S1072","16.850","x","NY","Vocal & Piano"
"S1073","16.850","3013","NY","Vocal & Piano"
"S1074","16.850","x","NY","Vocal & Piano"
"S1075","16.850","3014","NY","Vocal & Piano"
"S1076","16.850","x","NY","Vocal & Piano"
"S1077","16.850","x","NY","Vocal & Orchestra"
"S1078","16.850","3193","NY","Vocal & Orchestra"
"S1079","16.850","x","NY","Vocal & Orchestra"
"S108","16.140","RS 810-C","NY","Baritone & Piano"
"S1080","16.850","3207","NY","Vocal & Orchestra"
"S1081","16.850","x","NY","Vocal & Orchestra"
"S1082","16.850","3208","NY","Vocal & Orchestra"
"S1083","16.850","x","NY","Vocal & Orchestra"
"S1084","16.850","3233-1-2","NY","Vocal & Orchestra"
"S1085","16.850","x","NY","Vocal & Orchestra"
"S1086","16.850","3234-1","NY","Vocal & Orchestra"
"S1087","16.850","x","NY","Vocal & Orchestra"
"S1088","16.850","3262","NY","Vocal & Orchestra"
"S1089","16.850","x","NY","Vocal & Orchestra"
"S109","16.140","RS 811-C","NY","Baritone & Piano"
"S1090","16.850","3263-1","NY","Vocal & Orchestra"
"S1091","16.850","x","NY","Vocal & Orchestra"
"S1092","16.850","x","NY","Vocal & Orchestra"
"S1093","16.850","3841-1","NY","Vocal & Orchestra"
"S1094","16.860","5053-3","NY","Tenor, Orchestra, Choir"
"S1095","16.860","5054-1","NY","Tenor, Orchestra, Choir"
"S1096","16.860","5083-2","NY","Tenor, Orchestra, Choir"
"S1097","16.860","5084-2","NY","Tenor, Orchestra, Choir"
"S1098","16.870","4385-2","NY","Spoken"
"S1099","16.870","4386-2","NY","Spoken"
"S11","16.100","19221-1","NY","Tenor, Orchestra, Chorus"
"S110","16.140","RS 812-B","NY","Baritone & Piano"
"S1100","16.870","4387-1","NY","Spoken"
"S1101","16.870","4388-2","NY","Spoken"
"S1102","16.870","W 106228-5 ","NY","Vocal & Piano"
"S1103","16.870","W 106229-4 ","NY","Vocal & Piano"
"S1104","16.870","E 28811","NY","Vocal, Orchestra"
"S1105","16.870","E 28812","NY","Vocal, Orchestra"
"S1106","16.880","x","NY","Vocal, Piano"
"S1107","16.880","B 17310-1 ","NY","Vocal & Orchestra"
"S1108","16.880","B 17311-1 ","NY","Vocal & Orchestra"
"S1109","16.880","B 17312-1 ","NY","Vocal & Orchestra"
"S111","16.140","RS 857-A ","NY","Baritone & Piano"
"S1110","16.880","B 17313-2 ","NY","Vocal & Orchestra"
"S1111","16.880","B 17314-1 ","NY","Vocal & Orchestra"
"S1112","16.880","B 17315-2 ","NY","Vocal & Orchestra"
"S1113","16.880","B 17336-2 ","NY","Vocal & Orchestra"
"S1114","16.880","B 17441-3 ","NY","Vocal & Orchestra"
"S1115","16.880","B 17442-3 ","NY","Vocal & Orchestra"
"S1116","16.880","B 17311-3 ","NY","Vocal & Orchestra"
"S1117","16.880","B 17444-1 ","NY","Vocal & Orchestra"
"S1118","16.880","B 17314-2 ","NY","Vocal & Orchestra"
"S1119","16.880","B 17336-3 ","NY","Vocal & Orchestra"
"S112","16.140","RS 859-B ","NY","Baritone & Piano"
"S1120","16.880","B 17617-1 ","NY","Vocal & Orchestra"
"S1121","16.880","B 17618-1 ","NY","Vocal & Orchestra"
"S1122","16.880","B 17986-2 ","NY","Vocal & Orchestra"
"S1123","16.880","B 17987-1 ","NY","Vocal & Orchestra"
"S1124","16.880","B 17988-2 ","NY","Vocal & Orchestra"
"S1125","16.880"," B 17988-3 ","NY","Vocal & Orchestra"
"S1126","16.880","B 19049-2 ","NY","Vocal & Orchestra"
"S1127","16.880","B 19049-4 ","NY","Vocal & Orchestra"
"S1128","16.880","B 19246-2 ","NY","Vocal & Orchestra"
"S1129","16.880","B 19295-2 ","NY","Vocal & Orchestra"
"S113","16.140","RS 860-A ","NY","Baritone & Piano"
"S1130","16.880","B 19400-2 ","NY","Vocal & Orchestra"
"S1131","16.880","B 19049-6 ","NY","Vocal & Orchestra"
"S1132","16.880","B 19295-3 ","NY","Vocal & Orchestra"
"S1133","16.880","B 19400-4 ","NY","Vocal & Orchestra"
"S1134","16.880","B 17441-6 ","NY","Vocal & Orchestra"
"S1135","16.880","B 19701-1 ","NY","Vocal & Orchestra"
"S1136","16.880","B 19929-3 ","NY","Vocal Quartet and Orchestra"
"S1137","16.880","B 19930-2 ","NY","Vocal Quartet and Orchestra"
"S1138","16.880","B 20132-3 ","NY","Vocal Quartet and Orchestra"
"S1139","16.880","B 20132-5 ","NY","Vocal Quartet and Orchestra"
"S114","16.140","RS 86i-B ","NY","Baritone & Piano"
"S1140","16.880","58465-1-2","NY","Vocal & Orchestra"
"S1141","16.880","58466-1 ","NY","Vocal & Orchestra"
"S1142","16.880","58467-1 ","NY","Vocal & Orchestra"
"S1143","16.880","58468-2 ","NY","Vocal & Orchestra"
"S1144","16.880","84009-3 ","NY","Vocal & Orchestra"
"S1145","16.880","84054-1 ","NY","Vocal & Orchestra"
"S1146","16.880","84055-1","NY","Vocal & Orchestra"
"S1147","16.880","x","NY","Vocal"
"S1148","16.880","x","NY","Vocal"
"S1149","16.880","x","NY","Vocal"
"S115","16.140","RS 862-A ","NY","Baritone & Piano"
"S1150","16.880","x","NY","Vocal"
"S1151","16.880","x","NY","Vocal"
"S1152","16.880","x","NY","Vocal"
"S1153","16.880","x","NY","Vocal"
"S1154","16.880","x","NY","Vocal"
"S1155","16.880","84211","NY","Vocal & Orchestra"
"S1156","16.880","84212","NY","Vocal & Orchestra"
"S1157","16.880","84213-1-2","NY","Vocal & Orchestra"
"S1158","16.880","3461-1","NY","Vocal"
"S1159","16.880","3462-1","NY","Vocal"
"S116","16.140","RS 863-A ","NY","Baritone & Piano"
"S1160","16.880","3679-2","NY","Vocal & Orchestra"
"S1161","16.880","3682-1","NY","Vocal & Orchestra"
"S1162","16.880","x","NY","Vocal"
"S1163","16.880","x","NY","Vocal"
"S1164","16.880","3731-2","NY","Vocal & Orchestra"
"S1165","16.880","3738-1","NY","Vocal & Orchestra"
"S1166","16.880","4336-1-2","NY","Vocal & Orchestra"
"S1167","16.880","4337-2","NY","Vocal & Orchestra"
"S1168","16.880","4338-1-2","NY","Vocal & Orchestra"
"S1169","16.880","4339-1","NY","Vocal & Orchestra"
"S117","16.150","44187","NY","Spoken"
"S1170","16.880","41048-2 ","NY","Vocal & Orchestra"
"S1171","16.880","41049-2 ","NY","Vocal & Orchestra"
"S1172","16.880","41050-4 ","NY","Vocal & Orchestra"
"S1173","16.880","41051-1 ","NY","Vocal & Orchestra"
"S1174","16.880","41188-2-3","NY","Vocal & Orchestra"
"S1175","16.880","41189-1-2","NY","Vocal & Orchestra"
"S1176","16.880","41190-1-2","NY","Vocal & Orchestra"
"S1177","16.880","41191-2 ","NY","Vocal & Orchestra"
"S1178","16.880","41402-1 ","NY","Vocal & Orchestra"
"S1179","16.880","41403-2 ","NY","Vocal & Orchestra"
"S118","16.150","44190","NY","Spoken"
"S1180","16.880","41404-1-2-3 ","NY","Vocal & Orchestra"
"S1181","16.880","41405-1-3","NY","Vocal & Orchestra"
"S1182","16.880","C 635-2 ","NY","Vocal & Orchestra"
"S1183","16.880","C 636","NY","Vocal & Orchestra"
"S1184","16.880","C 637","NY","Vocal & Orchestra"
