"trackID","albumID"
"P34195","???"
"P33355","001c"
"P33356","001c"
"P289","011m"
"P290","011m"
"P31572","015f"
"P31573","015f"
"P33002","035k"
"P33003","035k"
"P35064","035s"
"P35065","035s"
"P36779","063(g)"
"P31750","064(m)"
"P31751","064(m)"
"P33397","064(m)"
"P33398","064(m)"
"P33399","064(m)"
"P33395","064(n)"
"P33396","064(n)"
"P29854","A--038(b)"
"P10213","A-003(f)"
"P15632","A-003(f)"
"P2343","A-003(f)"
"P4631","A-003(f)"
"P9999","A-003(f)"
"P38407","A-011(0)"
"P40625","Alb A-104(a)"
"P10427","AP1"
"P10701","AP1"
"P10863","AP1"
"P11676","AP1"
"P14633","AP1"
"P3450","AP1"
"P4573","AP1"
"P13526","AP10"
"P14058","AP10"
"P16435","AP10"
"P17594","AP10"
"P5389","AP10"
"P5939","AP10"
"P10857","AP100"
"P12300","AP100"
"P13053","AP100"
"P13280","AP100"
"P13282","AP100"
"P13993","AP100"
"P14278","AP100"
"P16822","AP100"
"P17300","AP100"
"P18949","AP100"
"P2803","AP100"
"P5264","AP100"
"P6583","AP100"
"P6906","AP100"
"P23893","AP1000"
"P24116","AP1000"
"P24117","AP1000"
"P24118","AP1000"
"P24119","AP1000"
"P24120","AP1000"
"P24121","AP1000"
"P24122","AP1000"
"P24123","AP1000"
"P24124","AP1000"
"P24125","AP1000"
"P24126","AP1000"
"P24127","AP1000"
"P24128","AP1000"
"P24129","AP1000"
"P24130","AP1000"
"P24131","AP1000"
"P24132","AP1000"
"P24133","AP1000"
"P24134","AP1000"
"P24135","AP1000"
"P24136","AP1000"
"P24137","AP1000"
"P24138","AP1000"
"P24139","AP1000"
"P24140","AP1000"
"P24141","AP1000"
"P24142","AP1000"
"P24143","AP1000"
"P24144","AP1000"
"P24145","AP1000"
"P24146","AP1000"
"P24147","AP1000"
"P23894","AP1001"
"P23895","AP1001"
"P23896","AP1001"
"P23897","AP1001"
"P23898","AP1001"
"P23899","AP1001"
"P23900","AP1001"
"P23901","AP1001"
"P23902","AP1001"
"P23903","AP1001"
"P23904","AP1001"
"P24494","AP1001"
"P24495","AP1001"
"P24496","AP1001"
"P24497","AP1001"
"P24498","AP1001"
"P24499","AP1001"
"P24500","AP1001"
"P24501","AP1001"
"P24502","AP1001"
"P11706","AP1002"
"P11880","AP1002"
"P12117","AP1002"
"P12831","AP1002"
"P13226","AP1002"
"P14151","AP1002"
"P14513","AP1002"
"P15149","AP1002"
"P17252","AP1002"
"P18873","AP1002"
"P20398","AP1002"
"P2692","AP1002"
"P4438","AP1002"
"P6574","AP1002"
"P10951","AP1003"
"P11444","AP1003"
"P12759","AP1003"
"P14838","AP1003"
"P16292","AP1003"
"P16795","AP1003"
"P18436","AP1003"
"P18616","AP1003"
"P18914","AP1003"
"P19560","AP1003"
"P19998","AP1003"
"P2224","AP1003"
"P6666","AP1003"
"P7925","AP1003"
"P8761","AP1003"
"P8779","AP1003"
"P9483","AP1003"
"P9718","AP1003"
"P11029","AP1004"
"P12189","AP1004"
"P12834","AP1004"
"P13540","AP1004"
"P14771","AP1004"
"P15138","AP1004"
"P17645","AP1004"
"P2589","AP1004"
"P2591","AP1004"
"P7213","AP1004"
"P7698","AP1004"
"P7711","AP1004"
"P12190","AP1005"
"P15654","AP1005"
"P15934","AP1005"
"P16039","AP1005"
"P18366","AP1005"
"P2023","AP1005"
"P20411","AP1005"
"P2346","AP1005"
"P3918","AP1005"
"P4531","AP1005"
"P5266","AP1005"
"P5312","AP1005"
"P563","AP1005"
"P5819","AP1005"
"P10072","AP1006"
"P1145","AP1006"
"P12751","AP1006"
"P13882","AP1006"
"P16910","AP1006"
"P18971","AP1006"
"P37136","AP1006"
"P37137","AP1006"
"P4983","AP1006"
"P7273","AP1006"
"P8056","AP1006"
"P9174","AP1006"
"P10509","AP1007"
"P11135","AP1007"
"P12704","AP1007"
"P12816","AP1007"
"P17671","AP1007"
"P3569","AP1007"
"P3671","AP1007"
"P7170","AP1007"
"P7425","AP1007"
"P8874","AP1007"
"P13932","AP1008"
"P18500","AP1008"
"P18559","AP1008"
"P18574","AP1008"
"P18638","AP1008"
"P4570","AP1008"
"P4756","AP1008"
"P6285","AP1008"
"P6600","AP1008"
"P7250","AP1008"
"P7871","AP1008"
"P9070","AP1008"
"P9466","AP1008"
"P14315","AP1009"
"P15007","AP1009"
"P15029","AP1009"
"P16730","AP1009"
"P16873","AP1009"
"P1876","AP1009"
"P6487","AP1009"
"P6518","AP1009"
"P6595","AP1009"
"P6902","AP1009"
"P7520","AP1009"
"P11367","AP101"
"P12036","AP101"
"P13608","AP101"
"P14241","AP101"
"P15368","AP101"
"P17575","AP101"
"P18632","AP101"
"P2674","AP101"
"P3692","AP101"
"P3798","AP101"
"P3813","AP101"
"P10723","AP1010"
"P11199","AP1010"
"P14357","AP1010"
"P14826","AP1010"
"P15436","AP1010"
"P2167","AP1010"
"P2633","AP1010"
"P6033","AP1010"
"P6089","AP1010"
"P6329","AP1010"
"P6335","AP1010"
"P6539","AP1010"
"P29483","AP1011"
"P29484","AP1011"
"P29485","AP1011"
"P29486","AP1011"
"P29487","AP1011"
"P29488","AP1011"
"P29489","AP1011"
"P29490","AP1011"
"P29491","AP1011"
"P29492","AP1011"
"P29493","AP1011"
"P29494","AP1011"
"P29495","AP1011"
"P29496","AP1011"
"P29497","AP1011"
"P29498","AP1011"
"P29499","AP1011"
"P29500","AP1011"
"P29767","AP1011"
"P30990","AP1011"
"P10417","AP1012"
"P13074","AP1012"
"P14463","AP1012"
"P14819","AP1012"
"P15185","AP1012"
"P16140","AP1012"
"P16550","AP1012"
"P16687","AP1012"
"P16968","AP1012"
"P17023","AP1012"
"P18265","AP1012"
"P18395","AP1012"
"P1927","AP1012"
"P2046","AP1012"
"P2395","AP1012"
"P4301","AP1012"
"P4873","AP1012"
"P8338","AP1012"
"P8442","AP1012"
"P8710","AP1012"
"P9898","AP1012"
"P10065","AP1013"
"P11471","AP1013"
"P11990","AP1013"
"P1490","AP1013"
"P1495","AP1013"
"P15248","AP1013"
"P15669","AP1013"
"P16129","AP1013"
"P16576","AP1013"
"P18277","AP1013"
"P219","AP1013"
"P2651","AP1013"
"P2752","AP1013"
"P3886","AP1013"
"P560","AP1013"
"P6169","AP1013"
"P6367","AP1013"
"P7499","AP1013"
"P7501","AP1013"
"P8705","AP1013"
"P10784","AP1014"
"P14685","AP1014"
"P15388","AP1014"
"P17562","AP1014"
"P19176","AP1014"
"P3018","AP1014"
"P5475","AP1014"
"P6557","AP1014"
"P7277","AP1014"
