"trackID","hebrewTitleID"
"P10006","HT612"
"P10060","HT371"
"P10062","HT405"
"P10063","HT405"
"P10064","HT405"
"P10065","HT405"
"P10066","HT405"
"P10067","HT405"
"P10068","HT405"
"P10069","HT405"
"P10070","HT405"
"P10071","HT405"
"P10072","HT405"
"P10073","HT405"
"P10074","HT405"
"P10075","HT405"
"P10076","HT405"
"P10077","HT410"
"P10086","HT413"
"P10093","HT414"
"P10131","HT536"
"P10150","HT549"
"P10151","HT548"
"P10152","HT550"
"P10158","HT551"
"P10199","HT594"
"P10221","HT596"
"P10229","HT597"
"P10261","HT319"
"P10262","HT319"
"P10287","HT334"
"P10288","HT334"
"P10289","HT334"
"P10290","HT334"
"P10291","HT334"
"P10292","HT334"
"P10293","HT334"
"P10300","HT263"
"P10318","HT546"
"P10336","HT82"
"P10347","HT268"
"P10348","HT269"
"P10353","HT270"
"P10356","HT317"
"P10357","HT129"
"P10358","HT129"
"P10359","HT124"
"P10363","HT126"
"P10364","HT125"
"P10365","HT123"
"P10380","HT130"
"P10383","HT131"
"P10384","HT132"
"P10385","HT133"
"P10391","HT134"
"P10392","HT144"
"P10393","HT144"
"P10394","HT144"
"P10395","HT144"
"P10396","HT144"
"P10397","HT144"
"P10398","HT144"
"P10399","HT144"
"P10401","HT145"
"P10402","HT146"
"P10403","HT147"
"P10404","HT148"
"P10405","HT154"
"P10406","HT154"
"P10407","HT153"
"P10408","HT153"
"P10409","HT154"
"P10410","HT154"
"P10412","HT160"
"P10413","HT160"
"P10414","HT160"
"P10415","HT160"
"P10418","HT161"
"P10419","HT162"
"P10421","HT163"
"P10422","HT164"
"P10423","HT165"
"P10430","HT166"
"P10434","HT167"
"P10439","HT169"
"P10440","HT169"
"P10447","HT170"
"P10452","HT171"
"P10454","HT172"
"P10455","HT180"
"P10456","HT180"
"P10457","HT180"
"P10458","HT180"
"P10459","HT180"
"P10460","HT180"
"P10461","HT180"
"P10462","HT180"
"P10463","HT181"
"P10464","HT182"
"P10468","HT184"
"P10518","HT598"
"P10528","HT600"
"P10537","HT1163"
"P10546","HT529"
"P10563","HT631"
"P10564","HT631"
"P10565","HT632"
"P10566","HT631"
"P10567","HT631"
"P10568","HT631"
"P10569","HT631"
"P10614","HT518"
"P10673","HT405"
"P10674","HT405"
"P10675","HT405"
"P10676","HT405"
"P10677","HT410"
"P10678","HT410"
"P10679","HT410"
"P10680","HT410"
"P10681","HT410"
"P10682","HT410"
"P10683","HT410"
"P10684","HT410"
"P10685","HT410"
"P10686","HT410"
"P10687","HT410"
"P10688","HT410"
"P10689","HT410"
"P10703","HT415"
"P10760","HT633"
"P10761","HT635"
"P10800","HT520"
"P10802","HT521"
"P10814","HT544"
"P10826","HT574"
"P10827","HT575"
"P10830","HT583"
"P10831","HT582"
"P10832","HT584"
"P10868","HT558"
"P10869","HT558"
"P10870","HT558"
"P10871","HT558"
"P10872","HT558"
"P10879","HT559"
"P10902","HT562"
"P10903","HT562"
"P10904","HT562"
"P10921","HT563"
"P10922","HT564"
"P10940","HT565"
"P11003","HT566"
"P11013","HT569"
"P11014","HT569"
"P11017","HT571"
"P11053","HT638"
"P11054","HT639"
"P11055","HT641"
"P11056","HT641"
"P11057","HT642"
"P11094","HT930"
"P11096","HT931"
"P11144","HT934"
"P1118","HT370"
"P11180","HT670"
"P11236","HT671"
"P11237","HT672"
"P11244","HT674"
"P11245","HT674"
"P11247","HT675"
"P11254","HT676"
"P11255","HT677"
"P11283","HT690"
"P11287","HT691"
"P1129","HT409"
"P11299","HT678"
"P11300","HT679"
"P11312","HT681"
