"sponsorID","trackID","recordFormat","recordNumber"
"SPR10","R6558","33 1/3 RPM - 12""","-"
"SPR100","R7710","33 1/3 RPM - 12""","-"
"SPR1000","R10201","Cassette tape","-"
"SPR1000","R3860","33 1/3 RPM - 12""","-"
"SPR1001","R10077","33 1/3 RPM - 12""","-"
"SPR1001","R548","33 1/3 RPM - 12""","-"
"SPR1003","R6359","33 1/3 RPM - 12""","-"
"SPR1003","R8870","45 RPM","-"
"SPR1004","R9146","33 1/3 RPM - 12""","-"
"SPR1004","R9358","CD","-"
"SPR1005","M42","-","-"
"SPR1006","R9622","33 1/3 RPM - 12""","-"
"SPR1007","R10785","33 1/3 RPM - 12""","-"
"SPR1007","R14960","33 1/3 RPM - 12""","-"
"SPR1007","R14961","33 1/3 RPM - 12""","-"
"SPR1007","R14962","Cassette tape","-"
"SPR1008","R1540","CD","-"
"SPR1009","R4812","Cassette tape","-"
"SPR1009","R4813","Cassette tape","-"
"SPR1009","R4814","Cassette tape","-"
"SPR1009","R4815","Cassette tape","-"
"SPR1009","R4816","Cassette tape","-"
"SPR1009","R4817","Cassette tape","-"
"SPR1009","R4818","Cassette tape","-"
"SPR1009","R4819","Cassette tape","-"
"SPR1009","R4820","Cassette tape","-"
"SPR1009","R4821","Cassette tape","-"
"SPR1009","R4822","Cassette tape","-"
"SPR1009","R4823","Cassette tape","-"
"SPR1009","R5334","Cassette tape","-"
"SPR1009","R5335","Cassette tape","-"
"SPR1009","R5336","Cassette tape","-"
"SPR1009","R5337","Cassette tape","-"
"SPR1009","R5938","Cassette tape","-"
"SPR1009","R6412","Cassette tape","-"
"SPR1009","R6413","Cassette tape","-"
"SPR1009","R6414","Cassette tape","-"
"SPR1009","R6415","Cassette tape","-"
"SPR1009","R6416","Cassette tape","-"
"SPR1009","R6417","Cassette tape","-"
"SPR1009","R6418","Cassette tape","-"
"SPR1009","R6419","Cassette tape","-"
"SPR1009","R6420","Cassette tape","-"
"SPR1009","R6421","Cassette tape","-"
"SPR1009","R6422","Cassette tape","-"
"SPR1009","R6423","Cassette tape","-"
"SPR1009","R6424","Cassette tape","-"
"SPR1009","R6425","Cassette tape","-"
"SPR1009","R6426","Cassette tape","-"
"SPR1009","R6427","Cassette tape","-"
"SPR1009","R6428","Cassette tape","-"
"SPR1009","R6429","Cassette tape","-"
"SPR1009","R6430","Cassette tape","-"
"SPR1009","R6431","Cassette tape","-"
"SPR1009","R6432","Cassette tape","-"
"SPR1009","R6433","Cassette tape","-"
"SPR1009","R7208","Cassette tape","-"
"SPR1009","R7209","Cassette tape","-"
"SPR1009","R7210","Cassette tape","-"
"SPR1009","R9606","Cassette tape","-"
