Title,Catalogue_Number,Year,Artist_Band,Record_Label,Record_Format
(How Much is) That Pickle in the Window,2456,,Mickey Katz,Capitol Records,"78 RPM - 10"""
(How Much Is) That Pickle in the Window,F2456,,Mickey Katz,Capitol Records,45 RPM
(I Don't Stand) A Ghost of a Chance,357-L / 357-T,1945-11-14,Artie Shaw,Musicraft,"78 RPM - 10"""
(I Love You - I Love You - I Love You) Sweetheart of all My Dreams,36790,1945-02-25,Benny Goodman; Bob Hayden,Columbia,"78 RPM - 10"""
"(I've Been So Wrong, For So Long - But) I'm So Right Tonight",37506,1947-05-06,Dinah Shore,Columbia,"78 RPM - 10"""
(Put Another Nickel In) Music! Music! Music!,862,,Mickey Katz,Capitol Records,"78 RPM - 10"""
(Put Another Nickel In) Music! Music! Music!,F862,,Mickey Katz,Capitol Records,45 RPM
(Shachris),V-9089-A / V-9089-B,1928-06-25,Cantor Pierre Pinchik,Victor - His Master's Voice,"78 RPM - 10"""
(Vus Ken Zayn) Shtarker Fin Liebe?,B-515 A / B-515 B,,Seymour Rechtzeit,Banner,"78 RPM - 10"""
(When Your Hearts on Fire) Smoke Gets in Your Eyes,36284,1941-06-04,Benny Goodman; Helen Forest,Columbia,"78 RPM - 10"""
(You Got Me Between) The Devil and the Deep Blue Sea,B-10460-A / B-10460-B,1935-07-01,Benny Goodman; Helen Ward,Bluebird,"78 RPM - 10"""
10 Hiner Myt A Katshke,S-1505A / S-1505B,,Diana Blumenfeld,Spiro,"78 RPM - 10"""
100 Songs - 100 Stories,KIN 109,,Various,Kinneret Records,"33 1/3 RPM - 12"""
12 Golden Hits,46371,,Svika Pick,Koliphone,"33 1/3 RPM - 12"""
12th Annual 1980 Chassidic Song Festival of Israel,BCCF-91080,,Ron Eliran; Gittit Shovl; Shimi Tavori; Others,Brown-Collins,"33 1/3 RPM - 12"""
12th Annual Cantorial Concert - Part 2,,,various artists,Private label,Cassette tape
12th Annual [Classical] Cantorial Concert - Part 1,,,various artists,Private label,Cassette tape
13 Hits,BAN 14300,,various,Hed-Arzi,"33 1/3 RPM - 12"""
13th Anniversary of the State of Israel,,,Sal Mineo,Israel Broadcasting Service,"33 1/3 RPM - 12"""
13th Anniversary of the State of Israel - Part I & Part II,Special Program Part I/II,,Sal Mineo,Vistas of Israel,"33 1/3 RPM - 12"""
14 Children songs from Walt Disney's soundtracks,VV 30425,,Lucy Arnon; Reuven Sheffer; Eldat Arnon,Hataklit,"33 1/3 RPM - 12"""
15th Anniversary of Israel - Part I & Part II,Special Program #1/2,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
16 Play Songs in Hebrew,FR-104,,Yaffa Yarkoni,Fran,"33 1/3 RPM - 12"""
16 Play Songs Sung in Hebrew,Y-118,,Yaffa Yarkoni,Yeled,"33 1/3 RPM - 12"""
16 songs for Kids 3 to 33,RPM33-602,,Jaffa Yarkoni,Makolit,"33 1/3 RPM - 12"""
18 Chai-Life Gala Concert,ACC 3806,,Various,Private label,"33 1/3 RPM - 12"""
"18 Years, Due Re'im",L-6118,,Various,Galton,Cassette tape
"18 Years, Due Re'im",L-6118,,Various,Galton,"33 1/3 RPM - 12"""
1812 Overture (Ouverture Solennelle) (concluded),13625-A / 13625-B,,Arthur Fiedler,Victor - His Master's Voice,"78 RPM - 12"""
1812 Overture (Ouverture Solennelle) Part 3,13624-A / 13624-B,,Arthur Fiedler,Victor - His Master's Voice,"78 RPM - 12"""
1812 Overture (Part 1) ,50047-A / 50047-B,,Nikolai Sokoloff,Brunswick,"78 RPM - 12"""
"19 / ""Chai-Life"" + 1 Gala Concert",ACC 3807/8,1972-06-29,Various,Private label,"33 1/3 RPM - 12"""
1904-1994 A Retrospective,100355,,Hazzan Yehudah Leib Mandel,Jewish Theologial Seminary,CD
1960 Newport Folk Festival,EKL-189,,Theodore Bikel; Oscar Brand; Will Holt Oranim Zabar,Elektra Entertainment,"33 1/3 RPM - 12"""
1974 Concert in Honor of Jewish Music Month,100091,,Cantor Zvee Aroni,Private label,CD
1985 Israeli Chassidic Festival,FEST-85,,Various,Isra-Art Records,"33 1/3 RPM - 12"""
1985 Israeli Chassidic Festival,FEST-85,,Various,Isra-Art Records,Cassette tape
1985 Israeli Chassidic Festival,ICF 85,,Various,Isra-Art Records,Cassette tape
1985 Israeli Chassidic Festival,ICF-85,,Various,Isra-Art Records,"33 1/3 RPM - 12"""
1990 Chassidic Song Festival,MC 111,,various,IMC,Cassette tape
1993 UAHC Biennial Convention - Friday Evening Oneg Shabbat,6,,unknown,Convention Cassettes,Cassette tape
1994 Rabbinical Assembly Convention - Hazzanic Master Class,8,,Hazzanim P. Kowarsky ; B. Maissner,Convention Cassettes,Cassette tape
1994 Rabbinical Assembly Convention - Hazzanic Master Class: Yom Kippur,35,,Hazzan Faith Steinsnyder Gurney,Convention Cassettes,Cassette tape
1996 CCAR - Philadelphia - Death and Dying in Kabbalistic Sources,CCAR-131-1996,,Ronit Meroz,"Life Communications, Inc.",Cassette tape
1996 CCAR - Philadelphia - Keeping the Rabbinical Flame Alive,CCAR-153-1996,,Jack Bloom,"Life Communications, Inc.",Cassette tape
1996 Rabbinical Assembly Convention - Israel 100 Years,13b,,Rabbi Hertzberg,Convention Cassettes,Cassette tape
1996 Rabbinical Assembly Convention - Towards a Prayer book Commentary: A Model for Interpretitive Translation,61,,Rabbi Eliezer Diamond,Convention Cassettes,Cassette tape
1997 CCAR - Miami - Decision Making Tape 1: Religious Decisions (Part #1),CCAR-128-1997,,William Scott Green,"Life Communications, Inc.",Cassette tape
1997 CCAR - Miami - Decision Making Tape 2: Religious Decisions (Part #2),CCAR-129-1997,,William Scott Green,"Life Communications, Inc.",Cassette tape
1997 CCAR - Miami - H.H. & Medicine Tape 1: The Role of Prayer,CCAR-135-1997,,Steven Kaye,"Life Communications, Inc.",Cassette tape
