1,Simon Tenovsky Orchestra,,,,,,
2,"Corman, William",,,,,,
3,"Weidner, Michael",,,,,,
4,101 Strings,,,,,,
5,101 Talented Voices,,,,,,
6,"Eisenberg, Sam",,,,,,
7,24th Street Klezmer Band,,,,,,
8,A Shtetl Wedding Ensemble,,,,,,
9,"Aaron, Ben","אהרן, בּן","Pseudonym for Mikhl Gelbart. See ""Gelbart, Mikhl""",,,,
10,"Aaron, Lee",,,,,,
11,"Aaron, Tossi",,,,,,
12,"Kutcher, Sam",,,,,,
13,"Abarbanel, Mendl","אַבאַרבאַנעל, מענדל",,1888,1957,USSR,
14,"Abbott, Patsy",,,,,,
15,"Abelson, Cantor Robert Paul",,,,,,
16,"Robin, Jeffrey",,,,,,
17,KlezRoym,,,,,,
18,"Coen, Eva",,,,,,
19,"Grinberg, Roman",,,,,,
20,Zohar (Group),,,,,,
21,"Bensoussan, Aaron",,,,,,
22,"Haza, Ofra",,,1959,,,"Tel Aviv, Israel"
23,Abraham (No First Name Given),,,,,,
24,"Uzilevsky, Marcus",,,,,,
25,"Abraham, Elchanan",,,1614,,,
27,"Abrahamson, Ayre",,,,,,
28,"Abramovici, Trici",,,,,,
29,Uzca,,,,,,New York
30,"Abramovitz, A.","אברמוביץ, א.",,,,,
31,"Abramovits, Fayvl","אברמוביץ, פייבל",,,,,
32,"Abramovitz, Uri","אַבּרמוביץ, אורי",,,,,
33,"Abrams, Bonnie",,,,,,
34,"Abramson, Ari","אַבראַמסאָן, אַרי",,,,,
35,"Abrass, Joshua (Pitsele)",,,1820,1884,,
36,"Abravanel, Maurice",,,,,,
37,"Abromovici, Trici",,,,,,
38,Abromovitch,,,,,,
39,"Esim, Janet",,,,,,
40,"Achron, Yosef","אחרון, יוסף",,1886,1943,,
41,"Adam, Emil,",,,,,,
42,"Esim, Jak",,,,,,
43,"Ogur, Erkan",,,,,,
44,"Luz, Consuelo",,,,,,Chile
45,Fortuna,,,,,,
46,"Adama, Maurice Zaoui",,,,,,
47,"Adams, Joey",,,,,,
48,"Paffrath, Thomas",,,,,,
50,"Adams, Mason",,,,,,
52,Adath Jeshurun Choir,,,,,,
53,Adath Jeshurun Choir and Cong,,,,,,
54,Adath Jeshurun Chorus,,,,,,
55,"Adi, Jacob",,,,,,
57,Adler (No First Name Given),,"Member of ""Yacht Club Boys""",,,,
60,"Adler, Bruce",,,,,,
68,"Adler, Ellen",,,,,,
72,"Adler, Hugo Chaim",,,1894-95,1955,,
74,"Adler, Hyman",,,,,,
79,"Adler, Rafael",,,,,,
85,"Adler, Samuel",,,1928,,,
87,"Adler, Yakov","אַדלער, יעקבֿ",,1874,1973,,
90,"Admon, Yedidya","אדמון, י.","Born ""Gorochov""/Emigrated to Palestine 1906/See Vorbei 287","December 5, 1984",,Israel,"Yekaterinoslav, now Dnepropetrovsk, Ukraine"
91,"Afarian, Robert",,,,,,
92,"Aftergut, E.",,,,,,
93,"Agat, Rakhl","אגת, רחל",,,,,
95,"Agmon, Chaim","אגמון, חיים",,,,,
96,"Aguado, Bienvenida",,,,,,"Cannakale, Turkey"
99,"Aguinsky, Zoila",,,,,,
101,"Aharon, Moshe","אהרון, משה ומקהחה",,,,,
102,"Aharoni, D.",אהרוני,,,,,
103,Ahava Raba,,,,,,
104,"Drees, Simon Jacob",,,,,,
105,"Ahl, Leon",,,,,,
106,"Ahron, E.","אהרון, ע.",,,,,
107,"Ahroni, Hanna",,,,,,
108,"Ahronovitch, Yuri",,,,,,
109,"Ayzikovitch, Mark","אײַזיקאָװיטש, מאַרק",,1946,,,"Poltova, Ukraine"
111,"Akselrod, Avrom",,,,,,
112,"Violinsky, Solly",,,,,,
113,Alagon,,,,,,
120,"Alberstein, Chava","אַלבערשטײַן, חוה",,1947,,,"Szczecin, Poland"
131,"Albert, Danny & Orchestra",,,,,,
132,"Albert, S.",אלבּרט סבג,,,,,
133,"Albertelli, L.","אַלבערטעלי, ל.",,,,,
134,"Albimor, V.","אלבּימור, װ.",,,,,
135,"Albrecht, Avraham","אלבריט, אַבֿרהם",,,,,
141,"Albrecht, H.",,,,,,
143,"Aldema, Gil","אלדמע, גיל",,1928,,,"Tel Aviv, Israel"
168,"Aldss-,",,,,,,
169,"Aleiartzik, A.",,,,,,
171,"Aleichem, Sholom","עליכם, שלום",,"March 3, 1859","May 13, 1916","New York, New York, USA","Pereyaslav, Ukraine, Russia"
172,Sholom Aleichem,שלום עליכם,,"March 3, 1859","May 13, 1916","New York, New York, USA","Pereyaslav, Ukraine, Russia"
175,"Aleksander, Harry","אלכּסנדר, חוריה",,,,,
178,"Alexandrovitsh, Cantor Misha","אַלעקסאַנדראָװיטש, חזן מישאַ",,"July 23, 1914","July 4, 2003","Munich, Germany","Berstil, Latvia"
179,Aleph Duo,,,,,,
180,"Alessi, Oscar",,,,,,
181,"Alexander, H. H.","אַלעקסאַנגער, ה. ה.",,,,,
182,"Alexander, Khaim",,,,,,
183,"Alexander, Sharon",,,,,,
185,"Alexander, Uria","אַלעקסאַנדער, אוריה",,,,,
187,Alexandra,אלכּסנדרה,,,,,
188,"Alexandrov, Khaim","אַלעקסאַנדראָװ, חיים",,,,,
189,"Alexandrovich, Alex",,,,,,
191,"Alexandrovitch, Cantor Misha","אַלעקסאַנדראָװיטש, חזן מישאַ",,1914,2002,,"Berspils, Latvia near Riga"
195,"Alexius, Carl J.",,,,,,
196,"Aleykni, Yosef",,,,,,
197,"Alfassy, L.",,,,,,
199,"Algazi, Leon",,"Born ""Yehuda Algazi""/ See Vorbei 284",1890,1971,,
206,"Olitski, Leyb","אָליטסקי, לײב",,,,,
207,"Alkabetz, Rabbi Solomon","אלקבּץ, ר"" שלמה",,1505,1584,,
210,"Alkeyni, Yosef",,,,,,
212,"Allen, Cantor Richard",,,,,,
213,"Allen, L.",,,,,,
