R1,(How Much is) That Pickle in the Window,2456,,Mickey Katz,Capitol Records,"78 RPM - 10"""
R2,(How Much Is) That Pickle in the Window,F2456,,Mickey Katz,Capitol Records,45 RPM
R3,(I Don't Stand) A Ghost of a Chance,357-L / 357-T,1945-11-14,Artie Shaw,Musicraft,"78 RPM - 10"""
R4,(I Love You - I Love You - I Love You) Sweetheart of all My Dreams,36790,1945-02-25,Benny Goodman; Bob Hayden,Columbia,"78 RPM - 10"""
R5,"(I've Been So Wrong, For So Long - But) I'm So Right Tonight",37506,1947-05-06,Dinah Shore,Columbia,"78 RPM - 10"""
R6,(Put Another Nickel In) Music! Music! Music!,862,,Mickey Katz,Capitol Records,"78 RPM - 10"""
R7,(Put Another Nickel In) Music! Music! Music!,F862,,Mickey Katz,Capitol Records,45 RPM
R8,(Shachris),V-9089-A / V-9089-B,1928-06-25,Cantor Pierre Pinchik,Victor - His Master's Voice,"78 RPM - 10"""
R9,(Vus Ken Zayn) Shtarker Fin Liebe?,B-515 A / B-515 B,,Seymour Rechtzeit,Banner,"78 RPM - 10"""
R10,(When Your Hearts on Fire) Smoke Gets in Your Eyes,36284,1941-06-04,Benny Goodman; Helen Forest,Columbia,"78 RPM - 10"""
R11,(You Got Me Between) The Devil and the Deep Blue Sea,B-10460-A / B-10460-B,1935-07-01,Benny Goodman; Helen Ward,Bluebird,"78 RPM - 10"""
R12,10 Hiner Myt A Katshke,S-1505A / S-1505B,,Diana Blumenfeld,Spiro,"78 RPM - 10"""
R13,100 Songs - 100 Stories,KIN 109,,Various,Kinneret Records,"33 1/3 RPM - 12"""
R14,12 Golden Hits,46371,,Svika Pick,Koliphone,"33 1/3 RPM - 12"""
R15,12th Annual 1980 Chassidic Song Festival of Israel,BCCF-91080,,Ron Eliran; Gittit Shovl; Shimi Tavori; Others,Brown-Collins,"33 1/3 RPM - 12"""
R16,12th Annual Cantorial Concert - Part 2,,,various artists,Private label,Cassette tape
R17,12th Annual [Classical] Cantorial Concert - Part 1,,,various artists,Private label,Cassette tape
R18,13 Hits,BAN 14300,,various,Hed-Arzi,"33 1/3 RPM - 12"""
R19,13th Anniversary of the State of Israel,,,Sal Mineo,Israel Broadcasting Service,"33 1/3 RPM - 12"""
R20,13th Anniversary of the State of Israel - Part I & Part II,Special Program Part I/II,,Sal Mineo,Vistas of Israel,"33 1/3 RPM - 12"""
R21,14 Children songs from Walt Disney's soundtracks,VV 30425,,Lucy Arnon; Reuven Sheffer; Eldat Arnon,Hataklit,"33 1/3 RPM - 12"""
R22,15th Anniversary of Israel - Part I & Part II,Special Program #1/2,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
R23,16 Play Songs in Hebrew,FR-104,,Yaffa Yarkoni,Fran,"33 1/3 RPM - 12"""
R24,16 Play Songs Sung in Hebrew,Y-118,,Yaffa Yarkoni,Yeled,"33 1/3 RPM - 12"""
R25,16 songs for Kids 3 to 33,RPM33-602,,Jaffa Yarkoni,Makolit,"33 1/3 RPM - 12"""
R26,18 Chai-Life Gala Concert,ACC 3806,,Various,Private label,"33 1/3 RPM - 12"""
R27,"18 Years, Due Re'im",L-6118,,Various,Galton,Cassette tape
R28,"18 Years, Due Re'im",L-6118,,Various,Galton,"33 1/3 RPM - 12"""
R29,1812 Overture (Ouverture Solennelle) (concluded),13625-A / 13625-B,,Arthur Fiedler,Victor - His Master's Voice,"78 RPM - 12"""
R30,1812 Overture (Ouverture Solennelle) Part 3,13624-A / 13624-B,,Arthur Fiedler,Victor - His Master's Voice,"78 RPM - 12"""
R31,1812 Overture (Part 1) ,50047-A / 50047-B,,Nikolai Sokoloff,Brunswick,"78 RPM - 12"""
R32,"19 / ""Chai-Life"" + 1 Gala Concert",ACC 3807/8,1972-06-29,Various,Private label,"33 1/3 RPM - 12"""
R33,1904-1994 A Retrospective,100355,,Hazzan Yehudah Leib Mandel,Jewish Theologial Seminary,CD
R34,1960 Newport Folk Festival,EKL-189,,Theodore Bikel; Oscar Brand; Will Holt Oranim Zabar,Elektra Entertainment,"33 1/3 RPM - 12"""
R35,1974 Concert in Honor of Jewish Music Month,100091,,Cantor Zvee Aroni,Private label,CD
R36,1985 Israeli Chassidic Festival,FEST-85,,Various,Isra-Art Records,"33 1/3 RPM - 12"""
R37,1985 Israeli Chassidic Festival,FEST-85,,Various,Isra-Art Records,Cassette tape
R38,1985 Israeli Chassidic Festival,ICF 85,,Various,Isra-Art Records,Cassette tape
R39,1985 Israeli Chassidic Festival,ICF-85,,Various,Isra-Art Records,"33 1/3 RPM - 12"""
R40,1990 Chassidic Song Festival,MC 111,,various,IMC,Cassette tape
R41,1993 UAHC Biennial Convention - Friday Evening Oneg Shabbat,6,,unknown,Convention Cassettes,Cassette tape
R42,1994 Rabbinical Assembly Convention - Hazzanic Master Class,8,,Hazzanim P. Kowarsky ; B. Maissner,Convention Cassettes,Cassette tape
R43,1994 Rabbinical Assembly Convention - Hazzanic Master Class: Yom Kippur,35,,Hazzan Faith Steinsnyder Gurney,Convention Cassettes,Cassette tape
R44,1996 CCAR - Philadelphia - Death and Dying in Kabbalistic Sources,CCAR-131-1996,,Ronit Meroz,"Life Communications, Inc.",Cassette tape
R45,1996 CCAR - Philadelphia - Keeping the Rabbinical Flame Alive,CCAR-153-1996,,Jack Bloom,"Life Communications, Inc.",Cassette tape
R46,1996 Rabbinical Assembly Convention - Israel 100 Years,13b,,Rabbi Hertzberg,Convention Cassettes,Cassette tape
R47,1996 Rabbinical Assembly Convention - Towards a Prayer book Commentary: A Model for Interpretitive Translation,61,,Rabbi Eliezer Diamond,Convention Cassettes,Cassette tape
R48,1997 CCAR - Miami - Decision Making Tape 1: Religious Decisions (Part #1),CCAR-128-1997,,William Scott Green,"Life Communications, Inc.",Cassette tape
R49,1997 CCAR - Miami - Decision Making Tape 2: Religious Decisions (Part #2),CCAR-129-1997,,William Scott Green,"Life Communications, Inc.",Cassette tape
R50,1997 CCAR - Miami - H.H. & Medicine Tape 1: The Role of Prayer,CCAR-135-1997,,Steven Kaye,"Life Communications, Inc.",Cassette tape
R51,1997 CCAR - Miami - H.H. & Medicine Tape 5: The Synagogue as a Place of Healing (Part #2),CCAR-139-1997,,A. Azriel; R. Friedman,"Life Communications, Inc.",Cassette tape
R52,1997 CCAR - Miami - Life Cycle Tape 4: Managing Difficult Situations,CCAR-151-1997,,N. Cohen; J. Schartz ; R. Sansino,"Life Communications, Inc.",Cassette tape
