Composer
Gustave Cohen
A.J. Davis
Amsterdam|Western Sephardi Tradition
Alois Kaiser
Edward Stark
Sigmund Schlesinger
Frederick Kitziger
C. Weber
Various
Max Graumann
Hugo Weisgall
Traditional
Aaron Bensoussan
Simon Sargon
Marvin Levy
Leo Kraft
Robert Starer
Samuel Adler
Ofer Ben-Amots
Bruce Adolphe
Sid Robinovitch
Abraham Binder
Mario Castelnuovo-Tedesco
Emanuel Rosenberg
Bruce Roter
Ben Steinberg
Ernest Bloch
Herbert Fromm
Julius Chajes
Heinrich Schalit
Isadore Freed
Max Helfman
Frederick Jacobi
Hugo Chaim Adler
Abraham Wolf Binder
Charles Davidson and Others
Charles Davidson
Leib Glantz
Moshe Koussevitzky
Joshua Lind
Todros Greenberg
Abraham Kalechnik
x
Isaac Kaminsky
Israel Schorr
Zavel Zilberts
Ira Bigeleisen
Meyer Machtenberg
Joseph Rumshinsky
Dan Frohman
Yossele Rosenblatt
Jacob Gottlieb
Moses J. Silverman
Neil W. Levin
Israel Goldfarb
Abraham Ellstein
Neil Levin
Moshe Ganchoff
Louis Lewandowski
Paul Discount
Joseph Goldstein
S. Silbermintz
David Moshe Steinberg
Joshua Samuel Weisser [Pilderwasser]
Jacob Rappaport
Anon (as sung by Yossele Rosenblatt)
O. Julius
Jacob Goldstone 
Sholom Secunda
Yankl Gottlieb
Jerome Kopmar
Micharl Horvit
Michael Isaacson
Michael Horvit
Haim Elisha
Charles Feldman
Judith Shatin
Alexander Olshanetsky
Meir Finkelstein
Issachar Miron
Meyer Posner
Steve Barnett
Aminadav Aloni
Debbie Friedman
Sol Zim
Craig Taubman
William Sharlin
Martin Kalmanoff
Jeff Klepper
Jack Gottlieb
S.W. Waley
Robert Stern
Max Janowski
Adolph Katchko
Solomon Ancis
Solomon Golub
Avrahom Goldfaden
Hugo Adler
Lazare Saminsky
Ludwig Altman
Moishe Oysher
Stephen Richards
Sidor Belarsky
Israel Alter
Bonia Shur
Frederick Piket
Robert Strassburg
David Schiff
F. Greenspan
Mark Silver
Max Bruch
Leo Low
Elliot Levine
Samuel Malavsky
Aaron Miller
Shmuel Shapiro
Darius Milhaud
Flory Jagoda
Sholom Kalib
Herman Berlinski
Reuven Kosakoff
Leonard Bernstein
Jacob Weinberg
Benjie Schiller
Ellis Kohs
Joseph Brody
Morris Barash
Traditional?
Paul Schoenfield
Osvaldo Golijov
Yehudi Wyner
Leon Stein
Ben Zion Shenker
Aaron Tishkowsky
Emily Gresser
Morton Gould
Arnold Schoenberg
Alexandre Tansman
Roy Harris
David Diamond
Paul Dessau
Miriam Gideon
Judith Zaimont
David Amram
Lazar Weiner
Jacob Druckman
Douglas Moore
Stefan Wolpe
Ruth Schonthal
Ezra Laderman
Vivian Fine
Yehezkel Braun
Kurt Weill
Paul Ben-Haim
Marc Lavry
Walter Scharf
Harold Shapero
Mikhl Gelbart
Henoch Kon
Paul Lamkoff
Nicholas Saslavsky
Helen Greenberg
Maurice Rauch
Pinchas Jassinowsky
Samuel Bugatch
Shulamit Ran
Mario Davidovsky
Joseph Achron
Leo Ornstein
John Zorn
Richard Wernick
Sergei Prokofiev
Jan Radzynski
Meyer Kupferman
Leo Smit
Michael Shapiro
Aaron Copland
Aaron Avshalomov
Ernst Toch
William Schuman
Henri Lazarof
Lukas Foss
Joel Hoffman
Sheila Silver
Jan Meyerowitz
Abraham Kaplan
Jean Berger
Jakov Medvedieff
Mordechai (Mordkhe) Gebirtig
Irving Berlin
Joshua Weisser
Anonymous
Maurice Goldman
S. Gozinsky
Solomon Shmulevitsh
Louis Gilrod
Herman Yablokoff
Abe Schwartz
Ilia Trilling
David Meyerowitz
Fischel Kanapoff
Reuben Doctor
Arnold Perlmutter
Herman Wohl
David Roitman
Pierre Pinchik
David Kusevitsky
William Bogzester
David Smolover
Raymond Smolover
Jonathan Klein
Gershon Kingsley
Dave Brubeck
Elie Siegmeister
David Tamkin
Ralph Shapey
Thomas Beveridge
Irving Fine
Ursula Mamlok
Philip Glass
Donald Waxman
George Rochberg
David Stock
Franz Waxman
Aaron Kernis
Joelle Wallach
Benjamin Lees
Eric Zeisl
Robert Beaser
