NAME
Simon Tenovsky Orchestra
"Corman, William"
"Weidner, Michael"
101 Strings
101 Talented Voices
"Eisenberg, Sam"
24th Street Klezmer Band
A Shtetl Wedding Ensemble
"Aaron, Ben"
"Aaron, Lee"
"Aaron, Tossi"
"Kutcher, Sam"
"Abarbanel, Mendl"
"Abbott, Patsy"
"Abelson, Cantor Robert Paul"
"Robin, Jeffrey"
KlezRoym
"Coen, Eva"
"Grinberg, Roman"
Zohar (Group)
"Bensoussan, Aaron"
"Haza, Ofra"
Abraham (No First Name Given)
"Uzilevsky, Marcus"
"Abraham, Elchanan"
"Abrahamson, Ayre"
"Abramovici, Trici"
Uzca
"Abramovitz, A."
"Abramovits, Fayvl"
"Abramovitz, Uri"
"Abrams, Bonnie"
"Abramson, Ari"
"Abrass, Joshua (Pitsele)"
"Abravanel, Maurice"
"Abromovici, Trici"
Abromovitch
"Esim, Janet"
"Achron, Yosef"
"Adam, Emil,"
"Esim, Jak"
"Ogur, Erkan"
"Luz, Consuelo"
Fortuna
"Adama, Maurice Zaoui"
"Adams, Joey"
"Paffrath, Thomas"
"Adams, Mason"
Adath Jeshurun Choir
Adath Jeshurun Choir and Cong
Adath Jeshurun Chorus
"Adi, Jacob"
Adler (No First Name Given)
"Adler, Bruce"
"Adler, Ellen"
"Adler, Hugo Chaim"
"Adler, Hyman"
"Adler, Rafael"
"Adler, Samuel"
"Adler, Yakov"
"Admon, Yedidya"
"Afarian, Robert"
"Aftergut, E."
"Agat, Rakhl"
"Agmon, Chaim"
"Aguado, Bienvenida"
"Aguinsky, Zoila"
"Aharon, Moshe"
"Aharoni, D."
Ahava Raba
"Drees, Simon Jacob"
"Ahl, Leon"
"Ahron, E."
"Ahroni, Hanna"
"Ahronovitch, Yuri"
"Ayzikovitch, Mark"
"Akselrod, Avrom"
"Violinsky, Solly"
Alagon
"Alberstein, Chava"
"Albert, Danny & Orchestra"
"Albert, S."
"Albertelli, L."
"Albimor, V."
"Albrecht, Avraham"
"Albrecht, H."
"Aldema, Gil"
"Aldss-,"
"Aleiartzik, A."
"Aleichem, Sholom"
Sholom Aleichem
"Aleksander, Harry"
"Alexandrovitsh, Cantor Misha"
Aleph Duo
"Alessi, Oscar"
"Alexander, H. H."
"Alexander, Khaim"
"Alexander, Sharon"
"Alexander, Uria"
Alexandra
"Alexandrov, Khaim"
"Alexandrovich, Alex"
"Alexandrovitch, Cantor Misha"
"Alexius, Carl J."
"Aleykni, Yosef"
"Alfassy, L."
"Algazi, Leon"
"Olitski, Leyb"
"Alkabetz, Rabbi Solomon"
"Alkeyni, Yosef"
"Allen, Cantor Richard"
"Allen, L."
"Allen, Lester"
"Allen, Lewis"
"Almagor, Dan"
"Alman, Samuel"
Almani
"Almi, A."
Alogon
"Alon, Ben Tsion"
"Aloni, B. Z."
"Aloni, Miri"
Alonim Singers
"Alperin, Yankl"
"Alpert, Herb"
"Alpert, Michael"
"Alster, Reb Yitskhak"
"Alter, Ganchoff, Lewandowsky"
"Alter, Israel & Bruno Raiken"
"Alter, Israel & Jerry Idelson"
"Alter, Israel & Mandelbrod"
"Alter, Israel & Solomon Rosowsky"
"Alter, Cantor Israel"
"Alterman, Natan"
"Altman, Joyce"
"Altman, Michael & Howard Weinshel"
"Altman, Prof Sholom"
"Altmann, Bernardo"
"Alvarez, Denise & LeZklez"
"Alverez, Denise"
"Alverez, Denise & LeZklez"
"Alyagon, Talma"
"Alyn, Barry"
Alyth Children's Chorus
Alyth Childrens' Chorus
Alyth Choral Soc & Children Chor
Alyth Choral Society
Amar Sephardic Song & Dance Ensemble
"Amar, Jo"
"Amar, Mary"
"Amar, O."
Amaranim
"Amarillio, Moni"
"Amdursky, Benny"
"Amen, Luce"
American Boychoir Concert Choir
American Boychoir School Choir
American Peoples Chorus
American Symphony Orch & Chorus
American Symphony Orchestra
"Amihud, Dahlia"
"Amir, Muti"
"Amiran, Emanuel"
"Amirani, Gabi"
"Ammersfeld, Anita"
"Ammon, Rabbi"
"Amos, David"
"Amos, Naomi"
"Amos, Naomi, pianist"
"Amos, Naomi, piano"
"Amrani, Gaby"
"Amrani, Hedva"
"Amrani, Shalom & Barak"
"Amrani, Shalom & Barak (Amranim)"
"Amstell, Billy Ens"
"Amstell, Billy Ens & Lynn Collins"
"Amstell, Billy Ensemble"
"Amstell, Billy, arr"
Amsterdam
"Anderson, Leroy"
"Anderson, M."
"Anderson, Maxwell"
"Andreani, George"
"Andreani, Jorge"
Andreoli
Andrew Sisters
Andrew Sisters & Jimmy Dorsey Orch
Andrews Sister
Andrews Sisters
Andreyev Balalaika Ensemble
"Angeles, Victoria de los"
"Anik, Harry"
"Anilevitsh, Mordecai"
Harele Bar
"Ankory, Margalit"
"Anschell-Steuer, Sydney"
S. Ansky
"Anski, Sh."
Antwerp Symph Orchestra and Choir
Antwerp Symphony Orch and Choir
"Anvel, Elia"
"Apel, Hans-Werner"
"Apelbom, Bela"
"Apfel, Ruth Zandman"
"Apollinaire, Guillaume"
"Apoteker, D."
"Appel, Neil"
"Appel, Sam"
"Applebaum, Bob"
"Applebaum, Mikhoel I."
"Aranha, Dr Oswaldo (Brazil)"
"Aranowicz, Dan"
"Arazi, Yardeyna"
Arbaa Kolot
Arbateynu Male Quartet
"Arbel, Tirza"
"Arbel, Z."
"Arbramson, Gila"
"Argov, Alexander (Sasha)"
"Argov, Moshe"
"Argov, Sasha"
"Arial, F."
Ariel
"Ariel, A."
"Ariel, H."
"Ariel, Meir"
"Arieli, M."
Arik & The Eynshteyns
"Arlen, Harold"
"Arlofsky, Nicholas Ensemble"
"Arlovsky, Nicholas."
"Arlovsky, Nicolas, Orchestra"
Armando
"Armanowska, Malgorzata"
"Armenti, Jim"
Armoured Corps' Troupe
"Arni, Tsvi"
"Arnold, Buddy"
"Arnolf, H."
"Arnon, Luci"
"Arnzman, M."
"Aron, Sharona"
"Aroni, Cantor Zvi"
"Aronin, Ben"
"Aronovitz, Don"
"Aronowtz, D."
"Aronson, M."
"Aronson, S. M."
"Artsi, Shlomo"
"Asaf, A."
"Asaf, Uri"
"Asawsky, R."
"Asch, Sholom"
"Ascione, M. o Domenico"
"Ash, Chayele"
"Ashbal, Michael"
"Ashdown, Bernice"
"Ashendorf, Israel"
"Asherov, Azriel"
"Ashkenazy, Rabbi Joseph"
"Ashman, Aaron"
"Ashrat, Kubi"
"Ashrov, Misha"
"Askari, E."
"Assayag, A."
Assembled Banquet Guests
"Asso, Raymond/ Herbert Kretzmer"
"Astor, June"
"Atar, Tirza"
"Atari, Gila"
"Atari, Yona"
"Atas, Rakhl"
"Atlas, Allen"
"Atzmon, Shmuel"
"Attas, Rakhl"
Atzilut
"Auerbach, Ephraim"
"Auerbacher, Inge"
"Auerbakh, A."
Aufwind
"Auric, Georges-William-Endgvig"
Austin Klezmorim
Austin Klezmorim & Lisa Mednick
Austin Klezmorim and B. Averbach ?
Averbac
"Averbach, Bill"
"Avery, Gilbert, & Kwartin, Khazns"
"Avery, Cantor Lawrence"
"Avidan, D."
"Avidom, Menakhem"
"Avikhanan, H."
"Avinoam, R."
"Avisar, Oded"
"Avishar, Oded"
"Avishar, Oded/ Norman Newell, Eng"
"Avissar, Pinkhas"
"Avital, Ilana"
"Avitsur, Eytan"
"Aviv, Mutsi"
Aviva Duo
Aviva and Hillel
"Avneri, A"
"Avni, Fran"
