artist
Hyman Adler
Ernest R. Ball
Otto Motzan
Joseph Brody
Louis Friedsell
A. Teres
Arnold Perlmutter
Herman Wohl
Hyman Altman
Joseph Rumshinsky
Sholem Aleichem
Jeanne Alfred
Abraham Goldfaden
Edward T. King
Nathaniel Shilkret
Naftali Herz Imber
Maurice Ravel
Bowers
William Alperovitz
Isaac Angel
Mischa Appelbaum
Workmen's Circle Chorus
Meyer Posner
Alfredo Cibelli
The Barry Sisters
Charles Tauber
Sholom Secunda
Dave Tarras
Abraham Ellstein
Jacob Jacobs
Milton Leeds
Fred Wise
Joe Lazarz
Sammy Meade's Orchestra
Hans Lengsfelder
Kerwin Drake
D. Zattas
Bob Russell
Mart Fryberg
Clarence A. Stout
Isidore Lillian
J. Levitt
Giulietta Morino
Charles Galazan
Ilia Trilling
Molly Picon
Belle Baker
Jack Yellen
Lew Pollack
Victor Young
Jan Bart
Harry Lefkowitch
Oscar Ostroff
C. Towber
Harry Beckerman's Metronome Orchestra
Harry Beckerman
Shloimke Beckerman
Abe Schwartz
Shlomo Beinhorn
David Meyerowitz
Sidor Belarsky
Anaviev
Lazar Weiner
Mikhail Mikhaylovich Ippolitov-Ivanov
Mark Markovich Warshawsky
Yehudah Sharett
Boris Prozorovsky
Alexander Dargomyzhsky
Mordechai Zeira
Yitskhok Leybush Peretz
Janot Roskin
Judah Halevi
M. Schneyer
Joel Engel
David Pinski
Abraham Wolf Binder
Leyb Yampolsky
Mordechai Gebirtig
Pyotr Ilyich Tchaikovsky
Ivan Basilevsky
Lester Bernard
Rhoda Bernard
Lester and Rhoda Bernard
Mr. Bernstein
Joseph Birenzweig
Friedrich von Flotow
Gaetano Donizetti
Louis Birnbaum
Minnie Birnbaum
S. Birnzweig
Louis Gilrod
Joseph Kammen
Leon Blank
Jacob Gordin
Morris Rosenfeld
Peretz Sandler
Leroy Shield
Boris Rosenthal
Jehuda Bleich
Anton Rubinstein
H. Bloom
Stillman's Kapelle Mit Pfeiferbegleitung
Sam Bloom
Israel J. Hochman
Boibriker Kapelle
Hirsch Gross
Beresh Katz
Celia Boodkin
Alexander Olshanetsky
Pinchas Borenstein
Pierre Pinchik
Dora Bowshover
Naftule Brandwein
Sam Spielman
Russkyj Narodnyj Orchester
Clarinet Cu Orchestra Nationala
Naftule Brandwein's Orchestra
Te Piec Dziadow [The Five Beggars]
Samuel Braslavsky
Leonard Braun
Ted Levy
Rubin Doctor
H.B. Silberstein
Rhea Silberta
Addison Burkhart
Fred Fisher
Rheingold
Rev. Mendelssohn
Joshua Samuel Weisser
Moldavan's Quartette
c
vl
vc
Israel Breeh
Mr. Brener
Brener Quartette
Broder Kapelle
Izikel Kramtweiss
Max Bulman
Yasha Bunchuk
Jascha Bunchuk
Gregory Gehman
Mikhail Glinka
Pesach Burstein
Morris Rund
Adolph King
Abe Karp
Walter Donaldson
Anshel Schorr
Ted Fio Rito
Mabel Wayne
Philip Laskowsky
Al Jolson
Buddy De Sylva
Lew Brown
Ray Henderson
I. Rosenberg
Frank Crumit
Louis Markowitz
Solomon Smulewitz
Cantor's Association Of America
Leon M. Kramer
Nellie Casman
Sam Klinetsky
Samuel Steinberg
Max Badin
Max M. Cohan
Adolf King
Joseph Rumshisky
Borris Rosenthal
Gus Goldstein
H. Nager
Hyman Prizant
Rosario Bourdon
Berele Chagy
Solomon Golub
Joseph Rumshinsk

Joseph Cherniavsky
Cherniavsky's Yiddishe Jazz Band
Joseph Cherniavsky And His Yiddish-American Jazz Band
Sam Beckerman
Chaim Ehrlich
Mrs. Joseph Cherniavsky
Hyman Milrad
Joseph Helfenbein
Charles Cohan
Richard Fall
L. Wolfe Gilbert
Joseph I. Tanzman
Josef Pasternack
Saul Bernie
Sam Coslow
Leonard Joy
Chas Tobias
Harry Herschal
H. Cohen
Elizabeth Tuchman
Hyman Corenfeld
Sidney J. Corsover
Naum Coster
King's Orchestra
Anschel Schorr
Yudele Belezer
B. Tomasefsky
A. Feta Shipiaeva
Nikolai Ritter
Yasha Feldman
Simon Katz
Avrom Reyzen
N. Prilutsky
Mikhl Gelbart
N.L. Saslavsky
Jacob Beimel
S.S. Frug
A. Bernstein
Emilio Blažević
Benjamin Ipavec
Anton Nedved
A. Razen
A. Reisen
M. Meisel
M. Persin
Solomon Cotler
M. Schnumacher
Bertha Crown
Moses R. Diamond
Moses Diamond
Dmitry Dobkin
Grossman
Georges Bizet
Fromental Halévy
Sara Gurowitsch
Edward Bennett Marks
Charles Prince
G. Pergament
Anton Arensky
William Dory
Rose Dreeben
Judel Dubinsky
Ephraim Duff
Isaac Steinberg
Lizzie Einhorn Abramson
Hellman
Jarro
Marcus Eisenberg
Eliakum Zunzer
Philip Raskin
Jakov Medvedieff
Hersh Dovid Nomberg
Abraham Elenkrig
A. Elenkrig's Yidishe Orchestra
Elenkrig's Orchestra
Meyer Kanewsky
A. Nadelman
Victor Continental Orchestra
