Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44
M1,1,Gustave Cohen,Adon olam,2.4,,,N,,,Sacred,Choral-Solo,Liturgical-Setting(s),Liturgical-Setting(s),,x,,x,,,,,,,x,,,,,,,,x,,,Y,Liturgy,,x,,,,,
M2,1,A.J. Davis,As the Hart Panteth | Thou Art Enthroned Above,9.65,1893,  ,Y,Jewish Women's Congress,Cultural Organization/Individual (Jewish),Sacred,Choral-Solo,Liturgical-Setting(s),Liturgical-Setting(s),,x,,x,,,,,,,x,,,,,,,,x,,,Y,Liturgy,,,,x,,,
M3,1,Amsterdam|Western Sephardi Tradition,Barukh Habba (Psalm 118: 26-29),1.25,1782,,N,,,Sacred,Choral,Liturgical-Setting(s),Liturgical-Setting(s),,x,,,x,,,x,,,x,,,,,,,,x,,,Y,Liturgy,,x,,,,,
M4,1,Amsterdam|Western Sephardi Tradition,Chants and Elegies for Tisha b'av,45.32,1700,1700s?,N,,,Sacred,Choral-Solo,Liturgical-Service,Liturgical-Service,,x,,,x,,,x,,,x,,,,,,,,x,,,Y,Liturgical Adaptation,Piyyut,x,,,,,
M5,1,Amsterdam|Western Sephardi Tradition,Ein keloheinu,1.5,1700,1700s?,N,,,Sacred,Choral-Solo,Liturgical-Setting(s),Liturgical-Setting(s),,x,,,x,,,x,,,x,,,,,,,,x,,,Y,Liturgy,,x,,,,,
M6,1,Alois Kaiser,"Empor zu Gott, mein Lobgesang!",2.3,1876,,N,,,Sacred,Choral-Solo,Liturgical-Setting(s),Liturgical-Setting(s),,x,,x,,,,,,,x,,,x,,,,,x,,,Y,Liturgy,,,,,,x,
M7,1,Edward Stark,Liturgical Settings,12.88,1910,,N,,,Sacred,Choral-Solo,Liturgical-Setting(s),Liturgical-Setting(s),,x,,x,,,,,,,x,,,,,,,,x,,,Y,Liturgy,,x,,,,,
M8,1,Sigmund Schlesinger,Liturgical Settings I,17.57,1890,1890s?,N,,,Sacred,Choral-Solo,Liturgical-Setting(s),Liturgical-Setting(s),,x,,x,,,,x,,,x,,,,,,,,x,,,Y,Liturgy,,x,,,,,
M9,1,Sigmund Schlesinger,Liturgical Settings II,8.35,1890,1890s?,N,,,Sacred,Choral-Solo,Liturgical-Setting(s),Liturgical-Setting(s),,x,,x,,,,,,,x,,,x,,,,,x,,,Y,Liturgy,,x,,,,,
M10,1,Frederick Kitziger,Mizmor shir l'yom hashabbat,1.77,1890,1890s?,N,,,Sacred,Choral-Solo,Liturgical-Setting(s),Liturgical-Setting(s),,x,,x,,,,,,,x,,,,,,,,x,,,Y,Liturgy,,x,,,,,
