AP1,A-003(f),Alt-Nei Kasrilevke by Sholom Aleichem,אַלט-נײ כּתריאלעװקע פֿון שלום עליכם,CBS 53672,,x,2,"12"" Album 33 1/3/Audio CD copy x109",,Yiddish,Literary Origin,,,4,,,,,,
AP0,A-003(g),Menashe Skulnik  / Stories of Sholom Aleichem,,Caedmon TC 1173,,x,2,"Audio CD copy/12"" Album 33 1/3",,English,Spoken Word/Literary Origin/Translations,New York,,5,,local,,,,
AP1,A-003(h),Sholom Aleichem / Di Kleyne Mentshelekh,שלום עליכם     די קלײנע מענטשעלעך,CBS 84722,,x,2,"12"" Album 33 1/3/Audio CD copy x205",,Yiddish,Literary Origin/Spoken Word/Humor,Israel,,3,"See also Alb A-003(a) - Other readings by ""Di Dray Shuliks"" and Video V0062",,1980,,,
AP2,A-003(i),Motl Peysi Dem Khazns by Sholem Aleichem  Read by Ruth Rubin,דער נײַער הויזפֿרײַנט,National Yiddish Book Center,,,,Audio CD Copy/Cassette X23 and X24,,Yiddish,Literary Origin/Spoken Word,"Amherst, MA",,1,,,,,x,
AP3,A-003(j),Holiday Tales by Sholem Aleichem/Read by Rita Karin & David Rogow,לכּבֿוד יום-טובֿ,National Yiddish Book Center,,,,Audio CD Copy/Cassette X22,,Yiddish,Literary Origin/Spoken Word/Humor,"Greenwich Village, NY",,6,Cassette. Read by Rita Karin and David Rogow.,local,1987,,x,
AP4,A-003(k),Humorous Stories by Sholom Aleichem read by Rita Karin & David Rogow,לאַכן איז געזונט,National Yiddish Book Center,,,,Audio CD Copy/Cassette X21,,Yiddish,Literary Origin/Spoken Word/Humor,"Greenwich Village, NY",,6,,,1988,,x,
AP5,A-003(l),Elihu Tenenholtz / Holiday Stories by Sholom Aleichem,אליהו טענענהאָלץ \ יום־טוב מעשיות פֿון שלום עליכם,Jewish Literature Rec YLR 1001,,x,2,"12"" Album 33 1/3/Audio CD copy x204",,Yiddish,Literary Origin/Spoken Word,"Hollywood, CA",,6,,,,,,
AP6,A-003(m)1,Tevye the Dairyman By Sholom Aleichem  Read by Shmuel Atzmon,גאַנץ טבֿיה דער מילכיקער פֿון שלום עליכם  געלײנט - שמואל עצמון,Natl Yid Book Cntr 5 Cassettes,,,,,,,,,,,,,,,x,
AP7,A-003(n),The World of Sholom Aleichem,,Rachel Recordings R-1,,,,"10"" Album 78/Audio CD copy x207",,,,,,,,,,,,
AP8,A-003(o),Tevya And His Daughters,,Columbia OL 5225,,x,2,"12"" Album 33 1/3/Audio CD copy x116",,English,Theatre,USA,,3,Tracks separated by musical interludes,local,,,,
AP9,A-003(p),Sholom Aleichem Readings            A Recital by Jack Newman,לכּבֿוד יום-טובֿ,Capitol (Private Issue),,x,2,"12"" Alb 33 1/3/Audio CD",,Yiddish,Literary Origin/Spoken Word,USA,,6,,local,,,,x
AP10,A-003(q),Sholom Aleichem's Tales From The Old Country  Howard DaSilva,,Decca No. DU 5 (Two 78rpm),,x,3,"Two 12""Alb 78/Audio CD copy",,English,Theater,USA,,3,,local,,"Bar Mitzva Gift to Robert Freedman from Dassy and Isrolik Cherson, 1942",,x
AP11,A-004(a),The Wonderful Songs of Israel             The Alonim Singers,,Kapp Records FCL 4236,,x,3,"33 1/3 rpm 12""/Audio CD copy x117",,Hebrew,Israeli,USA,,15,,,,,,
AP12,A-005(a),Misha Alexandrovitsh                        The Yiddish Song,מישאַ אַלעקסאַנדראָװיטש    דאָס ייִדישע ליד,RCA ISZ 1025,,x,3,"33 1/3 rpm 12""/ Audio CD copy x112",,Yiddish,Concert,Israel,,10,,,,,,
AP13,A-005(b),Misha Alexandrovitch,עץ חיים היה       החזן מישה אלכּסנדרוביץ,RCA YJRLI 028,,x,3,Audio CD copy x111,,,,,,,,,,,,
AP14,A-005(c),A Khazendl Oyf Shabos & Other..Songs  Mikhail Alexandrovitch,,Collectors Guild CGY 648,,x,3,"33 1/3 rpm 12""/Audio CD copy x114",,Yiddish,Concert/Folk,New York,,12,"Apparently originally recorded in the USSR, See A-005(g) for album and Audio CD copy",,1966,,,
AP15,A-005(d),"Mischa Alexandrovitsh Radio Interview           May 10, 1995",,Cassette WUNR Brookline,,,,Cassette/ CD copy,,Yiddish,Radio/Interview/Spoken Word,"Boston, MA",,37,The CD's in the book includes the entire contents of the cassette in which the interview is heard.,,2008,"Gift of Mark Davis of the Yiddish Voice, Boston, MA",x,x
AP16,A-006(a),Yiddish Love Songs                                 Anne Line,,Monument SLP 18064,,x,3,"33 1/3 rpm 12""/Audio CD copy x124",,Yiddish,,,,,,,,,,
AP17,A-007(a),Treasures Of Our People   Chayele Ash/ Ari and Avrom Fuhrman,פֿון אונדזערע אוצרות  חיהלע אַש \ ארי און אַבֿרהם פֿורמאַן,Nise Productions NISE,,x,3,"33 1/3 rpm 12""/Audio CD copy x123",,Yiddish,,"Philadelphia, PA",,,,,,,,
AP18,A-001(a),Yiddish Folk Songs sung by Chava Alberstein-,חוה אַלבערשטײן    האָבן מיר אַ ניגונדל,Columbia CS 9509,,x,1,"12"" Alb 33 1/3/Audio CD copy x201",,Yiddish,Folk/Literary Origin/,New York,,14,,local,,,,
AP19,A-001(b),Chava Alberstein                    An Album Of Hebrew Songs,חוה אַלבערשטיין   בשירים עבריים,CBS 62928,,x,1,"12"" Alb 33 1/3/Audio CD copy x200",,Hebrew,Folk/Literary Origin/Pop,Israel,,12,,local,,,,
AP20,A-001(c),Mike Burstein / Chava Alberstein / Yiddish Folk Songs,מײַק בורשטײַן \ חוה אַלבערשטײן,CBS 62060,,x,1,"12"" Alb 33 1/3/Audio CD copy x203",,Yiddish,Folk/Literary Origin/Pop,Israel,,12,,local,,,,
AP21,A-001(d),Chava Alberstein   -  Danny Granott          Songs By Rachel,חוה אַלבערשטײן    דני גרנות   בּשירי רחל,CBS S 63499,,x,1,,,,,,,,,,,,,
AP22,A-001(e),Chava Alberstein  / Yiddish Folk Songs / Margaritkelekh,חוה אַלבערשטײן    מאַרגאַריטקעלעך,CBS S 63603,,x,1,"12"" Alb 33/13 rpm",,Yiddish,Folk/Theater/Literary Origin,Israel,,,,,,,,
AP23,A-001(f),Chava Alberstein Live,חוה אַלבערשטײן בּתכנית יחיד,CBS S 70099,,x,1,"12"" Alb 33 1/3/Audio CD copy x202",,Hebrew,Literary Origin/Pop,Israel,,12,,local,,,,
AP24,A-001(g),Chava Alberstein Sings Yiddish,חוה זינגט ייִדיש,CBS S 83347,,x,1,"12"" Alb 33 1/3/CD Copy x104",,Yiddish,Literary Origin/Folk/Concert/,Israel,,,Duplicated on CD A-001(J),,,,,
AP25,A-001(h),Chava Alberstein                          More Yiddish Songs,חוה אלברשטיין   עוד  שירים באידיש,CBS 450478-4,,,,Cassette,,Yiddish,Literary Origin/Theater,Israel,,12,Duplicated on CD A-001(j),,,,x,
AP26,A-001(i),Along The Seashore        Poems and Songs by Nathan Yonathan,שירים לאורך החוף   נתן יונתן קורא משיריו   חוה אלברשטיין שׁרה,CBS S 63202,,,1,"12"" Alb 33 1/3 /CD Copy x103",,Hebrew,Literary Origin,Israel,,,"This album has not been catalogued at the title or track level/ . Album notes entirely in Hebrew. Need -
translation and transliteration of titles.",local,,,,
AP27,A-001(j),Chava Alberstein Sings Yiddish,חוה זינגט ייִדיש,CBS 465115-2 (CD),,x,1,"12"" Alb 33 1/3",,Yiddish,Literary Origin/Folk,Israel,,24,Duplicate of Album A-001(g) and Cassette A-001(h),,,,,x
AP28,A-001(k),Chava Alberstein /                             Yiddish Songs,חוה אלברשטיין  /  מארגאריטקעלעך,NMC 20126-2 (CD),,,1,Audio CD,,Yiddish,Literary Origin/Folk/Concert,Austria,,,,,1994,,,x
AP29,A-001(l),Chava Alberstein/ The Klezmatics / The Well / Di Krenitse,די קרעניצע,Xenophile XENO 4052 (CD),,,,Audio CD,,Yiddish,Literary Origin/Folk,,,,,,,Gift of Robert & Molly Freedman,,x
AP30,A-001(m),Chava Alberstein/ Foreign Letters,חוה אַלבערשטײן,Rounder CD 11661-3195-2,,,,Audio CD,43:17:00,Hebrew/Yiddish/English,Literary Origin/Pop,"Cambridge, MA",,12,,,2001,"Purchase, Philadelphia, 2002",,x
AP31,A-002(a),From Generation To Generation                  The Aviva Duo,לדור ודור,Aviva Records AR 1001,,x,2,"12"" Alb 33 1/3/Audio CD copy x106",,Yiddish/Hebrew,Folk,"Ottawa, Ontario, Canada",,13,,local,1982,,,
AP32,A-003(a),Sholom Aleichem / Di Kleyne Mentshelekh / The Little People,שלום עליכם   די קלײנע מענטשעלעך,CBS 62702/3 Two Record Album,,x,2,"Two 12"" Albs 33 /13/Audio CD copy",,Yiddish,Literary Origin/Spoken Word/Humor,Israel,,9,"See also Alb A-003(h) - Other readings by ""Di Dray Shuliks"" and Video V0062",local,,,,x
AP33,A-003(b),Sholom Aleichem            Read in Yiddish by Gustave Berger,,Folkways FL 9907,,x,2,"12"" Album 33 1/3/Audio CD copy",,Yiddish,,"New York, NY",,3,,local,1959,,,x
AP34,A-003(c),Sholom Aleichem    If I Were Rothschild    Jewish Folk Songs,,Monitor MF 332,,x,2,"12"" Album 33 1/3/Audio CD copy x108",,Yiddish,Literary Origin/Folk/Spoken Word/,"New York, NY",,10,,local,1960,,,
AP35,A-003(d),Sholom Aleichem                     Monologues with I. Rymer,שלום עליכם   מאָנאָלאָגען מיט י. רײמער,SA 100,,x,2,"12"" Album 33 1/3/Audio CD copy x107",,Yiddish,,,,,,,,,,
AP36,A-007(b),Yiddish Classics Brought To Life                 Chayele Ash,חיהלע אַש \ ארי און אַבֿרהם פֿורמאַן,Nise Productions NISE,,x,3,"33 1/3 rpm 12""/Audio CD copy x126",,Yiddish,,"Philadelphia, PA",,,,,,,,
AP37,A-008(a),Tossi Aaron sings Jewish Folk Songs for the 2nd generation,,Prestige International 13055,,x,3,"33 1/3 rpm 12""/Audio CD copy",,Yiddish/Hebrew,Folk,"Bergenfield, NJ",,14,,local,,,,x
AP38,A-009(a),Jewish Folk Songs    Joey Adams - Sholom Secunda with Guests,,Roulette SR 25285,,x,3,,,,,,,,,,,,,
AP39,A-010(a),Arbaa Kolot                                 Del Mesias Y Del,,Madrigal m. p. 3005,,x,4,Audio CD copy x120,,,,,,,,,,,,
AP40,A-011(a),Jo Amar sings Only For You,,Menorah Records MEN L.P. 605,,x,4,"33 1/3 rpm 12""/Audio CD copy x119",,Hebrew/Yiddish/Spanish,Compilation/Sephardic/Pop,Israel,,12,,,,,,
AP41,A-011(b),Jo Amar                                      Songs Of Israel,,Tikva Records T 136,,x,4,Audio CD copy x122,,,,,,,,,,,,
AP42,A-011(c),Jo Amar's Chassidic Rhapsody with Sephardic Soul,,Menorah Records L.P. 618,,x,4,Audio CD copy x121,,,,,,,,,,,,
AP43,A-011(d),Jo Amar                                Songs Of Love & Peace,שירי אהבה ושלום,Kol Amar,,x,4,Audio CD copy x132,,,,,,,,,,,,
AP44,A-011(e),Amar Sephardic Song & Dance Ensemble Sephardim & Ashkenazim Jews,,Bruno Hi-Fi Records BR 50192,,x,4,Audio CD copy x134,,Hebrew,Sephardic/Ashkenazic,USA,,,"Amar Sephardic Song & Dance Ensemble.  Cantor Avner Sobel with -
Leon Graf at the organ.",,1962,,,
AP45,A-012(a),A Musical Tour of Israel   The Phila Jewish Community Chorus,,Sight See Sound SEE 1001,,x,4,Audio CD copy x128,,,,,,,,,,,,
AP46,A-013(a),Exodus To The World                       Regina Ben-Amittay,,MGM E 3968,,x,4,Audio CD copy x130,,,,,,,Israeli Marching & Love Songs,,,,,
AP47,A-014(a),The Andrews Sisters             The Fabulous Century 1930-40,,Joker SM 3240,,x,4,Audio CD copy x129,,,,,,,,,,,,
AP48,A-015(a),The American Jewish Experience In Song,,Chicago Board of Jewish Educat,,x,5,"33 1/3 rpm 12""/Audio CD copy",,English,Historical,,,2,See CD for Audio. Not made into mp3 files to match tracks.,,,,,x
AP49,A-016(a),"Play My Balalaika    The Andreyev Balalaika Ensemble,  Vol 2",,Monitor Records MFS 713,,x,5,"33 1/3 rpm 12""/Audio CD copy x141",,,Instrumental/Russian,New York,,12,,local,,,,x
AP50,A-017(a),After 50 Long and Longing Years    Historic Visit to America,נאָך 50 לאַנגע און בײנקענדע יאָרן   װיזיט פֿון מאָסקעװער רבֿ,MOHIR JEC 2330 (Two Album Set),,x,5,,,,,,,,,,,,,
AP51,A-018(a),"Adama        Chant, Danses Et Musiques Des Traditions Juives",,Mary Melody 67 398,,x,5,Audio CD copy x140,,,,,,12,,,,,,x
AP52,A-019(a),Billy Amstell's Jewish Party with Harold Bevens,,Zodiac Records ZR 1015,,x,5,Audio CD copy x143,,,,,,18,,,,,,x
AP53,A-020(a),Victoria de los Angeles   Spanish Folk & Ten Sephardic Songs,,Angel S 36716,,x,5,Audio CD copy x142,,Spanish,,,,25,,,,,,x
