HT1,Finjan (Heb),19081,פינג'אן,"הרוּח נוֹשבת קרירה, נוֹסיפה קיסם למדוּרה - וכּך, בּזרוֹעוֹת ארגמן,",
HT2,Finjan (Heb),18677,פינג'אן,"הרוּח נוֹשבת קרירה, נוֹסיפה קיסם למדוּרה - וכּך, בּזרוֹעוֹת ארגמן,",
HT3,For Three Transgressions (Heb),5302,על שלוש עבירות (עבֿרית),"על שלוש עבירות נשים מתות בשעת לידתן, על שאנינן זהירות...",
HT4,"Forgive Me, O My Lord (Heb)",5306,סלח נא לי ה',,2463
HT5,Forgotten Melody (Heb),5308,מנגינה נשכּחת (עבֿרית),,1159
HT6,Forn Forstu Fun Mir Avek (Heb),5311,פאָרן פֿאָרסו פֿון מיר אַװעק (עבֿרית),,
HT7,Forward My People (Heb),5323,קדימה עמי,,
HT8,Fun Geto (Heb),25583,פֿון געטאָ (עבֿאית),"נו, לױף געשטינד שױן, מיריאַמל, מײַן טײַערע,",
HT9,Gad Gidi (Heb),5523,גד גדיי (יבֿרית),"אבּא שׁב מן היריד, קנה רע לי וידיד, ואמרתּם: מי ומי? --",
HT10,Gadlu Lehashem (Heb),5527,גדלו לשם אתי (עבֿרית),גדלו לשם אתי ונרוממה שמו יחדיו.,2464
HT11,Galeh Kvod (Heb),24485,גלה כּבוד (עבֿרית),,1123
HT12,Gali Yam (Hebrew),5530,גלי ים,גלי גלי גלי ים סירתי עולה יורדת אימתי נבוא לחוף,
HT13,"Galil (Heb, Chajes)",5533,גליל (יבֿרית),בּגליל העליון גלשו עזים מהר עצמון.,
HT14,Gam Hapa'am (Once More (Heb),5548,גם הפּעם (עבֿרית),,
HT15,Gamal Gemali (Heb),5549,גם כּי אלך (עבֿרית),,
HT16,,5550,גמל גמלי (עבֿרית),"גמל גמלי, גמל גמלי, חבר אתה לי בּזיפזיף, גמל גמלי, גמל גמלי",
HT17,Gamal Gemali (Heb),5551,גמל גמלי (עבֿרית),"גמל גמלי, גמל גמלי, חבר אתה לי בּזיפזיף, גמל גמלי, גמל גמלי",
HT18,"Gamelet (The Camel, Heb)",5553,גמלת,"אורחה בּלב ציא צועדת, מאן לאיזה חוף נודדת. יום וליל עוברה...",
HT19,Gan Hashikmim (Heb),5554,גן השׁקמימ (עבֿרית),היה היוּ כּאן פּעם שׁקמים חוֹלוֹת מסביב וגם נוֹף העיר תּל-אביב שׁל..,
HT20,Geshem (Heb),5601,גשם (עבֿרית),,
HT21,Geshem (Heb),5600,גשם (עבֿרית),,
HT22,"Geshem, Kadish (Heb)",5604,"גשם, קדיש (יבֿרית)",,
HT23,Gevatron Medley Belz (Heb),21070,גבעטרון מחרזות בעלז (עבֿרית),,
HT24,Gevatron Medley Sinot Yaldut (Heb),21056,גבעטרון מחרזות שׂהות ילדות (עבֿרית),,
HT25,Gevatron Medley Tshiribim (Heb),21080,גבעטרון מחרזות טשיריבים (עבֿרית),,
HT26,Gilu Hagalilim (Heb),5669,גילוּ הגלילים,"גילוּ הגלילים גבּוֹרי החיל, שׂישׂוּ ושׂמחוּ יוֹים וליל.",
HT27,Gilu Hagalilim (Heb),5670,גילוּ הגלילים,"גילוּ הגלילים גבּוֹרי החיל, שׂישׂוּ ושׂמחוּ יוֹים וליל.",
HT28,Givat Hatskhmoshet (Heb),5690,גבעת התחמשׂת (עבֿרית),,
HT29,Gloria Mundi (Heb),5710,גלוריה מונדי,"עשׂימו אתּ הרע למדנו לקלל, הדלקנו אש קטנה שיחקנו לא בּצל",
HT30,Got Fun Avrom (Secunda),5774,גאָט פֿון אַבֿרהם (סעקונדאַ),"אוֹי, סבּתּא לא ל""אלקי אברהם"", מדוּע נחפּזתּ כּה לוֹמר,",
HT31,Grandfather's Song (Heb),19544,שירו של סבא (עבֿרית),,
HT32,"Ha'alma (The Maiden, Heb)",5840,העלמה (עבֿרית),"דם טותה העלמה בפלך, חוט שני כרימון שחוט, ואמר בלבכו המלך,",
HT33,Ha'aminey Yom Yavo (Heb),5842,האמיני יום יבוא (עבֿרית),,
HT34,Ha'eer Be'afor (Heb),21544,העיר באפור (עבֿרית),,
HT35,Ha'oniot Agnu Bemalta,5845,האניותּ עגנו בּמלטה,"האניותּ עגנו בּמלטה, עלום רחבֿ פמים זרותּ,",
HT36,Habeyn Yakir Li (Heb),22117,הבּן יקיר לי,"הבּן יקיר לי, יקיר לי אפרים, אים ילש שע שעשוים...",
HT37,Habeyn Yakir Li (Heb),5858,הבּן יקיר לי,"הבּן יקיר לי, יקיר לי אפרים, אים ילש שע שעשוים...",
HT38,Habeyn Yakir Li (Heb),5857,הבּן יקיר לי,"הבּן יקיר לי, יקיר לי אפרים, אים ילש שע שעשוים...",
HT39,Habeyn Yakir Li (Heb),5856,הבּן יקיר לי,"הבּן יקיר לי, יקיר לי אפרים, אים ילש שע שעשוים...",
HT40,Habeyn Yakir Li (Heb),5855,הבּן יקיר לי,"הבּן, הבּן יקיר לי, יקיר לי אפרים אים, אים ילש שע שע שעשוים...",
HT41,Habeyn Yakir Li (Heb),5854,הבּן יקיר לי,"הבּן, הבּן יקיר לי, יקיר לי אפרים אים, אים ילש שע שע שעשוים...",
HT42,Haderekh L'eylat,5869,הדרך לאילת,"קצת דרוֹמה מבאר-שבא רוּח בּמדבּר נוֹשבת, שביל בּערבה ירד.",
HT43,Haderekh L'eylat,28611,הדרך לאילת,"הי דרוֹמה לאילת, קצת דרוֹמה מבאר-שבא רוּח בּמדבּר נוֹשבת,",
HT44,Haderekh L'eylat,5870,הדרך לאילת,"הי דרוֹמה לאילת, קצת דרוֹמה מבאר-שבא רוּח בּמדבּר נוֹשבת,",
HT45,Haderekh L'eylat,5868,הדרך לאילת,"קצת דרוֹמה מבאר-שבא רוּח בּמדבּר נוֹשבת, שביל בּערבה ירד.",
HT46,Haderekh L'eylat,5867,הדרך לאילת,"קצת דרוֹמה מבאר-שבא רוּח בּמדבּר נוֹשבת, שביל בּערבה ירד.",
HT47,Haderekh L'eylat,5866,הדרך לאילת,"קצת דרוֹמה מבאר-שבא רוּח בּמדבּר נוֹשבת, שביל בּערבה ירד.",
HT48,Hadibuk (Heb),5872,הדיבוק (עבֿרית),,
HT49,Hadliku Neyrot (Heb),5873,הדליקו נרות,,
HT50,Hafle Va'fele,5877,הפלה ופלא,"וּמשה הכּה על צוּר, בּמטה הכּה על סלא--סלא, בּמטה הכּה על סלא...",
HT51,Hafle Va'fele,5878,הפלה ופלא,"וּמשה הכּה על צוּר, בּמטה הכּה על סלא--סלא, בּמטה הכּה על סלא...",
HT52,Hafle Va'fele,5879,הפלה ופלא,"וּמשה הכּה על צוּר, בּמטה הכּה על סלא--סלא, בּמטה הכּה על סלא...",
HT53,Hafle Va'fele,5880,הפלה ופלא,"וּמשה הכּה על צוּר, בּמטה הכּה על סלא--סלא, בּמטה הכּה על סלא...",
HT54,Hafle Va'fele,5881,הפלה ופלא,"וּמשה הכּה על צוּר, בּמטה הכּה על סלא--סלא, בּמטה הכּה על סלא...",
HT55,Hafle Va'fele,5882,הפלה ופלא,"וּמשה הכּה על צוּר, בּמטה הכּה על סלא--סלא, בּמטה הכּה על סלא...",
HT56,Hafle Va'fele,18654,הפלה ופלא,"וּמשה הכּה על צוּר, בּמטה הכּה על סלא--סלא, בּמטה הכּה על סלא...",
HT57,Hafle Va'fele,26395,הפלה ופלא,"וּמשה הכּה על צוּר, בּמטה הכּה על סלא--סלא, בּמטה הכּה על סלא...",
HT58,Hagdi She'avad (Heb),25087,ישׂמח הר-ציוֹן (תהלים מח),"ישׂמח הר-ציוֹן תּגלנה בּנוֹת יהוּדה למען משפּטיך,",
HT59,Hagdi She'avad (Heb),5895,ישׂמח הר-ציוֹן (תהלים מח),,
HT60,"Hagez (The Wool, Gozu Gez, Heb)",5899,"הגז (גוזו גז, עבֿרית)","לבכּשׂה זמרו נא זמר, שיר לדז ושיר לצמר! דוזו גז, גוזו גז,",
HT61,Hagidu Khevre (Heb),5900,הגידו חבריא (עבֿרית),,
HT62,"Hahelekh (The Wanderer, Heb)",5901,ההלך (עבֿרית),באשר ההלך שם ביתי שם סובכת דלתי טווה פניו בפלך...,
HT63,"Haifa (Shalmoni, Heb)",5903,"חיפה (שאַלמאָני, עבֿרית)",,
HT64,Hakerem (Heb),20748,הכּרם (יבֿרית),,
HT65,Hakhagiga Nigmeret (Heb),5908,החגיגה נגמרת (עבֿרית),,
HT66,Hakhagiga Nigmeret (Heb),20256,החגיגה נגמרת (עבֿרית),ולפעמים החגיגה נגמרת כבוי אורות החצוצרה אומרת החצוצרה...,
HT67,Hakhagiga Nigmeret (Heb),21561,החגיגה נגמרת (עבֿרית),ולפעמים החגיגה נגמרת כבוי אורות החצוצרה אומרת החצוצרה...,
HT68,Hakhnisini Takhat Knafekh (Heb),20765,הכניסיני תחת כּנפך,"הכיסיני תּחת כּנפך, והיי לי אם ואהוֹת, ויהי חיקך מקלט ראשי,",
HT69,Hakhnisini Takhat Knafekh (Heb),5913,הכניסיני תחת כּנפך,"הכיסיני תּחת כּנפך, והיי לי אם ואהוֹת, ויהי חיקך מקלט ראשי,",
HT70,Hakhnisini Takhat Knafekh (Heb),26279,הכניסיני תחת כּנפך,"הכיסיני תּחת כּנפך, והיי לי אם ואהוֹת, ויהי חיקך מקלט ראשי,",
HT71,Hakhnisini Takhat Knafekh (Heb),5912,הכניסיני תחת כּנפך,"הכיסיני תּחת כּנפך, והיי לי אם ואהוֹת, ויהי חיקך מקלט ראשי,",
HT72,Hakol Biglal Masmer (Heb),5921,בּגלל מסמר (עבֿרית),,
HT73,"Hakotel (The Wall, Heb)",5927,הכּותל,"הכּתל - אזוֹב ועצבת, הכּתל - עוֹפרת ודם. יש אנשים עם לב של אבן,",
