28109,Cholomo shel Monir,חלומו של מוניר,Rock / Israelli / Pop,,,,,,
28110,Shpil Shpil Yidelel,שפּיל שפּיל  ייִדעלע,Literary Origin,Persecution/Robbery/Posessions/Resistance/Pride/Memory,SM Gratz 28,SM Gratz 28,SM Gratz 28,"Play, Little Jew, Play",
28111,"Machtozet horah ""ha'kol pato'ach""","מחרוזת הורה ""הכל פתוח""",Folk/medely,,,,,א. שהשמש תעבור עלי ב. אור (נעמי שמר) ג. הכל פתוח ד.כאן ה. מחר,
28112,Machtoze sirtaki,מחרוזת סירטאקי,Folk/medely,,,,,"א. אח, יא ראב ב. נערה ממש אוצר ג. הכל בגלל האהבה ד. מה הוא עושה לה ה. שכשנבוא וץ כעת חיה",
28113,"Machtozet solviv ""kum v'hatachlech b'eretz""","מחרוזת סלואו ""קום והתהלך בארץ""",Folk/medely,,,,,א. ארץ ב. קום והתהלך בארץ ד. שיר על נחלים ה. הדרך אל הכפר ו. דרישת שלום,
28114,Machtozet shiri ladinu,מחרוזת שירי לאדינו,Folk/medely,,,,,א. שחרחורת ב. הקטנטנה הסמיקה ג. צל לא צל ד. קוואנדרו אל ריי נמרוד ה.אין אדיר,
28115,Machtozet lachakot tzebaot - bi,מחרוזת להקות צבאיות - ב',Folk/medely,,,,,א. לצפון באהבה ב. בשמלה אדומה ג. גולני שלי ד. פרחים בקנה ה. חסקה ו. הימים האחרים,
28116,Machtozet shiri shelom,מחרוזת שירי שלום,Folk/medely,,,,,Medely--songs of peace,
28117,Machtozet pasodocleh yam - tichoni,מחרוזת פסודובלה ים - תיכוני,Folk/medely,Mediterranean sea,,,,medely--Mediterranean sea,
28118,Machtozet chalil roaim - batzad timni,מחרוזת חליל רועים - בצעד תימני,Folk/medely,,,,,,
28119,Machtozet v'ales bain erevim,מחרוזת ואלס בין ערביים,Folk/medely,,,,,medely Waltz twilight,
28120,Machtozet shiri takvah -,מחרוזת שירי תקווה - במקצב ההורה,Folk/medely,,,,,,
28121,Eil Chanun,אל חנון,Literary Origin/Lament,Wandering/Mercy/Help/God,Sheet Music 1268,Sheet Music 1268,Sheet Music 1268,God of Mercy,
28122,Pazmon Likinton,פזמון לקיניתון,,,,,,,
28123,Achlahl b'chalili,אחלל בחלילי,,,,,,,
28124,Yom Yafe,יום יפה,,,,,,,
28125,Bah Ha'choref,בא החורף,,,,,,,
28126,Mi Em La Adod,מי אם לא עודד,,,,,,,
28127,Shir Katan,שיר קטן,,,,,,,
28128,Shir Dig,שיר דייג,,,,,,,
28129,Chavvzim,חאווזים,,,,,,,
28130,Em Chamadti Nodti,עם חמדתי נועדתי,,,,,,,
28131,Shir Otzov,שיר עצוב,,,,,,,
28133,Machar Eoli,מחר אולי,,,,,,,
28134,Enah Dodi V'amar li,ענה דודי ואמר לי,,,,,,,
