22967,6117,Violin,,
9176,1107,Composer,,
9180,10290,Composer,,
9188,306,Composer,,
9194,8108,Composer,,
9202,7340,Composer,,
9203,10110,Composer,,
9209,8629,Author/Composer,,
9212,10110,Composer,,
9215,7658,Composer,,
9219,8320,Composer,,
9220,6326,Composer,,
9226,8445,Composer,,
31486,19680,Vocal,,
9228,9286,Composer,,
9229,9286,Composer,,
9232,2863,Composer,,
9234,973,Composer,,
17957,2535,Vocal,,
9237,8758,Composer,,
9238,8758,Composer,,
9239,8758,Composer,,
9240,4906,Composer,,
9250,10029,Composer,,
9262,6724,Composer/Vocal,With Chorus,
9267,6871,Composer,,
9269,7842,Composer,,
9270,9428,Composer,,
9271,9428,Composer,,
9274,2375,Composer,,
9286,4844,Composer,,
40119,23807,vocals,,
15306,8364,Yiddish Adaptation,,
15324,5477,Author,,
15326,4478,Author,,
15328,4478,Author,,
15329,7746,Author,,
15330,7746,Author,,
15331,1384,Author,,
15352,6766,Author,,
15359,2683,Author,,
15366,3761,Hebrew Lyrics,,
15369,9786,Author,,
15371,2934,Author,,
15372,3699,Author,,
15373,3699,Author,,
15374,3699,Author,,
15375,3699,Author,,
15376,3699,Author,,
15377,3699,Author,,
15378,3699,Author,,
15379,3699,Author,,
15381,3699,Author,,
15383,3699,Author,,
15384,3699,Author,,
15385,2792,Yiddish Adaptation,,
12791,6598,Author,,
12816,8705,Author,,
12819,272,Author,,
12823,5193,Author,,
28664,12060,Vocal,,
12849,9506,Author/Vocal,,
12853,5929,Author,,
12854,20039,Author,,
12866,3190,Author,,
23699,6376,"Arranger, English Adaptation",,
23728,5655,Author,,
23730,9444,Author,,
23733,4138,Author,,
23738,4138,Author,,
23808,4138,Author,,
33464,20689,Vocal,,
23809,4138,Author,,
23831,7381,Author,,
23840,8943,Author,,
23883,7218,Author,,
7447,7094,Vocal,,
21119,20365,Composer,,
23889,10137,Author,,
23900,7500,Author,,
23971,7162,Author,,
31296,19570,Vocal,,
23973,6196,Author,,
23974,5155,Author,,
23975,8605,Author,,
24009,2864,Author,,
24019,6429,Author,,
24041,4445,Author,,
24042,2109,Author,,
