SM292,4,19696,Voice/Piano,Yiddish/Transliteration,S. Goldberg,"398 Grand St. New York, NY",1918,"Schper-Rosenthal Sheet Music Collection, Gift of Faye & Jerry Rosenthal","וואָס בלאָנדזשעט אַרום אַ קינד אויף דער סטריט, קייַן טאַטען, קייַן מאַמען...","Dark blue lettering, English/Yiddish in orange border. Price 40 cents.",,,
SM293,4,19697,Voice/Piano,Yiddish/Transliteration,Metro Music Co.,"64 Second Ave, New York, NY",1949,"Schper-Rosenthal Sheet Music Collection, Gift of Faye & Jerry Rosenthal","אַבי געזונט, ברודער אבי געזונט, מען לעבט נאָר איינמאָל, זאָל זייַן","Brown lettering, English/Yiddish. From the Comedy-Operetta ""Abi Gezunt"" by Jacob Kalich & Sholom Perlmutter. Music by Joseph Rumshinsky, words by Molly Picon. Photo inserts of J. Rumshinsky, I, Jacobson, J. Kalich & Molly Picon on front cover.  Back cover includes listing of new releases by Metro Music.","Abi gezunt bruder, abi gezunt, men lebt nor eynmol…",,
SM294,4,19698,Voice/Piano,Yiddish/Transliteration,Metro Music Co.,"64 Second Ave, New York, NY",1937,"Schper-Rosenthal Sheet Music Collection, Gift of Faye & Jerry Rosenthal","אָ איר קליינע ליכטעלעך, איר דעציילט געשיכטעליך, מעשהחעל אָן צאָל","Black lettering, Yiddish/English. Price 40  cents. Drawing of Khanukkah Menorah. Four verses in Yiddish on inside cover.","O ir kleyne likhtelekh ir dertselt geshiktelekh, mayses fun",,
SM295,4,19708,Voice/Piano,Transliteration,Metro Music Co.,"54 Second Ave, New York, NY",1929,"Schper-Rosenthal Sheet Music Collection, Gift of Faye & Jerry Rosenthal","אוי וויי טאַטע פֿאָטער, בים באַמ באַם באַם...","Small folder, black lettering Yiddish/English. List of 29 titles on cover. Price 75 cents.",Oy vey tate foter bim bam bam bam….,,
SM296,4,7178,Voice/Piano,Yiddish/Transliteration,Metro Music Co.,"54  Second Ave, New York, NY",1947,"Schper-Rosenthal Sheet Music Collection, Gift of Faye & Jerry Rosenthal","...אַך יענע נאַכט, יענע גליקלעכע נאַבט, פֿרייד אָן אַ שיעור","Black lettering, English/Yiddish. Photo insert of Khaim Tauber, ""The Well Known Radio and Stage Artist"". Hensley Music Co. Sole selling agent, Metro Music. Back cover includes first line music: Heveynu Sholom Aleykhem and Havah Nagilah. Price 60 cents.",Akh yene nakht yene gliklikh nakht hot freyd un a shir….,"Lefkowitch, Henry","Lefkowitch, Stanley Lionel"
SM630,4,20408,Voice/Piano,Yiddish/Transliteration,Metro Music Co.,"64 Second Ave, New York, NY",1941,"Schper-Rosenthal Sheet Music Collection, Gift of Faye & Jerry Rosenthal","ווען די זוו גייט אויף, ווערט דאָס פֿינסטערניש פֿאַרשוווּנדן,","Purple lettering, English/Yiddish.  From ""Sunrise"". As sung by the celebrated stage and radio artist Ola Lilith.  Price 35 cents.  Three verses, in Yiddish, inside front cover.","Ven di zun geyt oyf, vert dos finsternish farshvundn….",,
SM631,4,20409,Voice/Piano,Yiddish/Transliteration/English,Metro Music Co.,"58 Second Ave, New York, NY",1931,"Schper-Rosenthal Sheet Music Collection, Gift of Faye & Jerry Rosenthal","...אַך, וווּ איז זי העניע, אַצינד? דאָס ליבע, דאָס גאָלדענע קינד","Black lettering, Yiddish/English.  Price 35 cents.  Yiddish and English words on back cover.","Akh vu iz zi henie, atzind? Dos libe dos goldene kind….",,"Margolis, Dr. Harry, English"
SM632,4,20410,Voice/Piano,Yiddish/Transliteration,Louis Gilrod,"66 Second Avenue, New York. NY",1918,"Schper-Rosenthal Sheet Music Collection, Gift of Faye & Jerry Rosenthal","איך קען פֿילע זאַכן נאָך געסקנקן יעצט אויף קלאָר,","Black lettering, Yiddish/English.  Photo of Miss Nellie Kassman.  Price 50 cents.  Three verses and refrain on back cover in Yiddish.  Cast of Characters listing of show ""Got Fun Libe"", a comedy drama in four acts.  By Shlomo Steinberg, music by Herman Wohl.  Produced by David Kessler.","Ikh ken file zakhn nokh gedenken, yetst oyf klor…",,
SM771,4,20673,Middle Voice/Piano,Yiddish/Transliteration/Translation,Charles K. Harris,"Broadway and 47th Street, New York City",1911,"Gift of Robert W. and Karen Freedman, Nov 2004",ווער גייט אַזוי שפּעט בײַנאָיט? יאָסעלע קאַזאַנטשיק...,From 'Jewish Folk Songs' compiled by Platon Brounoff,Ver geyt azoy shpet banakht?  Yosele Kozantshik…,"Brounoff, Platon",
SM945,4,8251,Piano,Transliteration,Metro Music Co,"64 Second Ave, NY",1951,Gift of Carol Weinbaum,"לאָמיר אַלע, אַלע אינאײנעם.........מקבּל פּנים זײַן",,"Lomir ale ineynam, in eynem…….mekabel ponim zayn,","Scher, William",
