Ernst R. Ball
Otto Motzan
Joseph Brody 
Arnold Perlmutter 
Joseph Brody
H. Altman
Joseph Rumshisky
Abraham Goldfadden
Edward T. King
Nathaniel Shilkret
Naftali Hertz Imber
Abraham Goldfaden
Ravel
Meyer Posner
Alfredo Cibelli
Charles Tauber 
Dave Tarras
A. Ellstein
J. Jacobs 
Milton Leeds
Sammy Meade's Orchestra
Harry Lenk
S.K. Russell 
Clarence A. Stout
Joseph M. Rumshinsky
Isidor Lillian
J. Levitt
Giulietta Morino
Abe Ellstein
Charles Galazan
M. Picon 
Belle Baker
Jack Yellen 
Victor Young
Sholom Secunda 
Sholom Secunda
H. Leftkowitch
I. Trilling 
Harry Beckerman
Abe Schwartz
Meyrowec
Rumisinsky
Anaviev
Lazar Weiner
Sidor Belarsky
Ippolitovvanov
Warshavsky
Shertok
Prozorovsky
A. Dargomyshsky
M. Zeira
I.L. Peretz 
J. Halevy 
Engel 
A.W. Binder
Yampolski
M. Gebirtig
Tschaikowsky
Ivan Basilevsky
Flotow
Donizetti
Perlmutter 
Louis Gilrod 
J. Gordin
Morris Rosenfeld
L. Gilrod 
Jacob Gordin
Leroy Shield
Wohl 
Herman Wohl
Z.H. Rubinstein
D. Meyrowitz 
Israel J. Hochman
Hirsch Gross
H. Gross
H. Gross 
Alexander Olshanetsky
Pierre Pinchik
Sam Spielman
Naftule Brandwein
Leonard Braun
Ted Levy
Rubin Doctor
Silberstein 
Burkhart 
Rheingold 
Rev. SamWeisser
Moldavan's Quartette
Rev. Sam Weisser
S. Weisser
Alex Olshanetsky
Izikel Kramtweiss
Max Bulman
Jascha Bunchuk
Gregory Gehman
M. Glinka
L. Gilrod
M. Rund
A. King
A. Karp
Walter Donaldson
R. Doctor
A. Olshanetsky
D. Mayerowitz
P. Sandler 
A. Olshanetsky 
Morris Rund
S. Secunda 
H. Wohl
Ted Fiorito
Mabel Wayne
P. Laskowsky
Al Jolson
J. Rumshinsky
Peisachke Burstein
Philip Laskowsky
I. Rosenberg
F. Crumit 
Leon M. Kramer
Sam Klinetsky
Sam Klinetzky
Sam Steinberg
David Meyerowitz
Samuel Steinberg
Nellie Casman
Max Badin 
Adolf King
King
Molly Picon 
Anshel l Schorr 
Borris Rosenthal
Gus Goldstein
D. Meyerowitz
H. Nager
S. Small
S. Klinetsky
Hyman Prizant
Rosario Bourdon
Rosario Boudon
Solomon Golub
Berele Chagy
Joseph M. Rumshisky
Joseph Cherniavsky
Sam Beckerman
Richard Fall 
J.I. Tanzman
Jos. Tanzman
Louis Gilrod
Joseph Pasternack
Joseph Tanzman
Saul Bernie 
Nathaniel Shilkret
Leonard Joy
Chas. Tobias
Harry Herschal
Goldfaden
Tanzman
King's Orchestra
Solomon Small [Shmulev]
Anschell Schorr 
B. Tomasefsky 
S. Small [Smulewitz]
A. Feta Shipiaeva
H.A. Von Ritter
Feldman
Sholom Alechem
Simon Katz
Abraham Reisin
N. Prilutsky 
N.L. Saslavsky
Morris Rosenfeld 
Jacob Beimel
M. Gelbart
S.S. Frug 
Dr. B. Ipavec
Emilio Blazevic
Anton Nedved
A. Razen
M. Warshavsky
Isadore Lillian
Altman
A. Reisen
M. Meisel
M. Persin
Solomon Cotler
M. Schnumacher
Solomon Small [Smulewitz]
Moses Diamond
Grossman 
Anton Rubinstein
Gurowitsch
Bennett Marks 
Charles Prince
G. Pergament
A. Arensky
Lillian
Rosenberg 
Sholom [Samuel] Secunda
Bizet
I. Steinberg
Hellman
Jarro
Eliakum Zunzer
Marcus Eisenberg
P. Raskin 
M. Eisenberg
Nomberg 
Meyer Kanewsky
A. Nadelman
Nodlen
T. Demey 
T. Demey
Harry Ellstein
Brody
Jack Mills
S. Fruck
Rumshinsky
Jacob Birmberg
Velwel Barzet
B. Tomashefsky 
D. Meyerowitz 
F. Singer
Shumsky 
Schwartz
M. Kortchmaroff
Fishel Singer
Joseph Feldman
