Song_ID,Section,"Matrix Number (song #, take #)",Performer,Title of Track,"Date Performed (exact)","Date Performed (estimate)",Year,Place Performed,Record Label and Number,Record Label,"Instrumentation (first listed is performer)","Arrangers/Composer/Performers, etc (if provided)",Composers and Performers Normative Spelling,Other notes
S1,16.1,Z 127-2,Hyman Adler (b. 1886),Got Fin Avraham,12/1/1910,,1910,"New York, NY","Zon 51002, Vi S8342 (12'')","Zonophone, Victor ","Tenor, Orchestra, Chorus",,,
S2,16.1,Z 128-1,Hyman Adler,Umipane Chatuainu,12/1/1910,,1910,NY,Zon,Zonophone,"Tenor, Orchestra, Chorus",,,
S3,16.1,Z 129,Hyman Adler,Young Wife and Old Man,12/1/1910,,1910,NY,Zon 8008,Zonophone,"Tenor, Orchestra, Chorus",,,
S4,16.1,Z 130-1,Hyman Adler,The Striker,12/1/1910,,1910,NY,Zon,Zonophone,"Tenor, Orchestra, Chorus",,,
S5,16.1,Z 131-1,Hyman Adler,On the Old Year,12/1/1910,,1910,NY,Zon,Zonophone,"Tenor, Orchestra, Chorus",,,
S6,16.1,Z 132-1,Hyman Adler,In the Cold Catskill Mountains,12/1/1910,,1910,NY,Zon,Zonophone,"Tenor, Orchestra, Chorus",,,
S7,16.1,Z 133-1,Hyman Adler,Azoi Schnell Wie Men Ruft Dir Zurick (As Quick As You Are Called),12/1/1910,,1910,NY,"Zon 51002, Vi S8342 (12'')","Zonophone, Victor ","Tenor, Orchestra, Chorus",,,
S8,16.1,Z 134-1,Hyman Adler,Jisrulicks Leiden,12/1/1910,,1910,NY,"Zon 51003, V168343 (12”)","Zonophone, Victor ","Tenor, Orchestra, Chorus",,,
S9,16.1,19219-1,Hyman Adler,Dus Pitzale Kind,1/30/11,,1911,NY,Co E814,Columbia,"Tenor, Orchestra, Chorus",,,
S10,16.1,19220-1,Hyman Adler,Lieb Mich In Die Welt Is Mein,1/30/11,,1911,NY,Co E811,Columbia,"Tenor, Orchestra, Chorus",Ernst R. Ball (composer),Ernest R. Ball (composer),
S11,16.1,19221-1,Hyman Adler,Shabes Koides,1/30/11,,1911,NY,Co E811,Columbia,"Tenor, Orchestra, Chorus",Otto Motzan (composer),Otto Motzan (composer),
S12,16.1,19222-2,Hyman Adler,Kadish,1/30/11,,1911,NY,Co E812,Columbia,"Tenor, Orchestra, Chorus",,,
S13,16.1,19238-2,Hyman Adler,Al Tashlichenu ,2/17/1911,,1911,NY,Co E812,Columbia,"Tenor, Orchestra",Joseph Brody & Louis Friedsel (composers);  A. Teres (arranger),"Joseph Brody (composer), Louis Friedsell (composer), A. Teres (arranger)",
S14,16.1,19239-1,Hyman Adler,Wejiten L'cho,2/17/1911,,1911,NY,Co E813,Columbia,"Tenor, Orchestra",,,
S15,16.1,19240-1,Hyman Adler,Yom Hachupe,2/17/1911,,1911,NY,Co E814,Columbia,"Tenor, Orchestra",,,
S16,16.1,19241-1,Hyman Adler,Hot Ihr Nit Gesehn Mein Moishe,2/17/1911,,1911,NY,Co E813,Columbia,"Tenor, Orchestra",Arnold Perlmutter & Herman Wohl (composers),"Arnold Perlmutter (composer), Herman Wohl (composer)",
S17,16.1,30679-1,Hyman Adler,"Gott, Mensch Und Teufel: Mismor L' David",2/17/1911,,1911,NY,"Co E5019 (12"")",Columbia,"Tenor, Orchestra",Joseph Brody (composer),Joseph Brody (composer),
S18,16.1,30680-1,Hyman Adler,Die New Yorker Treren,2/17/1911,,1911,NY,"Co E5019 (12"")",Columbia,"Tenor, Orchestra",H. Altman (composer),Hyman Altman (composer),
