Finjan (Heb),19081,פינג'אן,"הרוּח נוֹשבת קרירה, נוֹסיפה קיסם למדוּרה - וכּך, בּזרוֹעוֹת ארגמן,"
Finjan (Heb),18677,פינג'אן,"הרוּח נוֹשבת קרירה, נוֹסיפה קיסם למדוּרה - וכּך, בּזרוֹעוֹת ארגמן,"
For Three Transgressions (Heb),5302,על שלוש עבירות (עבֿרית),"על שלוש עבירות נשים מתות בשעת לידתן, על שאנינן זהירות..."
"Forgive Me, O My Lord (Heb)",5306,סלח נא לי ה',
Forgotten Melody (Heb),5308,מנגינה נשכּחת (עבֿרית),
Forn Forstu Fun Mir Avek (Heb),5311,פאָרן פֿאָרסו פֿון מיר אַװעק (עבֿרית),
Forward My People (Heb),5323,קדימה עמי,
Fun Geto (Heb),25583,פֿון געטאָ (עבֿאית),"נו, לױף געשטינד שױן, מיריאַמל, מײַן טײַערע,"
Gad Gidi (Heb),5523,גד גדיי (יבֿרית),"אבּא שׁב מן היריד, קנה רע לי וידיד, ואמרתּם: מי ומי? --"
Gadlu Lehashem (Heb),5527,גדלו לשם אתי (עבֿרית),גדלו לשם אתי ונרוממה שמו יחדיו.
Galeh Kvod (Heb),24485,גלה כּבוד (עבֿרית),
Gali Yam (Hebrew),5530,גלי ים,גלי גלי גלי ים סירתי עולה יורדת אימתי נבוא לחוף
"Galil (Heb, Chajes)",5533,גליל (יבֿרית),בּגליל העליון גלשו עזים מהר עצמון.
Gam Hapa'am (Once More (Heb),5548,גם הפּעם (עבֿרית),
Gamal Gemali (Heb),5549,גם כּי אלך (עבֿרית),
,5550,גמל גמלי (עבֿרית),"גמל גמלי, גמל גמלי, חבר אתה לי בּזיפזיף, גמל גמלי, גמל גמלי"
Gamal Gemali (Heb),5551,גמל גמלי (עבֿרית),"גמל גמלי, גמל גמלי, חבר אתה לי בּזיפזיף, גמל גמלי, גמל גמלי"
"Gamelet (The Camel, Heb)",5553,גמלת,"אורחה בּלב ציא צועדת, מאן לאיזה חוף נודדת. יום וליל עוברה..."
Gan Hashikmim (Heb),5554,גן השׁקמימ (עבֿרית),היה היוּ כּאן פּעם שׁקמים חוֹלוֹת מסביב וגם נוֹף העיר תּל-אביב שׁל..
Geshem (Heb),5601,גשם (עבֿרית),
Geshem (Heb),5600,גשם (עבֿרית),
"Geshem, Kadish (Heb)",5604,"גשם, קדיש (יבֿרית)",
Gevatron Medley Belz (Heb),21070,גבעטרון מחרזות בעלז (עבֿרית),
Gevatron Medley Sinot Yaldut (Heb),21056,גבעטרון מחרזות שׂהות ילדות (עבֿרית),
Gevatron Medley Tshiribim (Heb),21080,גבעטרון מחרזות טשיריבים (עבֿרית),
Gilu Hagalilim (Heb),5669,גילוּ הגלילים,"גילוּ הגלילים גבּוֹרי החיל, שׂישׂוּ ושׂמחוּ יוֹים וליל."
Gilu Hagalilim (Heb),5670,גילוּ הגלילים,"גילוּ הגלילים גבּוֹרי החיל, שׂישׂוּ ושׂמחוּ יוֹים וליל."
Givat Hatskhmoshet (Heb),5690,גבעת התחמשׂת (עבֿרית),
Gloria Mundi (Heb),5710,גלוריה מונדי,"עשׂימו אתּ הרע למדנו לקלל, הדלקנו אש קטנה שיחקנו לא בּצל"
Got Fun Avrom (Secunda),5774,גאָט פֿון אַבֿרהם (סעקונדאַ),"אוֹי, סבּתּא לא ל""אלקי אברהם"", מדוּע נחפּזתּ כּה לוֹמר,"
Grandfather's Song (Heb),19544,שירו של סבא (עבֿרית),
"Ha'alma (The Maiden, Heb)",5840,העלמה (עבֿרית),"דם טותה העלמה בפלך, חוט שני כרימון שחוט, ואמר בלבכו המלך,"
Ha'aminey Yom Yavo (Heb),5842,האמיני יום יבוא (עבֿרית),
Ha'eer Be'afor (Heb),21544,העיר באפור (עבֿרית),
Ha'oniot Agnu Bemalta,5845,האניותּ עגנו בּמלטה,"האניותּ עגנו בּמלטה, עלום רחבֿ פמים זרותּ,"
Habeyn Yakir Li (Heb),22117,הבּן יקיר לי,"הבּן יקיר לי, יקיר לי אפרים, אים ילש שע שעשוים..."
Habeyn Yakir Li (Heb),5858,הבּן יקיר לי,"הבּן יקיר לי, יקיר לי אפרים, אים ילש שע שעשוים..."
Habeyn Yakir Li (Heb),5857,הבּן יקיר לי,"הבּן יקיר לי, יקיר לי אפרים, אים ילש שע שעשוים..."
Habeyn Yakir Li (Heb),5856,הבּן יקיר לי,"הבּן יקיר לי, יקיר לי אפרים, אים ילש שע שעשוים..."
Habeyn Yakir Li (Heb),5855,הבּן יקיר לי,"הבּן, הבּן יקיר לי, יקיר לי אפרים אים, אים ילש שע שע שעשוים..."
Habeyn Yakir Li (Heb),5854,הבּן יקיר לי,"הבּן, הבּן יקיר לי, יקיר לי אפרים אים, אים ילש שע שע שעשוים..."
Haderekh L'eylat,5869,הדרך לאילת,"קצת דרוֹמה מבאר-שבא רוּח בּמדבּר נוֹשבת, שביל בּערבה ירד."
Haderekh L'eylat,28611,הדרך לאילת,"הי דרוֹמה לאילת, קצת דרוֹמה מבאר-שבא רוּח בּמדבּר נוֹשבת,"
Haderekh L'eylat,5870,הדרך לאילת,"הי דרוֹמה לאילת, קצת דרוֹמה מבאר-שבא רוּח בּמדבּר נוֹשבת,"
Haderekh L'eylat,5868,הדרך לאילת,"קצת דרוֹמה מבאר-שבא רוּח בּמדבּר נוֹשבת, שביל בּערבה ירד."
Haderekh L'eylat,5867,הדרך לאילת,"קצת דרוֹמה מבאר-שבא רוּח בּמדבּר נוֹשבת, שביל בּערבה ירד."
Haderekh L'eylat,5866,הדרך לאילת,"קצת דרוֹמה מבאר-שבא רוּח בּמדבּר נוֹשבת, שביל בּערבה ירד."
Hadibuk (Heb),5872,הדיבוק (עבֿרית),
Hadliku Neyrot (Heb),5873,הדליקו נרות,
Hafle Va'fele,5877,הפלה ופלא,"וּמשה הכּה על צוּר, בּמטה הכּה על סלא--סלא, בּמטה הכּה על סלא..."
Hafle Va'fele,5878,הפלה ופלא,"וּמשה הכּה על צוּר, בּמטה הכּה על סלא--סלא, בּמטה הכּה על סלא..."
Hafle Va'fele,5879,הפלה ופלא,"וּמשה הכּה על צוּר, בּמטה הכּה על סלא--סלא, בּמטה הכּה על סלא..."
