148577,Vos Ikh Hob Gevolt Hob Ikh...,,,
148578,Alts Far Gelt,,,
148579,Di Zibn Borders,,,
148580,Menshn Freser,,,
148581,"Mr Malakh Hamoves, Ikh Bin ""Busy""",,,
148582,Tsores Iz Keyn Dayge Nit,,,
148583,S'vet Zikh Shoyn Oyspresin,,,
148584,Kh'bin Arayngegangen Un Zikh Oysgedreyt…,,,
148585,"Gotenyu, Gib A Drey Dos Redele",,,
148586,Dem Milshteyns Faygn,,,
148587,Oyfn Hoykhn Barg (Shargordski),,,
148588,Shpatsir In Vald,,,
148589,Yoshke Fun Odes,,,
148590,Kazakhstan,,,
148591,Mayn Pulemyot,,,
148592,Shelakhmones Hitlern,,,
148593,Taybls Briv,,,
148594,Misha Tserrayst Hitlers Daytshland,,,
148595,Chuvasher Tekhter,,,
148596,Mayn Mames Gruv,,,
148597,Babi Yar (Rovinskaya),,,
148598,Tulchin,,,
148599,A Shturemvint,,,
148600,Fir Zin,,,
148601,Kazakhstan Reprise,,,
148602,Nitsokhn Lid,,,
148603,Homens Mapole,,,
148604,Akh Ya Habibi (nign),,,
148605,Marc Chagall (A Poem) (Side 2),,,
148606,Tsum Nayem Yor,,,
148607,Motke Fun Slobotke,,,
148608,In Himl Shvimt A Volkndl,,,
148609,Tsip Tsop Hemerl,,,
148610,Hob Ikh A Por Oksn,,,
148611,Hene Mene Yoshke,,,
148612,Sorele Iz In Vald Avek,,,
148613,Dray Yingelekh (Gelbart),,,
148614,Ketsele Shtil,,,
148615,A Kleyn Meydl Klapt In Tir,,,
148616,Dos Hentl,,,
148617,In A Kleynem Shtibele (Peretz),,,
148618,Di Grine Kuzine,,,
148619,Ay Li Lu Li,,,
148620,Oyfn Hoykhn Barg,,,
148621,A Rod Un A Rane,,,
148622,Der Zingemaring,,,
148623,Vayn Nisht,,,
148624,S'iz Tsubrokhn Undzer Dekhl,,,
148625,Dos Regendl,,,
148626,Hey Klezmorim,,,Melody similar to Dubinushka
148627,Hey Klezmorim,,,
148628,Hey Yona (Hebrew),,,
148629,Hey Tsigelekh,,,
148630,Hey Tsigelekh,,,
148631,Hineni Mukhon Umzumon (Heb),,,I am ready and prepared.
148632,Hineni Mukhon Umzumon (Heb),,,I am ready and prepared.
148633,Hineni Mukhon Umzumon (Heb),,,I am ready and prepared.
148634,Hineva El Ruakh (Wind's Prophecy),,,
148635,Hinkey Dinkey Veys Ikh Vos,,,From Victor Record 25 5092 B.
148636,Hiroshima (Eng),,,"Cantata for 2 Speakers, Colorat Soprano, Mixed Chor & Orch"
148637,Hirsh Lekert,,,
148638,Hirshn Baym Yam Suf,,,"Text and annotations with album notes- Ruth Wisse, annotat"
148639,His Name Was Hyam (Eng),,,"6th Commandment -Murder            From book ""Who Knows Ten"
148640,Hishbati (Heb),,,"""Swear to me, daughters of Jerusalem, that you will..."
148641,Hiskabtsu (Heb),,,"Gether ye together, angels of heaven and say ye to..."
148642,Prachim,,,
148643,Milchama Ahtolah,,,
148644,Az yom hah li samiol,,,
148645,Nayim,,,
148646,Achshaz Ani tzmar,,,
148647,Bal Ha'Kalete,,,
148648,Kesef Mezuman,,,
148649,Givoor Taravati,,,
148650,Asli Sukot,,,
148651,Fintozim,,,
148652,Pratzofim,,,
148653,Untergehereter Telephone Cairo-Rabat-Amman,,,
148654,Usha Shusa,,,
148655,Moshe Dayan and Yitzhak Rabin in yar 1998,,,
148656,Odom Yesado Meafor,,,
148657,El Mole Rakhamin (Barash),,,
148658,El Mole Rakhamin,,,
148659,Di Milkhome Kales,,,
148660,Oyfn Pripetshik (Warshavsky),,,
148661,Mi Ko Mash Me Lon,,,
148662,Oyfn Pripetshik (Warshavsky),,,
148663,Der Rebe Iz Gegangen,,,From Victor 78 68568A
148664,A Sudenyu,,,"Recorded under title ""Zog Ze Rebenju"""
148665,Shlof In Ziser Ru (Rosenblatt),,,
