Song ID,Title,Year,Date,Notes
785,(How Much is) That Pickle in the Window,,,
786,(How Much Is) That Pickle in the Window,,,
787,(I Don't Stand) A Ghost of a Chance,1945-11-14,11-14,
788,(I Love You - I Love You - I Love You) Sweetheart of all My Dreams,1945-02-25,02-25,
789,"(I've Been So Wrong, For So Long - But) I'm So Right Tonight",1947-05-06,05-06,
790,(Put Another Nickel In) Music! Music! Music!,,,
791,(Put Another Nickel In) Music! Music! Music!,,,
792,(Shachris),1928-06-25,06-25,
793,(Vus Ken Zayn) Shtarker Fin Liebe?,,,
794,(When Your Hearts on Fire) Smoke Gets in Your Eyes,1941-06-04,06-04,
795,(You Got Me Between) The Devil and the Deep Blue Sea,1935-07-01,07-01,
796,10 Hiner Myt A Katshke,,,
797,100 Songs - 100 Stories,,,
798,12 Golden Hits,,,
799,12th Annual 1980 Chassidic Song Festival of Israel,,,
800,12th Annual Cantorial Concert - Part 2,,,
801,12th Annual [Classical] Cantorial Concert - Part 1,,,
802,13 Hits,,,
803,13th Anniversary of the State of Israel,,,
804,13th Anniversary of the State of Israel - Part I & Part II,,,
805,14 Children songs from Walt Disney's soundtracks,,,
806,15th Anniversary of Israel - Part I & Part II,,,
807,16 Play Songs in Hebrew,,,
808,16 Play Songs Sung in Hebrew,,,
809,16 songs for Kids 3 to 33,,,
810,18 Chai-Life Gala Concert,,,
811,"18 Years, Due Re'im",,,
812,"18 Years, Due Re'im",,,
813,1812 Overture (Ouverture Solennelle) (concluded),,,
814,1812 Overture (Ouverture Solennelle) Part 3,,,
815,1812 Overture (Part 1) ,,,
816,"19 / ""Chai-Life"" + 1 Gala Concert",1972-06-29,06-29,
817,1904-1994 A Retrospective,,,
818,1960 Newport Folk Festival,,,
819,1974 Concert in Honor of Jewish Music Month,,,
820,1985 Israeli Chassidic Festival,,,
821,1985 Israeli Chassidic Festival,,,
822,1985 Israeli Chassidic Festival,,,
823,1985 Israeli Chassidic Festival,,,
824,1990 Chassidic Song Festival,,,
825,1993 UAHC Biennial Convention - Friday Evening Oneg Shabbat,,,
826,1994 Rabbinical Assembly Convention - Hazzanic Master Class,,,
827,1994 Rabbinical Assembly Convention - Hazzanic Master Class: Yom Kippur,,,
828,1996 CCAR - Philadelphia - Death and Dying in Kabbalistic Sources,,,
829,1996 CCAR - Philadelphia - Keeping the Rabbinical Flame Alive,,,
830,1996 Rabbinical Assembly Convention - Israel 100 Years,,,
831,1996 Rabbinical Assembly Convention - Towards a Prayer book Commentary: A Model for Interpretitive Translation,,,
832,1997 CCAR - Miami - Decision Making Tape 1: Religious Decisions (Part #1),,,
833,1997 CCAR - Miami - Decision Making Tape 2: Religious Decisions (Part #2),,,
834,1997 CCAR - Miami - H.H. & Medicine Tape 1: The Role of Prayer,,,
835,1997 CCAR - Miami - H.H. & Medicine Tape 5: The Synagogue as a Place of Healing (Part #2),,,
836,1997 CCAR - Miami - Life Cycle Tape 4: Managing Difficult Situations,,,
837,1997 CCAR - Miami - Monday Morning Service,,,
838,1997 CCAR - Miami - Shabbat Tape 1: Text Study: Sanctifying Shabbat: Kiddush & Havdahah,,,
839,1997 CCAR - Miami - Shabbat Tape 2: Creating a Shabbat Community: Friday Night? Saturday?,,,
840,1997 CCAR - Miami - Shabbat Tape 4: Taking Shabbat Home,,,
841,1997 CCAR - Miami - SYNA #3/Leadership #3: Leadership Models - Searching the Sources for Models,,,
842,1997 CCAR - Miami - T'Fila Tape 4: Language and Prayer,,,
843,1997 CCAR - Miami - The Freehof Institute: (Part #1),,,
844,1997 CCAR - Miami - The Freehof Institute: (Part #2),,,
845,1998 CCAR - Anaheim - The Love that Dare not Speak its Name,,,
846,"2 Live Jews: ""As Kosher as They Wanna Be""",,,
847,"2 Live Jews: ""As Kosher as They Wanna Be""",,,
848,"2 Live Jews: ""Fiddling With Tradition""",,,
849,2 Song Cycles by Hugo Weisgal - The Golden Peacock - Translations,,,
850,20 Famous Chassidic Melodies,,,
851,20 Sing-A-Long,,,
852,20 Sing-A-Long,,,
853,20 Singing Years,,,
854,20th Century Yiddish Humor as told by the centry's greatest comedians,,,
855,20th Century Yiddish Humor as told by the centry's greatest comedians,,,
856,24 Favorite Yiddish Songs,,,
857,24 Songs for Chidren,,,
858,25 Years of Israel in Songs,1973,,
859,25 Years of Jewish Music,,,
860,25 Years of Jewish Music Vol. 1,,,
861,25 Years of Song from Israel,,,
862,25 Years of Song from Israel,,,
863,25th Anniversary Concert,,,
864,25th Anniversary of the Israeli Philharmonic Orchestra / Folk Music of Israel,,,
865,29 Holiday Songs for Children,,,
866,30 Chanukah Songs for Children,,,
867,30 Golden Moments of Music,,,
868,30 Greatest Jewish Songs,,,
869,30 Holiday Songs for Tots,,,
870,30 Years of Israël,,,
871,30 Years of Israel in 30 Songs,,,
872,30 Years of Melody,,,
873,30 Years of Melody,,,
874,30 Years with Yaffa Yarkoni,,,
875,32 Golden Hits of the Nahal,1980,,
876,36 Jewish Children's Songs,,,
877,40 Favorite Jewish Melodies,,,
878,40 Favorite Jewish Melodies,,,
879,40 Favorite Jewish Melodies,,,
880,40 Favorite Jewish Melodies,,,
881,40 Minutes in Israel,,,
882,40 Years of Hazzanut in Montreal,,,
883,40 Years of Hazzanut in Motreal (1957-1997),,,
884,44 Hours in Jerusalem - The Visit of President Anwar Sadat - November 1977,,,
885,50 Childrens Songs,,,
886,50 Songs You'll Always Love,,,
887,"50 Years of Kibbutz Ein-Charod, 5731",,,
888,50 [Childrens Songs],,,
889,51 Children Songs,,,
890,51 Holiday Songs for Eyal,,,
891,51 Holiday Songs for Eyal,,,
892,51 Songs for Limor,,,
893,51 Songs for Limor,,,
894,543 Shirim L'chagim,,,
895,543 V'chaizi,,,
896,6 Days of Laughter,,,
897,6 Million Accuse,,,
898,6 Million in Heaven - 3 Million in Hell,,,
899,6 Sipurei Yiladim,,,
900,613 Torah Avenue - Songs for Chumash B'reishis,1977,,
901,613 Torah Avenue - Vol. II - Songs for Chumash Shemos,,,
902,613 Torah Avenue - Vol. III - Songs for Chumash Vayrikrah,,,
903,613 Torah Avenue - Vol. IV - Songs for Chumash Bamidbar,,,
904,613 Torah Avenue - Vol. VII - Songs for Tefilah,,,
905,613 Torah Avenue - Vol.VI - Songs for Pirkei Avos,,,
906,7 Beloved children's stories,,,
907,7 Friday Night Prayers in a Conservative Synagogue,,,
908,75 Minutes with Joseph Shlisky & Gerson Sirota,,,
909,75th Anniversary of the Rabbinical Assembly,,,
910,8 Famous Stories,,,
911,87 Israeli Chassidic Festival,,,
912,9 Cantorial Selections,2013,,
913,90 Minutes of the Finest Jewish Entertainment,,,
914,96 Voices in Harmony,,,
915,A Ball In Himmel,1914-02-11,02-11,
916,A Ballad for a Kibutznik,,,
917,A Bauer in Feld - Roumanische Lied [A poyer in feld],1918-06-14,06-14,
918,A Birthday Party,,,
919,A Bisel Liebe,1924-05,05-?,
920,"A Bisele Liebe, A Bisele Glick",1924-04,04-?,
921,A Bisele Yoisher,1923-01,01-?,
922,A Bouquet of Stars,,,
923,A Bridge of Prayers,,,
924,A Brief fin 1916,1916,,
925,A Brief Fun 1920,1920-11,11-?,
926,A Brief zu die Lendlors,1922-03,03-?,
927,A Briew Fun A Dienst,,,
928,A Brighter Day,,,
929,A Brighter Day,,,
930,A Brighter Day,,,
931,A Briss Mihle,1927-06-30,06-30,
932,A brivel tsu mayn man,1924-03,03-?,
933,A Brivel Tzu Mein Mann,1925-02-02,02-02,
934,A Brivele der Mame,1908-11-30,11-30,
935,A Brivele Der Mame,1908-10,10-?,
936,A Brivele Die Mammen,,,
937,A Brivele Von Der Mame,1908-11-30,11-30,
938,A Brivele von Russland,1912-08-30,08-30,
939,A Brivelle Zu Gott,1912-08-30,08-30,
940,A Brocheh Tzum Nayem Yohr,1923-06,06-?,
941,A Broken Doll,1916-11-26,11-26,
942,A Cale Bazetzen,1921-08,08-?,
943,A Call To Remember - Sacred Songs of the High Holy Days,,,
944,A Cantor's Audition,,,
945,A Capella Treasury - Shabbos,,,
946,A Cavalcade of Musical Comedy,,,
947,"A Celebration in ""Bnoeiva""",,,
948,A Celebration of Hanukkah,,,
949,A Centennial of Jewish Music,,,
950,A Chanukah Adventure,1953,,
951,A Chanukah Cantata,,,
952,A Chasen'dl Oif Shabos,,,
953,A Chasendl Oif Shabos,1941,,
954,A Chasene In Shtetl,,,
955,A Chasene In Shtetl,,,
956,A Chasene In Shtetl - Oysgefirt Durkh Di 4 Burshteyns,,,
957,A Chasin Of Shabbis [The Cantor],,,
958,A Chasina of Probe,1929-10-29,10-29,
959,A Chasine In Shtetl,,,
960,A Chassidic Celebration,,,
961,A Chasuno (Chupo),1907-06-27,06-27,
962,A Chaver in Leben,1918-05-16,05-16,
963,A Chazen A Shiker,,,
964,A Chazen A Shiker,1928-04-25,04-25,
965,A Chazen a Shiker,1928-04-25,04-25,
966,A Chazen del auf Shabes,1920,,
967,A Chazen'dl In America,1928-05-09,05-09,
968,A Chazn's Debut in a Klein Shtedtele,1921-04-18,04-18,
969,A Child is Born - Episode 1,,,
970,"A Child is Born - Episode 10, Part 1",,,
971,"A Child is Born - Episode 10, Part 2",,,
972,A Child is Born - Episode 11,,,
973,A Child is Born - Episode 12,,,
974,A Child is Born - Episode 15,,,
975,A Child is Born - Episode 16,,,
976,A Child is Born - Episode 23,,,
977,A Child is Born - Episode 4,,,
978,A Child is Born - Episode 7,,,
979,A Child is Born - Episode 8,,,
980,A Child is Born - Episode 9,,,
981,A Child is Born - Episodes 17-18,,,
982,A Child is Born - Episodes 21-22,,,
983,A Child is Born - Episodes 25-26,,,
984,A Child is Born - Episodes 5 & 6,,,
985,A Child To Me Is Born,,,
986,A Child's Day,,,
987,A Child's Prayer,1911-12-08,12-08,
988,A Chosen Auszuklauben,1923,,
989,A Chosid Beim Rebin,1925-04,04-?,
990,A Chosid Beim Rebin,1925-04,04-?,
991,A Chulem,1919-06,06-?,
992,A Chulem,1917,,
993,A Chulim,1916-02-11,02-11,
994,A Chusidel,,,
995,A City of People,,,
996,A Collection,,,
997,A Collection of Jewish Folk-Songs,1965,,
998,A Concert in Israel,,,
999,A CONCERT OF CANTORS,,,
1000,A Concert of Jewish Music,,,
1001,A Concert of Jewish Music,,,
1002,A Concert of Jewish Music,,,
1003,"A Concert with 'Yossele' Rosenblatt, Volume 11",,,
1004,A Concert with Cantor Erblich,,,
1005,A Concert with Lillian Lux,,,
1006,A Cracker Against a Cracker,,,
1007,A Date,,,
1008,A Day in the Life …,,,
1009,A Decade of Jewish Choir Masterpieces,,,
1010,A Desert Taleq,,,
1011,A Din Toire Mit Got,1923-11,11-?,
1012,A Din-Toire Mit Got ; Frumeleh,,,
1013,A Din-Torah Mit Gott,,,
1014,A Din-Torah Mit Gott,,,
1015,A Disgusted Millionaire,,,
1016,A Doina & Skotchna,,,
1017,A Doktor Nebbech,,,
1018,A Dream Comes True,,,
1019,A Dream Comes True / Jewish Brigade,,,
1020,A Dream of Romany,1922-01-24,01-24,
1021,A Drop of Good Luck / A Little Mazel,,,
1022,A Dudele,,,
1023,A Dudele,,,
1024,A Europaische Kolomyka,1924-04,04-?,
1025,A Faith in Songs,,,
1026,A Family Album,,,
1027,A Family Guide to Blessings & Prayers: Skills,,,
1028,A Feature Program on Golf in Israel / Festival of Youth in Israel,,,
1029,A Feature Program on the Israel Chamber Opera Group / Songs for and About Sabras,,,
1030,A Festival of Jewish Music,,,
1031,A Festival of Jewish Music,,,
1032,A Fidler,,,
1033,A Fifteen Year Celebration,,,
1034,A Fire Burns,,,
1035,A Folksinger's Choice,,,
