16361,Got Fin Avraham,12/1/1910,1910,
16362,Umipane Chatuainu,12/1/1910,1910,
16363,Young Wife and Old Man,12/1/1910,1910,
16364,The Striker,12/1/1910,1910,
16365,On the Old Year,12/1/1910,1910,
16366,In the Cold Catskill Mountains,12/1/1910,1910,
16367,Azoi Schnell Wie Men Ruft Dir Zurick (As Quick As You Are Called),12/1/1910,1910,
16368,Jisrulicks Leiden,12/1/1910,1910,
16369,Dus Pitzale Kind,1/30/11,1911,
16370,Lieb Mich In Die Welt Is Mein,1/30/11,1911,
16371,Shabes Koides,1/30/11,1911,
16372,Kadish,1/30/11,1911,
16373,Al Tashlichenu ,2/17/1911,1911,
16374,Wejiten L'cho,2/17/1911,1911,
16375,Yom Hachupe,2/17/1911,1911,
16376,Hot Ihr Nit Gesehn Mein Moishe,2/17/1911,1911,
16377,"Gott, Mensch Und Teufel: Mismor L' David",2/17/1911,1911,
16378,Die New Yorker Treren,2/17/1911,1911,
16379,"Gott, Mensch Und Teufel: Mismor Le David ",3/3/1911,1911,
16380,Dis Heilige Sekele,5/10/1911; 5/15/1911; 5/17/1911,1911,
16381,Die New-Yorker Treren,5/10/1911; 5/15/1911; 5/17/1911,1911,
16382,Dus Pitzaly Kind  ,5/10/1911; 5/15/1911; 5/17/1911,1911,
16383,Shabes Koidesh  ,5/10/1911; 5/15/1911; 5/17/1911,1911,
16384,Kasar Tuira ,5/10/1911; 5/15/1911; 5/17/1911,1911,
16385,Yom Hachupo ,5/10/1911; 5/15/1911; 5/17/1911,1911,
16386,Moishe Rabeinu ,5/10/1911; 5/15/1911; 5/17/1911,1911,
16387,Al Tashlichenu ,5/10/1911; 5/15/1911; 5/17/1911,1911,
16388,Wejiten L'cho  ,5/10/1911; 5/15/1911; 5/17/1911,1911,
16389,Hot Ihr Nit Gesehn Mein Moishe  ,5/10/1911; 5/15/1911; 5/17/1911,1911,
16390,If I Were Rothschild-A Joyful Holiday,9/7/1915,1915,
16391,Rosinkes Mit Mandlen,1916,1916,
16392,Rosinkes Mit Mandlen,10/30/1916,1916,
16393,Kleine Micheleke,4/10/1918,1918,
16394,Aliluli Schluf-Cradle Song,4/10/1918,1918,
16395,Aliluli Schluf-Cradle Song,6/6/1918,1918,
16396,Hatikvoh (The Song of Zion),9/1921,1921,
16397,Rosinkes Mit Mandlen-Jewish Lullaby ,10/1921,1921,
16398,Meyerke Mein Suhn ,07/1922,1922,
16399,Geh Ich Mir Schpatzieren ,07/1922,1922,
16400,Umipnei Chatoeinu-Pt. 1 ,03/1920,1920,
16401,Umipnei Chatoeinu-Pt. 2 ,03/1920,1920,
16402,Rachmono,03/1920,1920,"Matrix number not provided in Spottswood, taken from FAU archive"
16403,Falsa I Mentirosa-Nina Gazel,09/1923,1923,Probably sung in Ladino
16404,A Granada,09/1923,1923,Probably sung in Ladino
16405,"Die Chasidim, Der Rebbi Un Der Gabbi",06/1927,1927,
16406,Feige Mit'n Kugel,06/1927,1927,
16407,Mai Lied (May Song),12/13/1927,1927,
16408,Potpourri-Jewish Folk Songs,12/13/1927,1927,
16409,"Avram, Avram",12/13/1927,1927,
16410,Siberia,12/13/1927,1927,
16411,Ich Hob Dich (You Are Mine),03/26/1941,1941,
16412,Ai-Digidai-Polka,03/26/1941,1941,
16413,Sing Es Mir Nochamul (Tell It To Me Again),03/26/1941,1941,
16414,Sug Farvus (Tell Me Why),03/26/1941,1941,
16415,Joey's Got A Girl,04/29/1941,1941,
16416,Pound Your Table Polka (One More Chorus),04/29/1941,1941,
16417,Pussy Cat Agony Five,04/29/1941,1941,
16418,Old Chief Walla Hoo,04/29/1941,1941,
16419,A Vaibele A Tsnien (A Good Wife),03/12/1942,1942,
16420,Pacht Mit Die Hent (Slap Your Hands) ,03/12/1942,1942,
16421,"Zog, Zog, Zog Es Mir (Tell Me)",03/12/1942,1942,
16422,Prost In Pushet (Plain and Simple),03/12/1942,1942,
16423,Duvid Hamelech's Fidel,11/1919,1919,
16424,Eli Eli,11/1919,1919,
16425,"Eili Eili (Father, Why Hast Though Forsaken Me?)",10/13/1925,1925,
16426,My Yiddishe Momme (My Jewish Mother),10/13/1925,1925,
16427,David Hamelech,08/1931,1931,
16428,Eili Eili,08/1931,1931,
16429,Zmiros,03/03/1942,1942,
16430,Hatzlichoh No-Palestinian Folk Melody,03/03/1942,1942,
16431,Mein Zeiere,03/03/1942,1942,
16432,Amcho,03/03/1942,1942,
16433,Ich Benk A Heim (Longing For My Home)-Doina ,10/30/1928,1928,
16434,Trauben Zeit (Vintage Time)-Bulgar,10/30/1928,1928,
16435,Hot Azoi,12/1923,1923,
16436,Ismechu,12/1923,1923,
16437,"T'kias ""Shofer Blosen""",12/1923,1923,
16438,A Galitzianer Tenzil,12/1923,1923,
16439,Al Tiro Mipachad,11/15/1922,1922,
16440,Oshamnu Mikol Om,11/15/1922,1922,
16441,Vieni Sul Mar,11/15/1922,1922,In Italian?
16442,Oshamnu Mikol Om,11/29/1922,1922,
16443,Al Tiro Mipachad,11/29/1922,1922,
16444,Mi Chamocha,11/29/1922,1922,
16445,"V'lyrushalayim, From Keshinever Stadt Shul",10/1924,1924,
16446,Al Tiroh,10/1924,1924,
16447,Elohai Neshama,1920s,1920,
16448,Uvamakheilos,1920s,1920,
16449,Volga,11/1/1938,1938,In Russian
16450,Dem Zeidens Bruche,11/1/1938,1938,
16451,Student's Song,11/1/1938,1938,In Russian
16452,Dem Milner's Trern (The Miller's Tears),11/1/1938,1938,
16453,Veulai,03/02/1939,1939,
16454,Sholosh Sudos ,03/02/1939,1939,
16455,Georgian Melody ,03/02/1939,1939,In Russian
16456,I Greave ,03/02/1939,1939,In Russian
16457,Shir Hashamisha ,03/02/1939,1939,
16458,Dos Gebet,03/02/1939,1939,
16459,Sholosh Sudos ,03/23/1940,1940,
16460,Yam Lied (Sea Song),03/23/1940,1940,
16461,Veulai,03/23/1940,1940,
16462,Shir Hashamisha ,03/23/1940,1940,
16463,Zwei Briv,1940,1940,Musicraft label note: ''Specifically recorded for the Jewish Daily Forward''
